Date,Close/Last,Volume,Open,High,Low
08/03/2026,$2.85,68306920,$2.96,$3.03,$2.7628
07/31/2026,$2.82,39689310,$2.75,$2.84,$2.665
07/30/2026,$2.77,31313900,$2.735,$2.78,$2.62
07/29/2026,$2.75,38085920,$2.65,$2.79,$2.60
07/28/2026,$2.67,62263530,$2.515,$2.755,$2.47
07/27/2026,$2.51,51059280,$2.31,$2.52,$2.29
07/24/2026,$2.27,45396110,$2.28,$2.45,$2.23
07/23/2026,$2.28,44787010,$2.23,$2.28,$2.11
07/22/2026,$2.25,42301670,$2.20,$2.42,$2.15
07/21/2026,$2.20,86645620,$2.42,$2.60,$2.19
07/20/2026,$2.46,186756900,$2.20,$2.48,$2.10
07/17/2026,$1.94,42022320,$2.00,$2.05,$1.895
07/16/2026,$2.07,34115460,$2.06,$2.11,$1.95
07/15/2026,$2.07,40665660,$2.045,$2.14,$2.00
07/14/2026,$1.96,28572050,$1.87,$2.03,$1.85
07/13/2026,$1.87,24195820,$1.86,$1.925,$1.82
07/10/2026,$1.89,24249730,$1.93,$1.95,$1.87
07/09/2026,$1.90,36896760,$1.89,$1.975,$1.87
07/08/2026,$1.91,78775790,$1.68,$1.96,$1.60
07/07/2026,$1.72,53437740,$1.71,$1.74,$1.65
07/06/2026,$1.74,68889860,$1.86,$1.88,$1.72
07/02/2026,$1.89,53970860,$1.94,$1.95,$1.84
07/01/2026,$1.93,33570770,$1.89,$1.95,$1.81
06/30/2026,$1.90,31319830,$2.02,$2.06,$1.90
06/29/2026,$2.03,41402120,$2.17,$2.29,$2.01
06/26/2026,$2.16,65890040,$1.86,$2.22,$1.83
06/25/2026,$1.89,63905820,$2.01,$2.03,$1.72
06/24/2026,$2.00,46912100,$2.10,$2.24,$1.99
06/23/2026,$2.08,117400300,$2.11,$2.15,$1.93
06/22/2026,$2.76,49295440,$2.90,$2.96,$2.73
06/18/2026,$2.83,81447370,$2.65,$2.90,$2.58
06/17/2026,$2.66,68883290,$2.485,$2.83,$2.46
06/16/2026,$2.49,49829290,$2.22,$2.54,$2.20
06/15/2026,$2.28,40149090,$2.40,$2.455,$2.25
06/12/2026,$2.34,45783260,$2.24,$2.41,$2.19
06/11/2026,$2.28,59898510,$2.11,$2.32,$2.05
06/10/2026,$2.08,42323290,$1.91,$2.12,$1.91
06/09/2026,$1.94,39784990,$1.80,$2.01,$1.79
06/08/2026,$1.80,16091490,$1.81,$1.90,$1.79
06/05/2026,$1.79,27135860,$1.92,$1.92,$1.72
06/04/2026,$1.96,35952290,$1.82,$2.02,$1.82
