Date,Close/Last,Volume,Open,High,Low
08/05/2026,$2.42,5299459,$2.43,$2.43,$2.41
08/04/2026,$2.43,5774688,$2.42,$2.43,$2.41
08/03/2026,$2.42,18754980,$2.42,$2.44,$2.40
07/31/2026,$2.42,13987530,$2.41,$2.44,$2.40
07/30/2026,$2.41,5630770,$2.41,$2.41,$2.40
07/29/2026,$2.40,14078240,$2.42,$2.42,$2.40
07/28/2026,$2.42,13519690,$2.42,$2.42,$2.40
07/27/2026,$2.41,1938350,$2.42,$2.42,$2.41
07/24/2026,$2.41,1279751,$2.42,$2.42,$2.41
07/23/2026,$2.41,2081609,$2.41,$2.42,$2.40
07/22/2026,$2.41,2242655,$2.41,$2.42,$2.41
07/21/2026,$2.40,3631587,$2.41,$2.42,$2.40
07/20/2026,$2.41,2253223,$2.42,$2.42,$2.41
07/17/2026,$2.42,2248784,$2.40,$2.42,$2.40
07/16/2026,$2.41,3848018,$2.40,$2.41,$2.40
07/15/2026,$2.40,2490861,$2.40,$2.41,$2.40
07/14/2026,$2.41,3713711,$2.41,$2.42,$2.40
07/13/2026,$2.41,4325478,$2.41,$2.42,$2.41
07/10/2026,$2.40,5814650,$2.40,$2.42,$2.40
07/09/2026,$2.41,8622083,$2.41,$2.415,$2.40
07/08/2026,$2.41,7607268,$2.41,$2.42,$2.40
07/07/2026,$2.41,6924440,$2.41,$2.41,$2.40
07/06/2026,$2.41,10532200,$2.41,$2.42,$2.40
07/02/2026,$2.41,7980646,$2.41,$2.42,$2.40
07/01/2026,$2.41,7855493,$2.42,$2.42,$2.40
06/30/2026,$2.42,6762649,$2.41,$2.42,$2.40
06/29/2026,$2.40,5550330,$2.41,$2.41,$2.40
06/26/2026,$2.43,60218060,$2.40,$2.43,$2.40
06/25/2026,$2.40,5632366,$2.41,$2.41,$2.40
06/24/2026,$2.39,7490279,$2.41,$2.41,$2.39
06/23/2026,$2.40,4666717,$2.40,$2.41,$2.40
06/22/2026,$2.41,5948692,$2.40,$2.42,$2.40
