Date,Close/Last,Volume,Open,High,Low
08/05/2026,$248.12,2230404,$248.62,$251.1564,$246.74
08/04/2026,$248.79,3569345,$249.62,$250.26,$245.00
08/03/2026,$246.77,3279042,$245.47,$249.64,$242.20
07/31/2026,$243.05,3888094,$240.52,$246.00,$238.02
07/30/2026,$241.91,2839929,$241.875,$242.42,$237.36
07/29/2026,$241.12,2776769,$245.44,$246.24,$240.32
07/28/2026,$247.05,2946760,$249.80,$252.00,$246.09
07/27/2026,$245.75,4053904,$244.50,$248.0137,$242.53
07/24/2026,$243.15,3822661,$246.89,$247.75,$239.115
07/23/2026,$246.27,6306344,$238.00,$250.27,$237.69
07/22/2026,$232.99,3798818,$232.46,$238.1084,$231.32
07/21/2026,$229.86,2405638,$227.90,$232.84,$225.51
07/20/2026,$226.18,3114056,$225.00,$227.77,$223.585
07/17/2026,$225.02,3920400,$225.955,$230.47,$224.53
07/16/2026,$226.33,3149560,$221.17,$226.40,$221.17
07/15/2026,$222.84,2515112,$222.50,$225.91,$220.54
07/14/2026,$222.68,2123931,$223.30,$225.775,$222.215
07/13/2026,$222.25,2585826,$225.95,$226.8699,$220.39
07/10/2026,$226.42,2601827,$224.05,$228.775,$222.11
07/09/2026,$223.42,3026424,$221.22,$223.50,$218.10
07/08/2026,$220.36,4323065,$223.00,$223.06,$218.70
07/07/2026,$225.05,4462892,$230.42,$234.64,$222.05
07/06/2026,$231.18,7539065,$229.15,$231.86,$222.85
07/02/2026,$229.86,5659903,$222.28,$230.13,$220.22
07/01/2026,$221.75,6204918,$227.31,$227.31,$220.60
06/30/2026,$223.90,6010598,$231.35,$232.55,$219.33
06/29/2026,$227.80,7773010,$240.645,$252.00,$227.16
06/26/2026,$464.42,5000000,$459.06,$467.32,$452.58
06/25/2026,$462.48,2926428,$455.54,$474.74,$455.54
06/24/2026,$454.84,2050925,$447.64,$457.62,$447.42
06/23/2026,$444.74,3201257,$451.26,$451.56,$441.28
06/22/2026,$456.22,2014994,$459.56,$462.7998,$454.40
06/18/2026,$458.02,3327114,$464.58,$465.76,$453.78
06/17/2026,$457.22,2994394,$460.88,$469.40,$455.78
06/16/2026,$458.98,2083513,$458.00,$462.90,$453.83
06/15/2026,$454.82,4168610,$454.00,$462.70,$450.10
06/12/2026,$440.62,2329994,$444.00,$451.04,$438.32
06/11/2026,$438.24,3324347,$415.84,$439.00,$414.34
06/10/2026,$411.76,2324588,$428.44,$429.74,$411.04
06/09/2026,$431.40,2258699,$425.74,$432.42,$424.27
06/08/2026,$423.60,1878877,$427.584,$431.628,$422.88
06/05/2026,$427.94,2462940,$437.73,$437.98,$426.00
06/04/2026,$435.28,3381173,$450.67,$453.52,$433.54
