Date,Close/Last,Volume,Open,High,Low
08/05/2026,$257.59,6472628,$255.25,$259.32,$254.47
08/04/2026,$254.93,7362394,$254.41,$255.52,$250.44
08/03/2026,$254.41,8136276,$254.97,$257.75,$250.91
07/31/2026,$256.35,6782065,$256.01,$258.48,$253.2901
07/30/2026,$255.82,8219560,$259.03,$260.52,$254.5612
07/29/2026,$265.53,6111627,$268.50,$269.34,$264.79
07/28/2026,$266.73,10497910,$270.00,$274.90,$266.18
07/27/2026,$265.95,9647870,$262.55,$268.80,$261.35
07/24/2026,$263.40,6351847,$261.43,$263.71,$259.61
07/23/2026,$259.27,8063250,$255.24,$260.20,$254.42
07/22/2026,$255.63,9100164,$252.76,$256.2899,$251.21
07/21/2026,$250.61,7793070,$247.45,$251.3407,$245.49
07/20/2026,$248.82,8114657,$252.01,$254.175,$248.63
07/17/2026,$253.04,10167710,$252.59,$255.66,$251.95
07/16/2026,$249.97,11097640,$248.90,$253.545,$246.30
07/15/2026,$247.02,10547300,$250.09,$256.83,$246.05
07/14/2026,$253.85,8770553,$255.53,$256.39,$252.14
07/13/2026,$257.77,5272240,$257.95,$259.525,$256.15
07/10/2026,$256.98,6534728,$260.19,$261.30,$255.52
07/09/2026,$259.10,6426079,$260.63,$263.45,$258.13
07/08/2026,$263.40,6769425,$268.60,$268.60,$263.13
07/07/2026,$267.24,9089652,$264.89,$269.43,$264.045
07/06/2026,$259.33,6803700,$260.225,$261.38,$255.93
07/02/2026,$263.04,8000738,$255.78,$263.10,$254.00
07/01/2026,$253.98,6516504,$253.25,$254.20,$251.075
06/30/2026,$253.97,8469520,$259.00,$259.90,$253.1701
06/29/2026,$258.51,8608378,$253.19,$258.58,$252.0254
06/26/2026,$254.66,16316770,$248.27,$255.11,$247.87
06/25/2026,$244.88,10134550,$241.27,$248.19,$240.885
06/24/2026,$241.00,8139188,$239.89,$243.04,$238.75
06/23/2026,$239.08,11802000,$235.64,$239.80,$234.35
06/22/2026,$231.29,8518348,$228.95,$231.45,$227.50
06/18/2026,$228.39,18989760,$231.78,$232.75,$227.60
06/17/2026,$234.20,8548042,$234.03,$235.4299,$230.70
06/16/2026,$235.18,7718142,$236.37,$236.37,$231.02
