Date,Close/Last,Volume,Open,High,Low
08/05/2026,$25.73,23380450,$26.97,$27.05,$25.325
08/04/2026,$26.64,16254340,$26.27,$26.71,$26.14
08/03/2026,$26.42,13616410,$26.29,$26.53,$26.06
07/31/2026,$25.85,13034710,$26.02,$26.275,$25.82
07/30/2026,$26.38,14585990,$27.01,$27.11,$26.25
07/29/2026,$27.62,17873880,$27.23,$28.09,$27.21
07/28/2026,$27.30,20678290,$26.72,$27.66,$26.62
07/27/2026,$26.22,16741860,$25.70,$26.39,$25.70
07/24/2026,$25.67,13009790,$25.37,$25.695,$25.255
07/23/2026,$25.36,14529120,$25.75,$25.99,$25.17
07/22/2026,$25.96,10757830,$26.235,$26.33,$25.87
07/21/2026,$25.79,9233152,$25.90,$26.18,$25.615
07/20/2026,$25.86,10642280,$25.88,$26.12,$25.6451
07/17/2026,$25.88,15368190,$26.61,$27.1286,$25.745
07/16/2026,$26.23,15884650,$25.72,$26.395,$25.67
07/15/2026,$25.45,11927900,$25.02,$25.775,$24.714
07/14/2026,$25.08,10125600,$25.05,$25.162,$24.79
07/13/2026,$25.23,10595860,$24.92,$25.325,$24.92
07/10/2026,$24.85,6689095,$24.71,$25.045,$24.5052
07/09/2026,$24.68,10565240,$24.772,$25.015,$24.58
07/08/2026,$24.92,9660451,$25.54,$25.62,$24.895
07/07/2026,$25.30,11513980,$25.31,$25.745,$25.25
07/06/2026,$24.82,15085820,$25.30,$25.465,$24.48
07/02/2026,$25.37,14467180,$25.25,$25.515,$25.04
07/01/2026,$25.01,18348780,$24.03,$25.045,$24.02
06/30/2026,$23.62,12854610,$24.008,$24.325,$23.60
06/29/2026,$24.19,14864730,$23.74,$24.31,$23.71
06/26/2026,$23.70,14931580,$23.662,$24.045,$23.55
06/25/2026,$23.47,15321000,$23.00,$23.84,$22.94
06/24/2026,$22.94,16336020,$22.55,$23.075,$22.55
06/23/2026,$22.47,12665520,$22.36,$22.60,$22.235
06/22/2026,$22.03,16782230,$22.65,$22.72,$22.005
06/18/2026,$22.82,21350620,$23.095,$23.14,$22.7544
06/17/2026,$23.20,12969710,$23.56,$23.92,$22.96
06/16/2026,$23.80,13174060,$24.00,$24.00,$23.52
06/15/2026,$23.99,10704350,$24.235,$24.37,$23.965
06/12/2026,$24.39,7921722,$24.21,$24.41,$24.085
06/11/2026,$24.22,10308020,$24.07,$24.345,$23.97
06/10/2026,$24.05,11919200,$23.60,$24.15,$23.44
06/09/2026,$23.43,13534260,$23.36,$23.71,$23.305
06/08/2026,$23.35,15063340,$22.48,$23.40,$22.42
06/05/2026,$22.58,14563800,$22.28,$22.75,$22.15
06/04/2026,$22.47,19534050,$23.17,$23.2188,$22.36
06/03/2026,$22.76,18170390,$23.055,$23.39,$22.61
06/02/2026,$23.33,13837250,$23.675,$23.74,$23.2345
06/01/2026,$23.63,13312970,$23.802,$23.96,$23.45
05/29/2026,$24.01,21148220,$24.45,$24.48,$23.87
05/28/2026,$24.47,10356780,$24.44,$24.71,$24.40
05/27/2026,$24.38,13450100,$24.08,$24.695,$24.07
05/26/2026,$23.85,15194400,$23.805,$24.10,$23.695
05/22/2026,$23.79,11190490,$23.57,$23.955,$23.53
05/21/2026,$23.54,13152090,$23.545,$23.82,$23.18
05/20/2026,$23.53,13959610,$23.19,$23.655,$22.94
05/19/2026,$23.28,13737200,$23.365,$23.585,$23.005
05/18/2026,$23.35,20072410,$22.96,$23.40,$22.82
05/15/2026,$22.92,11593180,$23.43,$23.63,$22.91
05/14/2026,$23.31,16235850,$23.365,$23.8199,$23.14
05/13/2026,$23.18,12116240,$23.40,$23.715,$23.10
05/12/2026,$23.37,14835690,$23.44,$23.6398,$23.015
05/11/2026,$23.26,13962510,$24.00,$24.12,$23.095
05/08/2026,$23.96,13357380,$23.62,$24.15,$23.445
05/07/2026,$23.64,19910110,$23.01,$23.77,$22.95
05/06/2026,$23.07,26374720,$23.17,$23.56,$22.68
05/05/2026,$22.54,15526320,$22.33,$22.7677,$22.015
05/04/2026,$22.42,13955010,$22.33,$22.60,$22.24
05/01/2026,$22.49,14253540,$22.795,$22.99,$22.26
04/30/2026,$22.66,13011780,$22.40,$22.735,$22.39
04/29/2026,$22.42,13324930,$22.41,$22.61,$22.24
04/28/2026,$22.47,10544500,$22.25,$22.48,$22.015
04/27/2026,$21.92,9124183,$21.86,$22.12,$21.81
04/24/2026,$21.94,15256350,$22.05,$22.29,$21.77
04/23/2026,$21.97,11403740,$21.915,$22.115,$21.75
04/22/2026,$21.89,9254709,$22.03,$22.14,$21.77
04/21/2026,$21.98,13638190,$22.17,$22.27,$21.86
04/20/2026,$22.21,16415850,$22.46,$22.61,$22.12
04/17/2026,$22.47,12796560,$22.60,$22.73,$22.40
04/16/2026,$22.59,13670460,$22.05,$22.69,$22.02
04/15/2026,$22.01,13469770,$22.065,$22.21,$21.78
04/14/2026,$22.11,15815540,$22.31,$22.31,$21.98
04/13/2026,$22.42,15983170,$22.97,$23.00,$22.125
04/10/2026,$23.06,12921320,$23.30,$23.60,$23.01
04/09/2026,$23.27,11396910,$22.79,$23.36,$22.7077
04/08/2026,$22.95,15197950,$23.20,$23.26,$22.77
04/07/2026,$23.18,13164010,$23.56,$23.6099,$23.15
04/06/2026,$23.57,14195540,$22.79,$23.62,$22.74
04/02/2026,$22.79,12793610,$22.32,$22.84,$22.14
04/01/2026,$22.27,10617860,$22.33,$22.39,$21.95
03/31/2026,$22.49,15537460,$22.43,$22.58,$22.155
03/30/2026,$22.34,18513000,$22.13,$22.45,$21.99
03/27/2026,$22.04,16659260,$21.63,$22.27,$21.53
03/26/2026,$21.56,14424030,$21.47,$21.94,$21.47
