Date,Close/Last,Volume,Open,High,Low
08/05/2026,$44.51,2956413,$45.89,$46.135,$44.43
08/04/2026,$45.72,4277355,$44.67,$45.81,$44.45
08/03/2026,$44.50,3210708,$44.82,$45.28,$44.22
07/31/2026,$44.57,3656569,$45.39,$45.57,$43.94
07/30/2026,$45.66,3510342,$45.97,$46.23,$45.05
07/29/2026,$45.83,2394341,$46.05,$46.26,$45.48
07/28/2026,$46.20,2553692,$46.42,$46.59,$45.555
07/27/2026,$46.30,2246936,$45.65,$46.40,$45.62
07/24/2026,$45.54,2345371,$45.13,$46.365,$45.045
07/23/2026,$44.99,2141515,$45.37,$45.37,$44.82
07/22/2026,$45.49,1530430,$45.72,$45.83,$45.15
07/21/2026,$45.67,1847607,$46.34,$46.40,$45.62
07/20/2026,$46.34,1953860,$46.32,$47.1564,$46.24
07/17/2026,$46.13,2228416,$46.69,$46.69,$46.00
07/16/2026,$46.90,1770329,$46.65,$47.10,$46.30
07/15/2026,$46.84,3190192,$46.67,$47.285,$46.305
07/14/2026,$46.67,2017374,$47.30,$47.39,$46.52
07/13/2026,$47.24,2805897,$48.135,$48.2545,$46.66
07/10/2026,$46.88,1626795,$46.80,$47.63,$46.7372
07/09/2026,$46.44,1916052,$46.32,$46.875,$46.09
07/08/2026,$46.60,2600176,$46.80,$46.85,$46.13
07/07/2026,$46.64,3255574,$46.90,$47.27,$46.225
07/06/2026,$46.88,2433103,$47.00,$47.10,$46.13
07/02/2026,$47.10,3140709,$47.60,$47.87,$46.74
07/01/2026,$47.52,3557902,$47.80,$48.14,$47.49
06/30/2026,$47.81,4421622,$49.25,$49.315,$47.56
06/29/2026,$49.69,4301235,$48.90,$50.55,$48.63
06/26/2026,$49.19,5227690,$47.55,$49.25,$47.20
06/25/2026,$47.20,3278748,$47.45,$48.23,$46.65
06/24/2026,$47.09,2788813,$46.99,$47.62,$46.50
06/23/2026,$46.92,2154407,$46.26,$46.98,$46.22
06/22/2026,$46.57,2869605,$46.825,$47.09,$46.1426
06/18/2026,$46.84,5357093,$47.60,$48.18,$46.71
06/17/2026,$46.94,3763010,$47.97,$48.30,$46.94
06/16/2026,$47.98,3424030,$49.35,$49.4526,$47.695
06/15/2026,$48.62,4960017,$49.25,$49.81,$48.52
06/12/2026,$48.97,4814389,$48.15,$49.36,$47.94
06/11/2026,$47.22,2181055,$46.84,$47.285,$46.485
06/10/2026,$46.91,2203589,$46.68,$47.37,$46.585
06/09/2026,$47.15,4156488,$47.39,$48.04,$46.16
06/08/2026,$47.26,3038685,$47.48,$47.72,$47.07
06/05/2026,$47.51,3271998,$48.12,$48.21,$47.198
06/04/2026,$47.94,3689298,$48.72,$48.72,$47.67
06/03/2026,$48.30,5909007,$48.08,$48.75,$47.71
06/02/2026,$48.36,9835739,$50.50,$50.50,$48.22
06/01/2026,$50.69,27683890,$48.46,$51.59,$48.30
05/29/2026,$43.67,6899348,$43.00,$44.28,$42.72
05/28/2026,$42.93,6407209,$41.93,$43.20,$41.18
05/27/2026,$41.95,10052690,$40.32,$42.71,$40.32
05/26/2026,$38.45,3003920,$38.45,$38.575,$37.91
05/22/2026,$38.40,4837366,$37.74,$38.75,$37.715
05/21/2026,$37.66,5788731,$36.18,$37.805,$35.38
05/20/2026,$36.51,4293004,$35.855,$36.855,$35.3162
05/19/2026,$36.02,4943886,$37.00,$37.17,$36.01
05/18/2026,$37.09,3687371,$37.23,$37.52,$36.74
05/15/2026,$36.97,4862052,$36.86,$37.22,$36.36
05/14/2026,$36.81,6023499,$37.85,$38.10,$36.6001
05/13/2026,$37.41,3945512,$37.08,$37.82,$36.845
05/12/2026,$36.90,6011484,$37.31,$38.01,$36.735
05/11/2026,$37.30,4710998,$38.71,$38.72,$37.285
05/08/2026,$38.79,3754919,$38.39,$38.91,$37.915
05/07/2026,$38.11,4898071,$38.47,$38.72,$37.22
05/06/2026,$38.21,4215697,$38.62,$39.10,$38.01
05/05/2026,$37.91,4095614,$38.20,$38.72,$37.71
05/04/2026,$38.24,3998403,$38.34,$39.28,$37.89
05/01/2026,$38.50,6755632,$38.72,$39.38,$37.72
04/30/2026,$38.94,8289804,$39.68,$40.61,$38.37
04/29/2026,$39.27,6673484,$39.68,$40.13,$39.075
04/28/2026,$39.74,4520268,$40.51,$40.795,$39.685
04/27/2026,$40.55,6554814,$39.62,$40.94,$39.58
04/24/2026,$39.54,3797861,$38.86,$39.56,$37.78
04/23/2026,$38.94,3004655,$39.41,$39.59,$38.34
04/22/2026,$39.24,3001179,$39.39,$39.665,$38.81
04/21/2026,$39.11,2796841,$39.50,$40.46,$39.04
04/20/2026,$39.40,3440160,$38.40,$39.41,$37.88
04/17/2026,$38.59,4318945,$39.00,$40.20,$38.495
04/16/2026,$38.49,3747906,$38.20,$39.00,$38.1045
04/15/2026,$38.36,5336052,$36.85,$38.68,$36.77
04/14/2026,$36.73,4971922,$35.75,$37.16,$35.75
04/13/2026,$36.75,2627948,$36.96,$37.19,$36.21
04/10/2026,$37.32,3706739,$36.74,$37.43,$36.50
04/09/2026,$36.93,3556207,$36.83,$37.235,$36.154
04/08/2026,$37.10,5119714,$39.01,$39.23,$37.03
04/07/2026,$37.89,3593155,$37.44,$38.44,$37.37
04/06/2026,$37.60,2935962,$36.63,$37.635,$36.26
04/02/2026,$36.68,3428112,$36.20,$36.915,$35.32
04/01/2026,$36.78,4079627,$37.45,$37.67,$36.505
03/31/2026,$37.01,3569624,$36.13,$37.29,$35.90
03/30/2026,$35.62,3402290,$36.32,$36.88,$35.375
03/27/2026,$36.32,4700558,$37.32,$37.72,$36.09
03/26/2026,$37.57,5130186,$37.59,$37.97,$36.90
03/25/2026,$37.49,4111957,$37.44,$37.814,$36.72
03/24/2026,$37.11,6471973,$36.80,$37.36,$36.58
03/23/2026,$36.95,5717577,$36.99,$37.945,$36.26
03/20/2026,$35.37,9065867,$36.87,$37.09,$35.20
03/19/2026,$37.14,4145914,$35.95,$37.51,$35.77
03/18/2026,$36.37,3434813,$36.56,$37.235,$36.28
03/17/2026,$36.86,3662669,$36.40,$37.69,$36.285
03/16/2026,$35.98,5871544,$37.22,$37.25,$35.86
03/13/2026,$36.68,3807643,$36.84,$37.43,$36.454
03/12/2026,$36.30,4450018,$35.50,$36.88,$35.30
