Date,Close/Last,Volume,Open,High,Low
08/05/2026,$182.08,2728592,$181.09,$183.38,$181.09
08/04/2026,$181.45,2980401,$179.17,$181.67,$176.60
08/03/2026,$177.23,2749527,$178.00,$179.44,$176.13
07/31/2026,$176.28,2676824,$176.50,$177.14,$174.93
07/30/2026,$176.07,2812179,$177.61,$178.42,$173.96
07/29/2026,$177.95,4823497,$181.12,$182.20,$177.55
07/28/2026,$182.48,5503802,$179.60,$184.895,$178.975
07/27/2026,$178.23,4829420,$175.16,$179.29,$173.52
07/24/2026,$172.62,4101454,$170.31,$173.35,$169.46
07/23/2026,$169.59,4737084,$170.99,$171.99,$168.315
07/22/2026,$170.76,4593817,$172.05,$174.65,$169.73
07/21/2026,$170.76,11003520,$169.09,$176.16,$169.00
07/20/2026,$159.11,4063856,$160.42,$161.68,$159.01
07/17/2026,$159.84,2922987,$163.67,$164.23,$159.73
07/16/2026,$161.77,3482447,$159.88,$163.35,$159.12
07/15/2026,$160.53,3287084,$157.65,$163.02,$157.00
07/14/2026,$156.58,3579269,$158.77,$159.77,$155.92
07/13/2026,$157.70,1726417,$157.22,$159.40,$156.76
07/10/2026,$157.52,1945321,$155.53,$158.41,$155.40
07/09/2026,$155.34,3830021,$156.44,$157.31,$154.60
07/08/2026,$154.70,2311310,$156.00,$156.49,$153.56
07/07/2026,$158.01,1839595,$159.81,$159.90,$156.43
07/06/2026,$159.15,2180319,$160.42,$160.45,$156.05
07/02/2026,$160.44,1837673,$161.36,$161.9999,$159.61
07/01/2026,$159.96,2662176,$162.11,$163.00,$159.22
06/30/2026,$161.91,4024629,$163.69,$165.25,$160.91
06/29/2026,$162.43,5260365,$164.21,$165.59,$161.76
06/26/2026,$164.01,6334093,$167.16,$167.80,$163.37
06/25/2026,$167.97,2381833,$167.17,$169.76,$166.617
06/24/2026,$165.91,4555993,$162.45,$168.425,$161.58
06/23/2026,$161.84,2816252,$162.03,$164.17,$161.00
06/22/2026,$163.22,2642370,$161.03,$163.555,$160.52
06/18/2026,$160.60,6934632,$161.61,$162.22,$159.91
06/17/2026,$159.23,3781599,$161.50,$164.30,$158.87
06/16/2026,$161.63,3430510,$159.63,$163.15,$158.42
06/15/2026,$158.23,4426175,$161.41,$162.40,$157.21
06/12/2026,$158.32,4576913,$159.87,$159.9857,$156.27
06/11/2026,$157.91,4873937,$158.48,$159.6107,$155.135
06/10/2026,$156.85,7862123,$154.36,$163.01,$151.72
06/09/2026,$156.39,3434465,$154.28,$157.93,$153.66
06/08/2026,$153.85,3054404,$152.80,$156.08,$152.25
06/05/2026,$153.76,2488404,$153.59,$154.64,$152.69
06/04/2026,$152.77,2473253,$153.25,$154.32,$152.43
06/03/2026,$151.65,3330840,$152.66,$153.85,$151.505
06/02/2026,$152.90,3391686,$150.18,$153.16,$149.18
06/01/2026,$150.93,2691101,$150.33,$151.06,$148.398
05/29/2026,$153.13,7901754,$152.50,$154.415,$151.78
05/28/2026,$152.85,3224562,$153.94,$154.2899,$151.24
05/27/2026,$155.17,2878202,$154.71,$156.69,$154.65
05/26/2026,$154.03,2319339,$153.12,$154.59,$152.05
05/22/2026,$152.44,3209711,$152.90,$153.46,$151.7038
05/21/2026,$151.60,2834762,$148.77,$152.92,$147.318
05/20/2026,$149.78,3873136,$149.80,$150.865,$147.55
05/19/2026,$149.36,4629317,$151.36,$151.36,$148.36
05/18/2026,$152.53,5520476,$146.60,$152.69,$146.495
05/15/2026,$146.22,5276157,$144.38,$146.86,$144.38
05/14/2026,$145.12,4105608,$148.04,$148.06,$144.68
05/13/2026,$147.10,7625853,$147.01,$149.755,$146.02
05/12/2026,$143.21,2798587,$143.62,$144.60,$142.02
05/11/2026,$143.34,3319348,$143.50,$144.81,$142.88
05/08/2026,$143.29,2565966,$144.72,$145.30,$142.80
05/07/2026,$143.75,2764418,$146.43,$146.94,$143.47
05/06/2026,$146.54,4910368,$144.99,$148.32,$144.475
05/05/2026,$142.82,3386050,$142.40,$144.29,$142.315
05/04/2026,$141.56,4053603,$141.857,$144.2524,$141.39
05/01/2026,$142.50,2757948,$147.28,$147.32,$142.20
04/30/2026,$146.52,5018108,$144.00,$146.895,$143.83
04/29/2026,$143.87,3757630,$145.80,$146.57,$143.37
04/28/2026,$146.03,3726593,$145.435,$146.07,$143.75
04/27/2026,$145.77,2991030,$145.68,$147.20,$144.66
04/24/2026,$145.99,5930968,$144.41,$146.28,$144.00
04/23/2026,$144.84,5138333,$146.20,$147.365,$143.59
04/22/2026,$145.78,4582964,$150.62,$150.91,$144.75
04/21/2026,$148.47,7233665,$151.77,$158.1435,$146.86
04/20/2026,$151.40,4672682,$154.02,$154.93,$151.015
04/17/2026,$154.55,4950480,$152.84,$156.38,$151.91
04/16/2026,$150.55,2143933,$151.49,$152.87,$150.43
04/15/2026,$151.24,2837572,$152.00,$152.68,$150.09
04/14/2026,$152.55,2233160,$153.16,$154.16,$152.38
04/13/2026,$152.79,2489292,$149.93,$152.79,$148.7101
04/10/2026,$150.32,1826290,$151.22,$151.50,$149.70
04/09/2026,$150.50,2825888,$148.18,$151.44,$147.68
04/08/2026,$149.17,4223629,$148.98,$150.24,$147.02
04/07/2026,$144.35,2887043,$143.83,$144.70,$142.64
04/06/2026,$144.50,2151061,$144.02,$145.1525,$143.5101
04/02/2026,$144.47,1782939,$142.34,$146.17,$142.145
04/01/2026,$145.25,2419779,$146.02,$147.28,$145.17
03/31/2026,$145.23,3384956,$144.41,$145.29,$141.78
03/30/2026,$142.52,2483552,$143.70,$143.9069,$141.76
03/27/2026,$143.04,3428091,$143.69,$146.19,$142.66
03/26/2026,$143.99,2812180,$147.09,$147.40,$143.711
03/25/2026,$148.05,2238540,$148.48,$149.17,$146.47
03/24/2026,$146.67,3036877,$145.03,$147.80,$144.90
03/23/2026,$146.56,4924711,$144.04,$148.215,$143.18
03/20/2026,$141.20,6900740,$141.61,$143.30,$139.34
03/19/2026,$142.71,4276188,$143.43,$143.965,$141.12
03/18/2026,$145.08,4239589,$147.84,$148.3322,$144.10
