Date,Close/Last,Volume,Open,High,Low
08/05/2026,$341.74,890710,$340.92,$342.00,$337.89
08/04/2026,$341.27,761073,$335.49,$341.84,$332.825
08/03/2026,$336.65,776622,$336.50,$338.48,$333.65
07/31/2026,$335.48,1462426,$333.01,$337.72,$331.67
07/30/2026,$333.93,1098191,$334.25,$336.42,$328.775
07/29/2026,$335.74,1901334,$338.78,$339.06,$334.98
07/28/2026,$338.84,1161416,$345.32,$348.23,$338.61
07/27/2026,$343.35,1842590,$351.75,$351.75,$340.68
07/24/2026,$350.66,1194196,$351.59,$353.47,$347.32
07/23/2026,$348.55,2748338,$343.00,$358.595,$343.00
07/22/2026,$330.94,975649,$333.69,$334.50,$329.82
07/21/2026,$331.30,861545,$334.88,$335.28,$331.02
07/20/2026,$334.97,1011410,$340.77,$341.99,$334.18
07/17/2026,$340.16,1162314,$339.41,$342.53,$337.72
07/16/2026,$338.06,1290971,$330.00,$339.765,$329.37
07/15/2026,$328.54,1257512,$325.43,$328.54,$323.41
07/14/2026,$326.83,866710,$326.01,$329.38,$325.335
07/13/2026,$327.59,620510,$327.60,$329.05,$325.98
07/10/2026,$327.47,636075,$325.00,$328.58,$323.785
07/09/2026,$323.77,740384,$320.91,$324.49,$316.1609
07/08/2026,$319.22,651339,$323.98,$323.98,$318.53
07/07/2026,$322.74,691672,$324.00,$325.37,$319.24
07/06/2026,$321.90,869105,$323.20,$324.30,$318.56
07/02/2026,$322.71,861530,$321.59,$323.75,$319.63
07/01/2026,$318.99,1173489,$314.00,$320.19,$313.00
06/30/2026,$314.59,1231382,$317.05,$317.05,$312.29
06/29/2026,$316.65,678972,$312.51,$316.77,$311.58
06/26/2026,$312.81,1396978,$312.36,$314.998,$310.36
06/25/2026,$312.06,975219,$306.78,$312.24,$306.78
06/24/2026,$303.82,984759,$304.64,$307.865,$303.32
06/23/2026,$303.39,1593034,$304.79,$305.54,$302.11
06/22/2026,$304.17,1478324,$299.00,$306.24,$298.84
06/18/2026,$300.08,1885206,$301.75,$305.75,$298.83
06/17/2026,$300.53,1538837,$308.29,$308.87,$297.45
06/16/2026,$310.81,1346401,$312.02,$313.59,$308.54
06/15/2026,$310.28,1002805,$313.96,$314.03,$309.19
06/12/2026,$313.91,532809,$311.57,$315.96,$310.38
06/11/2026,$310.53,803522,$308.98,$311.71,$307.50
06/10/2026,$308.93,772549,$313.64,$313.92,$308.49
06/09/2026,$312.32,1057501,$310.20,$313.49,$309.15
06/08/2026,$309.93,1151668,$315.02,$315.50,$309.275
06/05/2026,$313.45,1446026,$308.05,$316.04,$308.05
06/04/2026,$307.19,1187699,$309.70,$310.69,$301.17
06/03/2026,$305.11,924908,$307.82,$311.07,$305.04
06/02/2026,$307.55,667594,$305.31,$309.13,$304.846
06/01/2026,$305.16,931569,$304.43,$305.84,$301.26
05/29/2026,$304.96,1608930,$306.00,$312.62,$301.53
05/28/2026,$307.88,3301050,$322.34,$322.98,$304.66
05/27/2026,$325.68,850524,$320.00,$326.00,$320.00
05/26/2026,$320.22,1107286,$315.32,$321.19,$314.34
05/22/2026,$314.53,1600147,$311.82,$317.25,$311.17
05/21/2026,$311.44,783015,$311.85,$314.84,$310.06
05/20/2026,$311.84,1592040,$319.02,$320.70,$310.06
05/19/2026,$318.20,1094528,$318.76,$321.07,$316.07
05/18/2026,$320.08,1523569,$317.42,$320.90,$316.13
05/15/2026,$315.95,1599881,$316.15,$317.91,$314.00
05/14/2026,$317.64,607119,$311.91,$317.71,$309.825
05/13/2026,$310.58,675414,$312.27,$315.219,$310.29
05/12/2026,$312.35,865209,$311.88,$313.935,$308.83
05/11/2026,$311.11,2011393,$313.39,$316.00,$310.77
05/08/2026,$312.01,1705869,$311.65,$315.02,$311.65
05/07/2026,$313.39,862270,$317.79,$318.00,$313.27
05/06/2026,$317.25,1025991,$315.00,$319.98,$314.835
05/05/2026,$313.57,594996,$312.35,$314.53,$310.44
05/04/2026,$311.66,715370,$313.00,$315.459,$310.2001
05/01/2026,$315.90,922205,$318.06,$318.06,$315.07
04/30/2026,$315.83,1893365,$311.46,$315.94,$311.46
04/29/2026,$312.12,948934,$316.04,$316.949,$311.57
04/28/2026,$316.71,933201,$321.00,$321.18,$315.66
04/27/2026,$318.89,1080675,$318.74,$321.00,$316.27
04/24/2026,$319.71,896018,$323.36,$323.37,$318.24
04/23/2026,$321.44,1413472,$306.14,$322.20,$304.3849
04/22/2026,$298.33,896138,$303.94,$305.605,$298.01
04/21/2026,$302.22,901698,$305.02,$305.98,$300.76
04/20/2026,$304.13,1127981,$302.31,$305.65,$300.06
04/17/2026,$302.38,1454605,$302.51,$306.74,$301.89
04/16/2026,$302.63,1515900,$298.08,$302.66,$296.37
04/15/2026,$297.71,1474987,$299.63,$299.68,$295.55
04/14/2026,$299.70,1055874,$296.42,$300.12,$294.75
04/13/2026,$297.56,818266,$295.44,$297.64,$294.04
04/10/2026,$296.29,1436625,$295.06,$297.19,$294.00
04/09/2026,$295.30,1704082,$293.45,$296.53,$292.94
04/08/2026,$294.10,1899416,$292.40,$295.595,$291.85
04/07/2026,$288.50,1328987,$288.05,$289.85,$286.59
04/06/2026,$288.05,1286883,$287.87,$290.33,$286.94
04/02/2026,$288.00,2064529,$286.00,$290.00,$284.77
04/01/2026,$287.00,1770964,$288.58,$291.02,$287.00
03/31/2026,$287.00,2141085,$285.13,$289.11,$281.73
03/30/2026,$282.33,936408,$286.20,$287.20,$282.07
03/27/2026,$283.25,1214731,$281.11,$285.16,$280.94
03/26/2026,$283.28,2167964,$281.66,$283.53,$279.74
03/25/2026,$282.61,1166675,$286.01,$286.215,$282.23
03/24/2026,$283.64,876907,$282.71,$287.96,$282.05
03/23/2026,$284.95,1001482,$285.74,$288.14,$284.31
03/20/2026,$281.09,1643386,$279.34,$282.49,$277.90
03/19/2026,$278.19,2011345,$284.35,$284.675,$278.05
03/18/2026,$284.36,1113812,$290.43,$291.14,$283.8775
03/17/2026,$291.32,601750,$293.49,$293.85,$289.335
03/16/2026,$290.70,734410,$292.98,$294.29,$290.49
03/13/2026,$289.37,745256,$292.82,$292.82,$288.10
03/12/2026,$291.26,1015106,$295.33,$295.33,$290.22
03/11/2026,$297.56,1613832,$295.77,$298.98,$294.51
03/10/2026,$298.49,1289268,$301.51,$303.60,$298.41
03/09/2026,$302.43,1980780,$299.68,$303.25,$295.4101
03/06/2026,$302.84,1832657,$308.00,$309.52,$300.26
03/05/2026,$310.92,852396,$315.92,$317.92,$310.62
03/04/2026,$317.83,2111678,$317.32,$318.79,$314.54
03/03/2026,$317.26,1393259,$313.04,$317.50,$309.72
03/02/2026,$317.47,1016315,$315.68,$318.46,$312.01
02/27/2026,$314.74,2128665,$311.87,$315.12,$311.03
02/26/2026,$313.01,1138579,$312.69,$315.92,$310.96
02/25/2026,$311.85,1412841,$316.88,$316.9599,$310.13
02/24/2026,$316.09,2378219,$313.94,$316.295,$312.945
02/23/2026,$315.03,1470251,$317.74,$317.74,$311.6963
02/20/2026,$316.23,1355219,$313.78,$318.43,$312.995
02/19/2026,$314.05,1224579,$317.00,$317.51,$312.535
02/18/2026,$316.76,1337545,$315.00,$317.13,$314.10
02/17/2026,$316.12,1015981,$315.66,$318.00,$314.66
02/13/2026,$314.94,746545,$313.25,$316.89,$311.625
02/12/2026,$314.54,1293611,$318.59,$319.94,$312.29
02/11/2026,$317.29,1376312,$315.45,$318.65,$315.215
02/10/2026,$315.45,1525530,$306.04,$316.24,$305.355
02/09/2026,$305.72,1228151,$305.49,$306.95,$302.01
02/06/2026,$306.48,1166521,$303.47,$307.97,$302.97
02/05/2026,$306.91,2020656,$307.06,$309.21,$304.76
02/04/2026,$306.84,1425881,$300.42,$308.11,$299.75
02/03/2026,$298.32,1659682,$289.59,$298.785,$289.59
02/02/2026,$291.45,1153107,$290.82,$292.20,$286.70
01/30/2026,$291.24,942288,$286.78,$291.69,$286.78
01/29/2026,$290.16,1125757,$284.00,$290.64,$284.00
01/28/2026,$284.47,765987,$288.00,$290.66,$284.37
01/27/2026,$288.97,1502611,$288.86,$293.51,$286.30
01/26/2026,$288.26,973446,$288.11,$289.525,$287.10
01/23/2026,$287.41,940389,$289.43,$291.24,$287.08
01/22/2026,$289.08,958156,$289.31,$291.46,$288.21
01/21/2026,$289.10,1239220,$282.39,$289.54,$281.615
01/20/2026,$280.39,2240249,$286.64,$286.78,$277.80
01/16/2026,$290.63,1467092,$290.58,$292.01,$289.00
01/15/2026,$290.77,1070877,$287.56,$291.24,$286.89
01/14/2026,$286.37,619452,$286.75,$289.355,$285.45
01/13/2026,$288.20,529567,$288.84,$289.72,$286.545
01/12/2026,$288.73,956443,$285.00,$289.03,$284.68
01/09/2026,$287.21,786791,$290.53,$293.6402,$286.53
01/08/2026,$289.72,725891,$283.41,$291.25,$283.31
01/07/2026,$284.09,1198694,$291.61,$292.75,$283.92
01/06/2026,$291.15,991191,$287.38,$291.39,$287.38
01/05/2026,$287.92,1052788,$286.92,$291.22,$285.94
01/02/2026,$287.82,1567679,$288.89,$290.18,$287.01
12/31/2025,$288.72,719879,$290.49,$290.695,$288.57
12/30/2025,$290.11,621666,$291.55,$291.965,$290.10
12/29/2025,$292.05,505546,$291.58,$292.95,$290.281
12/26/2025,$290.96,357051,$292.71,$293.33,$290.86
12/24/2025,$292.71,389307,$291.30,$293.83,$291.30
12/23/2025,$291.88,1069817,$291.53,$292.44,$290.67
12/22/2025,$291.60,1017127,$291.52,$292.665,$289.27
12/19/2025,$291.41,1368281,$291.05,$293.08,$289.20
12/18/2025,$291.83,1274203,$294.82,$296.60,$291.21
12/17/2025,$294.43,1118579,$294.00,$295.66,$293.02
12/16/2025,$294.00,2334366,$299.54,$300.42,$293.72
12/15/2025,$299.49,1570114,$298.00,$299.84,$295.91
12/12/2025,$296.98,1690098,$295.31,$297.89,$294.17
12/11/2025,$294.06,1946454,$292.42,$294.59,$291.32
12/10/2025,$294.26,1652554,$289.71,$295.80,$289.71
12/09/2025,$289.53,1704005,$292.39,$292.67,$289.47
12/08/2025,$293.00,967803,$295.01,$296.03,$292.635
12/05/2025,$294.19,1045061,$293.70,$295.59,$293.31
12/04/2025,$295.13,1553518,$293.21,$295.96,$292.8925
12/03/2025,$294.05,1479166,$292.09,$295.25,$290.71
12/02/2025,$291.75,2389868,$289.82,$292.53,$287.42
12/01/2025,$289.83,1592543,$291.36,$294.00,$289.77
11/28/2025,$292.09,453446,$289.67,$293.28,$288.88
11/26/2025,$290.03,951246,$289.06,$291.57,$288.77
11/25/2025,$289.06,1022462,$285.14,$289.665,$285.0101
11/24/2025,$283.11,2112521,$286.53,$287.08,$282.30
11/21/2025,$286.29,1337556,$281.58,$286.96,$281.2565
11/20/2025,$280.22,2600380,$283.29,$285.63,$280.09
11/19/2025,$281.77,1505110,$281.40,$283.00,$280.47
11/18/2025,$280.74,2076620,$281.37,$282.75,$280.14
11/17/2025,$281.41,1568562,$283.98,$285.225,$281.41
11/14/2025,$283.98,2086748,$283.37,$286.03,$282.64
11/13/2025,$283.53,1295484,$286.05,$286.58,$283.00
11/12/2025,$286.49,960134,$286.60,$289.63,$286.35
11/11/2025,$287.57,727543,$287.97,$288.41,$286.34
11/10/2025,$286.92,1369171,$283.39,$287.7099,$282.97
11/07/2025,$284.25,1090369,$281.02,$284.28,$281.02
11/06/2025,$282.10,1088116,$280.28,$282.96,$279.81
11/05/2025,$280.77,878640,$283.03,$284.68,$280.76
11/04/2025,$283.80,1419985,$281.55,$284.11,$280.41
11/03/2025,$282.17,1558821,$282.44,$284.00,$281.53
10/31/2025,$283.38,1062603,$280.41,$284.53,$279.495
10/30/2025,$281.62,816741,$279.63,$283.41,$279.485
10/29/2025,$279.53,1048512,$280.00,$281.50,$278.41
10/28/2025,$280.40,1535282,$282.71,$284.62,$280.31
10/27/2025,$281.64,1086315,$281.95,$282.58,$280.07
10/24/2025,$280.50,1466778,$283.48,$285.08,$279.92
10/23/2025,$283.83,1124233,$288.64,$289.62,$283.41
10/22/2025,$288.63,1232140,$290.21,$292.5414,$288.54
10/21/2025,$289.78,993102,$290.11,$292.08,$288.98
10/20/2025,$291.15,1348078,$289.57,$292.89,$289.50
10/17/2025,$289.78,991271,$289.56,$292.5675,$289.24
10/16/2025,$288.49,1115822,$291.45,$291.45,$287.35
10/15/2025,$289.70,938203,$290.41,$291.72,$288.43
10/14/2025,$290.31,745569,$287.68,$292.1114,$287.0001
10/13/2025,$289.57,1057256,$289.50,$291.42,$287.79
10/10/2025,$288.37,925817,$295.72,$297.57,$288.31
10/09/2025,$294.89,926473,$297.53,$297.53,$294.47
10/08/2025,$296.62,886352,$294.99,$297.54,$292.95
10/07/2025,$295.86,912205,$299.95,$300.835,$294.81
10/06/2025,$299.65,2076619,$301.44,$301.53,$298.57
10/03/2025,$300.15,1839362,$298.31,$302.24,$298.31
10/02/2025,$298.30,1292881,$299.31,$301.47,$297.63
10/01/2025,$298.68,1594853,$299.18,$300.80,$297.20
09/30/2025,$300.41,1089363,$299.00,$300.60,$298.667
09/29/2025,$299.62,1117994,$297.23,$300.91,$297.23
09/26/2025,$297.49,1835444,$294.68,$298.42,$293.33
09/25/2025,$294.57,1666932,$293.91,$295.535,$293.54
09/24/2025,$293.32,2405236,$292.45,$296.375,$292.45
09/23/2025,$292.08,1734480,$291.00,$293.64,$289.81
09/22/2025,$290.55,2918176,$284.69,$294.78,$282.955
09/19/2025,$283.71,2712447,$283.80,$284.76,$282.605
09/18/2025,$282.68,1095413,$278.38,$283.12,$277.76
09/17/2025,$278.00,2854854,$278.95,$280.11,$276.55
09/16/2025,$278.09,1707116,$278.00,$280.985,$277.61
09/15/2025,$277.16,1169509,$277.00,$277.46,$274.78
09/12/2025,$274.72,2243820,$273.86,$276.23,$273.76
09/11/2025,$274.00,1447173,$271.90,$275.62,$271.875
09/10/2025,$272.36,1979389,$272.42,$274.01,$268.23
