Date,Close/Last,Volume,Open,High,Low
08/03/2026,$55.47,8665146,$55.64,$56.125,$54.86
07/31/2026,$57.07,6836510,$56.00,$57.10,$55.55
07/30/2026,$55.95,6281796,$55.04,$55.98,$54.73
07/29/2026,$56.03,9568802,$55.725,$56.315,$55.33
07/28/2026,$53.93,7922894,$55.00,$55.425,$53.75
07/27/2026,$54.93,8471829,$55.54,$56.49,$54.905
07/24/2026,$57.30,8129530,$57.30,$57.93,$56.8301
07/23/2026,$57.60,9043807,$58.64,$58.99,$57.50
07/22/2026,$57.50,7569993,$57.47,$57.82,$57.09
07/21/2026,$56.50,7558386,$55.54,$56.50,$55.36
07/20/2026,$55.19,7887310,$54.21,$55.6699,$54.00
07/17/2026,$54.86,7919257,$54.65,$55.17,$54.005
07/16/2026,$53.65,6536142,$53.91,$54.20,$53.53
07/15/2026,$53.77,8792013,$54.56,$54.66,$52.9505
07/14/2026,$54.57,11115190,$55.00,$55.49,$53.81
07/13/2026,$54.81,12864190,$54.09,$55.1097,$53.445
07/10/2026,$52.89,6593058,$52.53,$53.06,$51.865
07/09/2026,$52.30,8296430,$52.87,$52.94,$52.00
07/08/2026,$53.59,20822330,$52.90,$54.89,$52.47
07/07/2026,$51.68,11662010,$49.41,$51.875,$49.385
07/06/2026,$48.81,6667401,$48.71,$49.27,$48.69
07/02/2026,$48.91,8553606,$48.44,$48.97,$48.27
07/01/2026,$47.94,8495666,$48.375,$48.7222,$47.77
06/30/2026,$48.57,10121390,$49.18,$49.715,$48.55
06/29/2026,$49.09,9708701,$50.01,$50.41,$49.05
06/26/2026,$49.99,12790870,$50.94,$51.07,$49.85
06/25/2026,$51.21,7428067,$51.09,$51.75,$50.44
06/24/2026,$51.09,7858064,$51.00,$51.38,$50.295
06/23/2026,$52.23,9887728,$52.10,$52.58,$51.66
06/22/2026,$52.00,9212291,$52.025,$52.28,$51.11
06/18/2026,$51.82,13871780,$52.40,$52.415,$51.185
06/17/2026,$53.04,8258234,$53.48,$53.995,$52.83
06/16/2026,$53.67,9747735,$53.70,$54.17,$53.40
06/15/2026,$54.46,10657310,$53.45,$54.975,$53.11
06/12/2026,$56.54,10460980,$54.74,$57.32,$54.6003
06/11/2026,$55.47,12019940,$57.51,$58.20,$55.46
06/10/2026,$57.10,9048559,$56.97,$58.46,$56.65
06/09/2026,$56.55,11180050,$56.92,$57.065,$55.61
06/08/2026,$57.48,8703551,$57.41,$58.16,$57.18
06/05/2026,$56.93,8194306,$58.80,$58.89,$56.85
06/04/2026,$58.67,8535899,$58.65,$58.945,$58.13
06/03/2026,$59.64,8662919,$59.52,$60.50,$59.12
06/02/2026,$59.09,9612561,$58.005,$59.41,$57.83
06/01/2026,$58.92,12362370,$57.94,$59.89,$57.86
05/29/2026,$56.63,14401170,$57.05,$57.05,$56.025
05/28/2026,$57.32,10911310,$57.74,$58.205,$56.97
05/27/2026,$56.89,11363760,$56.60,$57.91,$55.70
05/26/2026,$57.46,10569970,$58.40,$59.10,$57.46
05/22/2026,$58.81,7923085,$58.69,$59.17,$58.07
05/21/2026,$58.83,14021540,$60.65,$60.84,$58.02
05/20/2026,$58.87,12476270,$60.50,$61.24,$58.83
05/19/2026,$60.70,12682630,$60.13,$60.94,$59.63
05/18/2026,$59.70,12276320,$58.90,$60.245,$58.32
05/15/2026,$59.62,16712330,$57.93,$59.70,$57.56
05/14/2026,$56.84,8768439,$56.00,$57.2705,$55.845
05/13/2026,$56.18,6925418,$56.215,$56.36,$55.4701
05/12/2026,$56.27,10639150,$55.80,$56.425,$55.17
05/11/2026,$55.14,13719760,$54.01,$55.46,$54.01
05/08/2026,$53.03,12962030,$53.91,$54.25,$52.985
05/07/2026,$53.94,18219350,$53.905,$54.34,$53.18
05/06/2026,$55.12,20697290,$55.52,$56.69,$54.74
05/05/2026,$59.34,9435124,$59.625,$60.03,$59.17
05/04/2026,$60.27,10361570,$59.25,$60.385,$58.70
05/01/2026,$58.71,13859600,$60.04,$60.11,$57.90
04/30/2026,$60.58,12990350,$59.59,$60.75,$58.93
04/29/2026,$60.76,13771780,$59.34,$60.785,$58.61
04/28/2026,$58.61,12734570,$58.10,$59.00,$57.9201
04/27/2026,$57.27,7551965,$57.355,$58.015,$56.95
04/24/2026,$57.12,7851207,$57.60,$57.75,$56.515
04/23/2026,$57.83,9731243,$57.51,$58.015,$56.85
04/22/2026,$57.05,9488316,$56.61,$57.11,$56.20
04/21/2026,$56.33,15402520,$54.50,$56.48,$54.32
04/20/2026,$54.48,11503630,$54.12,$54.96,$53.87
04/17/2026,$53.79,24183760,$53.66,$54.025,$51.96
04/16/2026,$56.87,10022420,$56.18,$57.055,$55.61
04/15/2026,$55.83,12237980,$55.45,$56.40,$55.12
04/14/2026,$55.38,16461840,$56.92,$57.00,$55.10
04/13/2026,$58.06,14483190,$58.62,$59.24,$57.40
04/10/2026,$57.97,10476680,$58.04,$58.82,$57.6299
04/09/2026,$58.53,15496730,$60.10,$60.73,$58.2301
04/08/2026,$59.77,25788980,$57.17,$59.98,$56.25
