Date,Close/Last,Volume,Open,High,Low
08/05/2026,$138.78,6257637,$140.23,$140.27,$137.92
08/04/2026,$139.10,8525176,$137.77,$139.205,$137.1321
08/03/2026,$139.63,6645290,$141.08,$141.55,$138.7101
07/31/2026,$139.56,9699437,$139.525,$140.155,$138.3801
07/30/2026,$140.20,8257463,$141.10,$142.52,$139.42
07/29/2026,$143.50,8398315,$143.28,$145.23,$142.58
07/28/2026,$142.86,10648840,$143.21,$145.43,$141.785
07/27/2026,$139.79,7239327,$137.07,$140.305,$137.01
07/24/2026,$136.64,7968317,$135.53,$137.13,$134.565
07/23/2026,$134.95,7755679,$134.70,$135.34,$133.73
07/22/2026,$135.65,6198716,$136.36,$136.36,$134.72
07/21/2026,$135.00,7989507,$134.90,$135.38,$134.27
07/20/2026,$135.46,8758656,$137.57,$137.59,$133.95
07/17/2026,$137.12,8579298,$140.89,$141.96,$136.18
07/16/2026,$139.43,7805559,$137.035,$139.6199,$136.50
07/15/2026,$135.40,8078255,$135.09,$136.99,$134.6546
07/14/2026,$135.45,8518560,$138.25,$138.79,$135.41
07/13/2026,$138.49,6716299,$138.02,$140.25,$137.75
07/10/2026,$137.38,9074880,$135.857,$137.96,$135.31
07/09/2026,$137.86,18763670,$137.085,$138.74,$134.69
07/08/2026,$142.51,8997884,$146.00,$146.00,$142.44
07/07/2026,$144.98,9256664,$146.99,$149.04,$144.54
07/06/2026,$143.29,9006587,$144.24,$144.70,$141.38
07/02/2026,$144.22,13041800,$143.235,$144.74,$142.1599
07/01/2026,$141.16,9391705,$137.21,$141.34,$136.61
06/30/2026,$135.40,14148300,$138.81,$139.14,$134.94
06/29/2026,$138.68,10042380,$141.965,$142.37,$137.53
06/26/2026,$141.39,9735656,$140.52,$142.14,$140.20
06/25/2026,$139.52,7336851,$141.99,$143.10,$139.37
06/24/2026,$142.27,8324098,$142.02,$143.74,$141.67
06/23/2026,$142.05,7589035,$143.675,$143.675,$140.865
06/22/2026,$140.71,10345010,$141.28,$142.49,$140.48
06/18/2026,$142.02,19130320,$141.05,$142.729,$141.04
06/17/2026,$141.59,10126580,$145.51,$145.87,$140.85
06/16/2026,$146.12,9345235,$146.87,$147.64,$145.03
06/15/2026,$146.25,8976365,$143.02,$146.77,$142.81
06/12/2026,$144.27,6783560,$143.795,$144.36,$142.41
06/11/2026,$143.73,8653856,$144.86,$145.40,$143.57
06/10/2026,$144.32,11249230,$143.945,$145.45,$143.00
06/09/2026,$142.78,10390160,$141.53,$144.2999,$140.8501
06/08/2026,$140.68,8800466,$140.92,$141.86,$139.26
06/05/2026,$141.92,13228690,$141.56,$144.34,$141.21
06/04/2026,$142.15,8089821,$144.86,$145.70,$141.205
06/03/2026,$142.54,6225123,$141.785,$143.68,$141.77
06/02/2026,$142.00,7864652,$141.54,$142.89,$140.81
06/01/2026,$141.52,8077342,$142.585,$144.11,$141.32
05/29/2026,$144.19,12779200,$145.14,$146.765,$143.5462
05/28/2026,$146.29,7631921,$147.77,$148.61,$145.62
05/27/2026,$147.74,7405760,$146.27,$148.9138,$145.70
05/26/2026,$145.68,9067004,$149.71,$150.25,$145.50
05/22/2026,$150.57,7775461,$149.41,$150.8396,$148.54
05/21/2026,$148.85,6123142,$149.29,$149.67,$146.38
05/20/2026,$149.29,7425807,$149.57,$150.65,$148.39
05/19/2026,$150.37,10093900,$150.30,$152.57,$148.97
05/18/2026,$149.06,8799358,$149.99,$150.12,$147.48
05/15/2026,$149.12,6230649,$149.56,$150.11,$148.19
05/14/2026,$148.67,5022216,$149.50,$149.99,$148.15
05/13/2026,$149.27,5524860,$150.69,$153.24,$148.96
05/12/2026,$151.85,6250654,$150.54,$152.72,$148.355
05/11/2026,$149.41,8373262,$154.39,$154.70,$149.06
05/08/2026,$154.62,4934779,$156.75,$157.30,$154.38
05/07/2026,$156.29,4464045,$155.01,$157.35,$154.88
05/06/2026,$155.96,5296905,$155.80,$156.9277,$154.865
05/05/2026,$155.04,6200143,$154.05,$156.31,$152.54
05/04/2026,$154.59,5331240,$155.90,$156.73,$153.665
05/01/2026,$157.41,4447358,$159.55,$160.00,$156.43
04/30/2026,$158.49,7065546,$155.98,$159.00,$155.28
04/29/2026,$155.29,4047631,$155.59,$156.49,$153.48
04/28/2026,$156.29,5174311,$156.80,$158.11,$155.3219
