Date,Close/Last,Volume,Open,High,Low
08/05/2026,$6.52,10772250,$6.57,$6.63,$6.425
08/04/2026,$6.61,11666090,$6.40,$6.69,$6.40
08/03/2026,$6.45,7582779,$6.50,$6.64,$6.39
07/31/2026,$6.39,6434577,$6.38,$6.41,$6.26
07/30/2026,$6.38,4911299,$6.53,$6.57,$6.34
07/29/2026,$6.59,10609650,$6.58,$6.73,$6.535
07/28/2026,$6.55,9234727,$6.27,$6.56,$6.26
07/27/2026,$6.26,6036898,$6.20,$6.295,$6.04
07/24/2026,$6.08,4035042,$6.09,$6.17,$5.99
07/23/2026,$6.03,5362587,$6.20,$6.2397,$5.985
07/22/2026,$6.26,6711765,$6.34,$6.35,$6.20
07/21/2026,$6.36,6323881,$6.51,$6.5275,$6.35
07/20/2026,$6.52,8775388,$6.22,$6.57,$6.18
07/17/2026,$6.12,6372084,$6.20,$6.27,$6.09
07/16/2026,$6.29,8600292,$6.31,$6.44,$6.24
07/15/2026,$6.33,8183212,$6.25,$6.415,$6.195
07/14/2026,$6.16,7143163,$6.04,$6.25,$5.99
07/13/2026,$6.08,9360099,$5.86,$6.2099,$5.86
07/10/2026,$5.86,4242052,$5.92,$5.9989,$5.83
07/09/2026,$5.94,5544461,$5.80,$5.97,$5.75
07/08/2026,$5.78,8798339,$5.70,$5.82,$5.62
07/07/2026,$5.82,9115285,$5.93,$6.02,$5.78
07/06/2026,$5.87,11429460,$5.72,$5.89,$5.53
07/02/2026,$5.75,9515639,$5.93,$5.965,$5.69
07/01/2026,$5.90,7634623,$5.91,$6.02,$5.875
06/30/2026,$5.91,7942537,$5.74,$5.935,$5.695
06/29/2026,$5.77,9176647,$5.79,$5.8663,$5.60
06/26/2026,$5.72,15223110,$5.67,$5.85,$5.63
06/25/2026,$5.71,7247806,$5.735,$5.90,$5.685
06/24/2026,$5.73,11449430,$5.43,$5.875,$5.42
06/23/2026,$5.44,8339028,$5.34,$5.50,$5.285
06/22/2026,$5.43,11551790,$5.62,$5.67,$5.42
06/18/2026,$5.77,13541910,$5.62,$5.79,$5.565
06/17/2026,$5.53,8899548,$5.72,$5.89,$5.51
06/16/2026,$5.72,9420967,$5.78,$5.985,$5.71
06/15/2026,$5.80,8219388,$5.68,$5.83,$5.5201
06/12/2026,$5.55,9248039,$5.65,$5.6771,$5.46
06/11/2026,$5.65,5951685,$5.62,$5.69,$5.48
06/10/2026,$5.59,6964673,$5.515,$5.67,$5.46
06/09/2026,$5.57,11279390,$5.685,$5.865,$5.45
06/08/2026,$5.66,12025610,$5.80,$5.89,$5.63
06/05/2026,$5.77,13147370,$6.14,$6.17,$5.76
06/04/2026,$6.17,8690184,$6.05,$6.30,$6.02
06/03/2026,$6.00,10161870,$6.202,$6.215,$5.955
06/02/2026,$6.34,8228030,$6.39,$6.475,$6.25
06/01/2026,$6.48,13359070,$6.30,$6.54,$6.18
05/29/2026,$6.40,18097010,$6.00,$6.54,$5.97
05/28/2026,$6.04,14690920,$5.93,$6.14,$5.8401
05/27/2026,$5.98,17905900,$5.70,$6.00,$5.695
05/26/2026,$5.77,85602110,$5.62,$5.79,$5.605
05/22/2026,$5.71,34904210,$5.38,$5.785,$5.379
05/21/2026,$5.18,13180990,$5.09,$5.205,$4.89
05/20/2026,$5.17,9878703,$5.195,$5.26,$5.12
05/19/2026,$5.23,9650288,$5.36,$5.38,$5.14
05/18/2026,$5.30,10486310,$5.38,$5.44,$5.24
05/15/2026,$5.29,10716300,$5.14,$5.39,$5.14
05/14/2026,$5.18,9102007,$5.26,$5.32,$5.15
05/13/2026,$5.26,9058704,$5.34,$5.375,$5.15
05/12/2026,$5.39,15122740,$5.33,$5.42,$5.245
05/11/2026,$5.31,11765650,$5.65,$5.70,$5.225
05/08/2026,$5.69,16939540,$5.625,$5.81,$5.33
05/07/2026,$5.66,39759590,$5.895,$6.04,$5.245
05/06/2026,$5.20,15704220,$5.17,$5.31,$5.14
05/05/2026,$5.16,10530020,$5.18,$5.27,$5.065
05/04/2026,$5.14,14633560,$5.32,$5.3268,$5.0849
05/01/2026,$5.36,12071260,$5.45,$5.48,$5.25
04/30/2026,$5.45,11206720,$5.50,$5.585,$5.335
04/29/2026,$5.57,10658450,$5.26,$5.62,$5.22
04/28/2026,$5.26,7737287,$5.26,$5.365,$5.185
04/27/2026,$5.31,18951820,$5.46,$5.54,$5.225
04/24/2026,$5.18,10120180,$4.99,$5.29,$4.96
04/23/2026,$4.95,6835587,$5.00,$5.10,$4.90
04/22/2026,$5.02,7238754,$5.04,$5.12,$4.92
04/21/2026,$5.00,10654150,$5.23,$5.265,$4.89
04/20/2026,$5.18,15547060,$5.06,$5.2697,$5.005
04/17/2026,$5.10,14282170,$5.10,$5.17,$4.965
04/16/2026,$5.03,13768740,$4.965,$5.16,$4.92
04/15/2026,$4.86,25685950,$4.82,$5.13,$4.785
04/14/2026,$4.77,10865450,$4.79,$4.90,$4.73
04/13/2026,$4.73,12690290,$4.56,$4.78,$4.44
04/10/2026,$4.62,6878573,$4.72,$4.76,$4.57
04/09/2026,$4.74,7363935,$4.61,$4.77,$4.575
04/08/2026,$4.64,10672740,$4.975,$5.04,$4.615
04/07/2026,$4.81,11427440,$4.58,$4.85,$4.56
