Date,Close/Last,Volume,Open,High,Low
08/05/2026,$327.42,1529094,$328.99,$330.7156,$325.24
08/04/2026,$325.74,1523222,$329.55,$334.00,$324.00
08/03/2026,$324.00,1987198,$327.70,$330.20,$322.55
07/31/2026,$318.30,1949023,$321.125,$321.125,$316.45
07/30/2026,$321.94,2139391,$319.00,$323.4996,$311.35
07/29/2026,$323.58,2687371,$316.59,$328.87,$315.59
07/28/2026,$322.50,3441334,$302.70,$324.575,$293.15
07/27/2026,$305.04,4152299,$301.01,$307.10,$289.21
07/24/2026,$293.54,2965526,$285.80,$300.34,$284.56
07/23/2026,$283.41,5354389,$279.11,$286.545,$278.64
07/22/2026,$285.85,1667235,$285.50,$289.47,$282.75
07/21/2026,$287.90,1338677,$287.385,$289.26,$284.03
07/20/2026,$286.16,2397562,$289.09,$291.77,$281.35
07/17/2026,$286.96,2357457,$286.41,$292.74,$285.13
07/16/2026,$293.95,1795353,$291.40,$295.00,$288.06
07/15/2026,$292.17,2197997,$287.10,$296.95,$283.54
07/14/2026,$283.09,2263345,$286.35,$290.00,$282.63
07/13/2026,$288.61,3616001,$286.14,$299.75,$284.92
07/10/2026,$285.37,1150152,$290.01,$290.63,$284.30
07/09/2026,$288.08,1504760,$283.33,$290.84,$282.77
07/08/2026,$280.95,2232570,$279.75,$283.2399,$278.00
07/07/2026,$282.26,2665197,$286.01,$289.1078,$277.80
07/06/2026,$287.78,2147957,$295.99,$299.00,$285.33
07/02/2026,$296.30,2125579,$307.00,$310.955,$293.47
07/01/2026,$306.30,2184516,$317.62,$320.29,$306.28
06/30/2026,$317.53,2126067,$319.52,$321.00,$314.43
06/29/2026,$321.44,2071492,$319.00,$326.86,$316.4701
06/26/2026,$318.13,7234614,$321.59,$327.33,$317.99
06/25/2026,$322.65,1655814,$322.18,$333.39,$319.01
06/24/2026,$320.95,2304985,$315.04,$328.56,$312.01
06/23/2026,$309.53,4334301,$291.99,$310.94,$279.23
06/22/2026,$309.36,2057370,$311.225,$315.47,$307.65
06/18/2026,$312.51,3662798,$310.56,$315.91,$308.10
06/17/2026,$301.47,2226366,$311.01,$317.00,$300.83
06/16/2026,$312.84,1880501,$316.00,$319.45,$311.99
06/15/2026,$313.67,3049001,$308.00,$315.48,$308.00
