Date,Close/Last,Volume,Open,High,Low
08/05/2026,$295.54,2586624,$295.04,$296.52,$292.965
08/04/2026,$296.35,2476783,$289.34,$296.83,$288.00
08/03/2026,$291.23,2342874,$292.50,$293.9699,$288.955
07/31/2026,$292.13,3775015,$289.70,$293.94,$287.91
07/30/2026,$289.46,3453789,$293.87,$293.87,$284.79
07/29/2026,$292.19,3055314,$295.42,$295.42,$290.50
07/28/2026,$294.45,4835544,$301.54,$303.05,$293.94
07/27/2026,$299.30,3061690,$306.70,$306.70,$296.98
07/24/2026,$307.32,3662089,$304.49,$309.32,$302.6401
07/23/2026,$304.33,7447707,$309.90,$315.99,$302.82
07/22/2026,$292.56,3381414,$293.50,$295.92,$290.91
07/21/2026,$293.13,2868143,$296.86,$296.86,$291.67
07/20/2026,$296.25,3295754,$300.95,$301.99,$295.5201
07/17/2026,$301.75,3521885,$300.13,$303.15,$298.10
07/16/2026,$299.42,3630788,$290.97,$300.06,$290.17
07/15/2026,$288.36,2602343,$288.24,$289.10,$285.45
07/14/2026,$288.30,2945750,$291.60,$291.66,$288.00
07/13/2026,$289.13,2276868,$289.84,$290.41,$286.68
07/10/2026,$286.96,1876188,$285.04,$288.90,$285.00
07/09/2026,$285.04,2025716,$282.00,$285.43,$280.96
07/08/2026,$280.94,1944891,$284.12,$284.12,$280.16
07/07/2026,$283.12,2037105,$284.43,$285.79,$280.20
07/06/2026,$282.59,2393417,$282.81,$283.99,$279.43
07/02/2026,$282.25,2272621,$279.00,$282.80,$278.58
07/01/2026,$277.73,2223536,$270.76,$278.80,$270.00
06/30/2026,$272.00,3219941,$273.29,$273.34,$268.78
06/29/2026,$272.70,2828208,$268.30,$273.50,$268.21
06/26/2026,$268.35,4584197,$269.54,$270.775,$266.74
06/25/2026,$267.73,3089385,$262.01,$267.98,$262.01
06/24/2026,$259.96,3236851,$260.92,$263.29,$258.40
06/23/2026,$258.61,2090001,$261.04,$262.87,$258.13
06/22/2026,$259.91,2323262,$256.54,$262.64,$255.2202
