Date,Close/Last,Volume,Open,High,Low
08/03/2026,$155.94,4022281,$148.77,$156.955,$146.19
07/31/2026,$148.19,4390682,$151.85,$153.13,$146.52
07/30/2026,$148.62,4602755,$148.00,$151.9695,$147.085
07/29/2026,$142.81,4929100,$148.725,$149.28,$142.155
07/28/2026,$148.64,5862936,$153.92,$153.99,$146.21
07/27/2026,$157.08,4483417,$165.50,$166.145,$155.54
07/24/2026,$163.38,2553513,$168.695,$169.76,$162.31
07/23/2026,$168.98,2538215,$166.26,$169.06,$165.01
07/22/2026,$166.74,2971535,$160.11,$167.81,$159.63
07/21/2026,$162.33,3721370,$160.99,$164.46,$160.01
07/20/2026,$157.99,3256715,$157.52,$158.57,$155.60
07/17/2026,$155.44,4441024,$150.36,$157.25,$148.14
07/16/2026,$152.56,7069985,$157.87,$158.10,$148.5178
07/15/2026,$160.23,5504513,$162.50,$166.94,$157.94
07/14/2026,$158.43,5415575,$161.00,$168.21,$157.0323
07/13/2026,$158.12,3613266,$157.65,$159.43,$156.20
07/10/2026,$158.86,2996001,$157.55,$160.02,$157.05
07/09/2026,$157.98,2907519,$159.01,$161.1799,$157.445
07/08/2026,$154.82,3605735,$153.99,$156.489,$151.32
07/07/2026,$155.73,3027305,$156.13,$159.41,$154.01
07/06/2026,$157.22,3395793,$152.47,$157.24,$152.01
07/02/2026,$151.05,4255892,$153.95,$156.24,$148.50
07/01/2026,$153.16,5090071,$156.00,$157.32,$151.05
06/30/2026,$158.63,4181999,$162.58,$165.45,$156.51
06/29/2026,$162.38,2814754,$163.70,$165.60,$161.02
06/26/2026,$163.49,5487406,$165.86,$167.93,$163.19
06/25/2026,$167.77,3636863,$166.91,$171.35,$166.01
06/24/2026,$162.87,3722576,$163.03,$165.64,$159.88
06/23/2026,$162.39,3855422,$160.08,$165.825,$159.1448
06/22/2026,$167.26,4971242,$163.505,$170.50,$162.90
06/18/2026,$163.75,7976305,$162.09,$170.34,$160.03
06/17/2026,$158.83,4490412,$158.565,$162.44,$157.21
06/16/2026,$158.61,4942930,$153.25,$161.48,$152.83
06/15/2026,$153.52,4455219,$152.81,$155.45,$150.2488
06/12/2026,$148.02,4573482,$148.00,$150.50,$147.00
06/11/2026,$146.38,5127376,$140.99,$146.8999,$139.57
06/10/2026,$138.54,5194972,$143.35,$143.9999,$137.91
06/09/2026,$146.22,4058999,$148.42,$150.2999,$141.54
06/08/2026,$146.90,3327690,$148.31,$149.3004,$146.38
06/05/2026,$148.76,3673432,$152.00,$154.29,$147.50
06/04/2026,$153.70,2969439,$151.54,$154.04,$150.19
06/03/2026,$153.80,3884873,$156.51,$157.91,$152.95
06/02/2026,$157.97,4544931,$155.94,$160.78,$152.88
06/01/2026,$154.76,4322725,$157.00,$158.55,$151.33
05/29/2026,$160.23,3785150,$160.00,$162.29,$156.88
05/28/2026,$160.28,3606847,$158.84,$163.53,$157.60
05/27/2026,$160.15,4902670,$164.96,$165.0223,$158.4075
05/26/2026,$164.56,8521459,$158.91,$167.40,$158.22
05/22/2026,$156.27,8062520,$151.03,$157.57,$150.75
05/21/2026,$149.08,4621390,$145.47,$149.28,$144.88
05/20/2026,$144.00,7901626,$138.00,$144.90,$137.81
05/19/2026,$134.71,5860661,$135.80,$136.70,$132.66
05/18/2026,$136.75,6321803,$139.00,$139.54,$133.86
05/15/2026,$139.68,6632205,$139.775,$141.09,$137.81
05/14/2026,$141.90,5117085,$141.38,$143.295,$139.9221
05/13/2026,$142.61,6385353,$146.28,$146.28,$139.51
05/12/2026,$146.87,4904253,$149.49,$150.3225,$145.66
05/11/2026,$152.05,5905405,$148.00,$152.75,$146.2781
05/08/2026,$147.72,8074473,$155.00,$155.00,$146.98
05/07/2026,$153.95,7895796,$163.04,$168.39,$153.77
05/06/2026,$158.29,8214755,$161.495,$162.99,$156.60
05/05/2026,$160.38,3567166,$163.00,$163.80,$159.80
05/04/2026,$160.85,4209280,$157.69,$162.38,$157.44
05/01/2026,$155.28,3143975,$158.31,$160.14,$154.93
04/30/2026,$157.84,3954816,$156.29,$159.63,$155.7301
04/29/2026,$153.79,4992838,$160.86,$161.139,$153.08
04/28/2026,$161.12,5205586,$162.50,$163.325,$158.72
04/27/2026,$166.58,4577606,$165.00,$168.42,$158.735
04/24/2026,$164.35,3481388,$156.33,$165.48,$155.1501
04/23/2026,$156.85,3272560,$155.96,$158.87,$154.50
04/22/2026,$155.79,2642180,$157.80,$159.08,$154.92
04/21/2026,$154.91,3748830,$160.76,$161.10,$154.13
04/20/2026,$159.60,2924136,$163.05,$164.05,$158.32
04/17/2026,$163.46,4104295,$166.26,$168.49,$162.2601
04/16/2026,$165.53,3126049,$164.57,$166.92,$162.61
04/15/2026,$162.94,3098298,$165.50,$166.52,$162.15
04/14/2026,$163.97,3767261,$162.41,$165.28,$160.345
04/13/2026,$158.20,4458614,$152.65,$160.72,$152.65
04/10/2026,$154.73,2900876,$153.50,$158.63,$153.11
04/09/2026,$152.75,4103154,$155.89,$162.53,$152.68
04/08/2026,$155.89,4320567,$160.75,$161.31,$155.29
04/07/2026,$153.68,2229141,$151.07,$154.16,$150.28
04/06/2026,$151.59,2309799,$151.04,$153.105,$149.88
04/02/2026,$151.18,2950319,$151.21,$154.56,$150.12
04/01/2026,$153.96,3782839,$151.47,$156.34,$151.40
03/31/2026,$150.33,5402244,$143.90,$151.47,$142.34
03/30/2026,$147.54,4734921,$157.10,$158.93,$146.60
03/27/2026,$155.48,4554483,$151.75,$160.20,$151.75
03/26/2026,$152.30,4437915,$149.50,$152.67,$146.49
03/25/2026,$151.51,3512904,$155.00,$157.95,$150.38
03/24/2026,$152.72,3995489,$150.55,$154.10,$149.55
03/23/2026,$151.29,5338525,$151.45,$155.90,$149.335
03/20/2026,$146.02,11109510,$166.47,$166.47,$144.83
03/19/2026,$167.37,3106652,$167.17,$169.60,$164.23
03/18/2026,$170.12,3685287,$165.75,$173.00,$165.50
03/17/2026,$164.33,2065315,$162.81,$165.46,$162.12
03/16/2026,$161.99,2775156,$161.00,$163.50,$160.11
03/13/2026,$158.95,3679568,$161.76,$165.24,$157.73
03/12/2026,$159.58,4053247,$157.08,$163.20,$156.70
03/11/2026,$159.16,6083985,$163.60,$163.99,$155.1501
03/10/2026,$164.40,4147963,$165.36,$168.79,$164.305
03/09/2026,$163.62,4108977,$155.90,$164.63,$155.00
03/06/2026,$158.65,5625427,$164.45,$168.38,$158.30
03/05/2026,$167.40,4951618,$161.88,$167.97,$161.68
03/04/2026,$163.36,4677692,$161.59,$164.21,$160.40
03/03/2026,$161.70,6653884,$161.69,$163.53,$152.9801
03/02/2026,$165.99,5138138,$170.20,$176.52,$165.83
02/27/2026,$173.89,5494931,$175.00,$178.31,$170.89
02/26/2026,$176.82,7746178,$171.36,$177.23,$164.11
02/25/2026,$175.36,4810197,$172.38,$175.94,$170.08
02/24/2026,$171.62,4375290,$167.28,$171.68,$162.88
02/23/2026,$167.80,4133180,$170.64,$171.84,$165.21
02/20/2026,$171.40,3879803,$172.30,$173.4999,$169.00
02/19/2026,$172.50,3154656,$169.91,$172.57,$168.25
02/18/2026,$170.57,3622721,$174.01,$175.50,$169.61
02/17/2026,$173.68,4655476,$170.88,$176.65,$169.95
02/13/2026,$171.49,5967870,$162.40,$171.66,$161.50
02/12/2026,$163.10,7493842,$160.73,$166.21,$160.40
02/11/2026,$160.15,4279289,$165.00,$165.31,$158.55
02/10/2026,$159.60,9074355,$160.40,$161.42,$154.81
02/09/2026,$152.97,5097005,$150.00,$155.78,$147.78
02/06/2026,$149.65,7406399,$150.00,$152.26,$147.42
02/05/2026,$143.07,7112944,$141.00,$143.91,$138.53
02/04/2026,$142.52,13329770,$153.19,$153.6598,$139.27
02/03/2026,$153.00,4375843,$156.12,$156.50,$150.3921
02/02/2026,$154.26,5506893,$157.65,$159.98,$154.03
01/30/2026,$158.35,3810765,$161.50,$164.50,$156.86
01/29/2026,$162.58,4798817,$165.96,$167.88,$158.755
01/28/2026,$165.64,4263822,$166.00,$166.56,$161.16
01/27/2026,$164.26,3622118,$159.51,$164.62,$158.15
01/26/2026,$158.81,3953126,$160.59,$165.31,$157.90
01/23/2026,$160.12,4475807,$160.00,$162.87,$158.00
01/22/2026,$160.36,4176241,$161.93,$163.50,$159.15
01/21/2026,$160.02,6651264,$159.01,$161.9799,$153.77
01/20/2026,$156.81,7599136,$161.27,$166.00,$156.25
01/16/2026,$166.60,13330550,$167.55,$171.12,$163.01
01/15/2026,$180.18,7116831,$173.00,$182.56,$171.68
01/14/2026,$168.97,3888178,$169.39,$171.18,$166.05
01/13/2026,$171.42,5430269,$174.00,$175.45,$170.82
01/12/2026,$172.58,7189116,$164.67,$176.74,$164.0804
01/09/2026,$166.37,14315970,$174.33,$174.7399,$165.88
01/08/2026,$150.60,6866818,$155.25,$155.80,$149.19
01/07/2026,$154.60,9433247,$168.65,$168.65,$153.54
01/06/2026,$169.53,6577453,$169.00,$172.61,$163.7801
01/05/2026,$162.93,4385173,$169.37,$171.655,$160.19
01/02/2026,$165.23,3838404,$163.89,$169.2799,$163.89
12/31/2025,$161.33,1845114,$162.89,$164.50,$161.22
12/30/2025,$162.62,2220614,$162.00,$163.06,$161.06
12/29/2025,$161.84,2856066,$161.00,$164.20,$159.9237
12/26/2025,$161.67,2317522,$161.67,$163.00,$160.35
12/24/2025,$161.96,1342160,$160.99,$162.585,$159.77
12/23/2025,$161.67,3771975,$161.57,$163.70,$160.13
12/22/2025,$161.57,4379215,$164.00,$164.31,$160.85
12/19/2025,$163.03,7141814,$166.70,$171.41,$162.70
12/18/2025,$166.17,7652476,$165.66,$171.92,$162.67
12/17/2025,$159.97,6902940,$174.01,$175.14,$158.70
12/16/2025,$173.45,4190098,$166.65,$173.93,$166.55
12/15/2025,$168.25,4287381,$172.96,$173.00,$166.98
12/12/2025,$170.10,5870170,$175.20,$180.00,$167.5001
12/11/2025,$174.60,6197091,$162.05,$174.89,$161.01
12/10/2025,$165.17,5778143,$165.34,$166.02,$158.65
12/09/2025,$164.81,3939526,$165.37,$169.91,$164.73
12/08/2025,$166.12,4230236,$167.82,$167.82,$164.06
12/05/2025,$167.17,4524250,$176.52,$176.63,$166.47
12/04/2025,$176.07,3408698,$171.90,$178.0499,$170.4708
12/03/2025,$171.65,2492646,$172.66,$173.85,$168.95
12/02/2025,$172.55,3029169,$175.40,$175.95,$171.365
12/01/2025,$173.64,3250997,$176.01,$176.48,$172.69
