Date,Close/Last,Volume,Open,High,Low
08/05/2026,$14.01,52985,$13.89,$14.48,$13.88
08/04/2026,$13.56,50476,$14.26,$14.50,$13.525
08/03/2026,$14.08,37810,$13.96,$14.25,$13.05
07/31/2026,$13.93,44763,$14.39,$14.575,$13.63
07/30/2026,$14.31,46116,$14.68,$14.7694,$14.22
07/29/2026,$14.46,44314,$14.70,$14.87,$14.37
07/28/2026,$14.70,50193,$14.28,$14.78,$14.10
07/27/2026,$14.01,40742,$13.91,$14.21,$13.425
07/24/2026,$13.72,38986,$14.20,$14.42,$13.58
07/23/2026,$14.18,55440,$13.89,$14.385,$13.6687
07/22/2026,$14.13,28682,$14.29,$14.305,$14.04
07/21/2026,$14.40,38995,$14.60,$14.8102,$14.20
07/20/2026,$14.56,60537,$14.32,$15.10,$14.32
07/17/2026,$14.06,57731,$14.39,$14.91,$14.02
07/16/2026,$14.66,55229,$13.54,$14.75,$13.54
07/15/2026,$13.50,45446,$13.14,$13.66,$12.795
07/14/2026,$13.06,66607,$13.34,$13.73,$13.06
07/13/2026,$13.20,50239,$12.82,$13.54,$12.795
07/10/2026,$12.89,75095,$12.40,$13.68,$12.10
07/09/2026,$12.30,52953,$12.18,$12.39,$11.68
07/08/2026,$12.25,50833,$12.04,$12.39,$11.68
07/07/2026,$12.33,75540,$13.00,$13.16,$12.29
07/06/2026,$13.06,67794,$14.59,$14.825,$13.02
07/02/2026,$14.70,73598,$14.24,$14.92,$14.0201
07/01/2026,$14.26,45384,$13.61,$14.42,$13.61
06/30/2026,$13.71,64849,$13.46,$13.74,$12.86
06/29/2026,$13.39,72860,$14.80,$14.80,$13.12
06/26/2026,$14.98,431961,$14.58,$15.21,$14.58
06/25/2026,$14.46,34977,$14.44,$14.735,$14.0822
06/24/2026,$14.46,47625,$14.34,$15.11,$14.305
06/23/2026,$14.50,64216,$14.44,$15.22,$13.915
06/22/2026,$14.44,39687,$14.00,$14.60,$13.14
06/18/2026,$13.86,74819,$13.00,$13.95,$12.9238
06/17/2026,$13.12,59976,$13.86,$14.1837,$12.80
06/16/2026,$13.56,51122,$14.93,$15.44,$13.50
06/15/2026,$14.89,45702,$14.91,$15.48,$14.89
06/12/2026,$14.95,52996,$14.73,$15.39,$14.73
06/11/2026,$14.82,68635,$15.50,$15.64,$14.74
06/10/2026,$15.35,65805,$14.81,$15.4074,$14.68
06/09/2026,$14.93,56079,$13.87,$15.08,$13.87
06/08/2026,$13.93,39565,$13.65,$13.95,$12.58
06/05/2026,$13.51,23920,$13.63,$13.90,$13.46
06/04/2026,$13.55,19370,$13.22,$13.58,$13.19
06/03/2026,$13.16,46589,$13.23,$13.445,$12.38
06/02/2026,$13.52,22650,$13.86,$13.975,$13.51
06/01/2026,$14.08,67214,$13.89,$14.30,$13.7001
05/29/2026,$14.18,51277,$13.87,$14.4618,$13.625
05/28/2026,$13.99,52302,$13.64,$14.35,$13.64
05/27/2026,$13.68,56713,$13.34,$13.75,$12.9124
05/26/2026,$13.29,57431,$13.22,$13.54,$12.825
05/22/2026,$13.20,31679,$12.38,$13.225,$12.37
05/21/2026,$12.15,142822,$11.20,$12.24,$11.20
05/20/2026,$10.81,61323,$10.48,$10.93,$10.0601
05/19/2026,$10.68,101610,$11.20,$11.20,$10.01
05/18/2026,$11.80,22882,$11.49,$11.91,$11.49
05/15/2026,$11.64,19570,$11.82,$11.97,$11.57
05/14/2026,$11.87,43977,$12.24,$12.77,$11.52
05/13/2026,$12.31,33139,$11.92,$12.415,$11.71
05/12/2026,$11.70,22324,$12.02,$12.03,$11.70
05/11/2026,$11.91,31382,$12.85,$12.85,$11.80
05/08/2026,$12.84,25477,$13.17,$13.32,$12.68
05/07/2026,$13.05,26323,$13.29,$13.29,$12.8963
05/06/2026,$13.17,45819,$13.26,$13.945,$13.115
05/05/2026,$13.00,22299,$12.89,$13.12,$12.75
05/04/2026,$12.82,57793,$13.22,$13.35,$12.78
05/01/2026,$13.24,33147,$13.53,$13.53,$12.82
04/30/2026,$13.32,30373,$12.84,$13.34,$12.30
04/29/2026,$12.87,52397,$13.03,$13.11,$12.28
04/28/2026,$13.02,36862,$12.70,$13.11,$12.37
04/27/2026,$12.89,45033,$12.63,$13.135,$12.63
04/24/2026,$12.68,49681,$11.88,$13.00,$11.88
04/23/2026,$11.89,45414,$11.99,$12.03,$11.46
04/22/2026,$11.92,36541,$11.90,$12.48,$11.755
04/21/2026,$11.92,32552,$12.00,$12.2899,$11.69
04/20/2026,$12.01,61380,$11.84,$12.6899,$11.71
04/17/2026,$11.87,53879,$11.73,$12.145,$11.614
04/16/2026,$11.56,33809,$11.59,$11.65,$11.10
04/15/2026,$11.63,62815,$10.69,$11.68,$10.43
04/14/2026,$10.70,47408,$10.89,$11.158,$10.36
04/13/2026,$10.92,33873,$10.73,$11.07,$10.6111
04/10/2026,$10.80,37153,$10.99,$11.26,$10.65
04/09/2026,$11.06,49619,$11.26,$11.31,$10.41
04/08/2026,$11.32,86883,$10.92,$11.5699,$10.81
04/07/2026,$10.41,43664,$10.19,$10.47,$10.00
04/06/2026,$10.38,78958,$9.57,$10.624,$9.57
04/02/2026,$9.65,46787,$9.30,$9.74,$9.0789
04/01/2026,$9.41,76570,$9.70,$9.95,$9.38
03/31/2026,$9.64,147842,$9.69,$9.98,$9.165
03/30/2026,$9.74,134378,$10.55,$10.5916,$9.19
03/27/2026,$10.53,151070,$11.08,$11.54,$10.385
03/26/2026,$11.31,40693,$11.74,$11.97,$11.31
03/25/2026,$11.92,55416,$11.76,$12.24,$11.76
03/24/2026,$11.60,58123,$11.99,$12.28,$11.58
03/23/2026,$12.11,82199,$12.25,$12.58,$12.00
03/20/2026,$12.04,93843,$12.31,$12.49,$11.98
03/19/2026,$12.21,55465,$12.32,$12.50,$12.05
03/18/2026,$12.42,129286,$12.76,$12.76,$12.08
03/17/2026,$12.76,97084,$12.87,$13.50,$12.47
03/16/2026,$12.82,63518,$12.72,$13.37,$12.63
03/13/2026,$12.69,79911,$13.01,$13.365,$12.475
03/12/2026,$13.03,204009,$13.13,$13.54,$12.975
03/11/2026,$13.33,90645,$12.62,$13.49,$12.57
03/10/2026,$12.73,103354,$12.75,$13.02,$12.07
03/09/2026,$12.92,161486,$13.42,$13.5328,$12.09
03/06/2026,$13.77,87212,$14.15,$14.59,$13.32
03/05/2026,$14.60,162114,$14.28,$14.895,$14.00
03/04/2026,$14.16,140074,$13.50,$15.37,$13.50
03/03/2026,$13.42,134488,$13.17,$13.70,$12.88
03/02/2026,$13.58,55791,$13.91,$13.91,$13.21
02/27/2026,$14.22,68769,$13.62,$14.37,$13.40
02/26/2026,$13.89,97925,$13.63,$14.47,$13.20
02/25/2026,$13.51,73109,$13.20,$13.54,$12.92
02/24/2026,$13.25,59852,$14.10,$14.50,$13.17
02/23/2026,$14.06,48943,$14.25,$14.25,$13.74
02/20/2026,$14.41,69743,$14.25,$14.95,$13.995
02/19/2026,$14.26,62973,$14.22,$14.425,$13.08
02/18/2026,$14.34,109828,$13.75,$14.90,$13.68
02/17/2026,$13.97,63740,$13.68,$14.16,$13.55
02/13/2026,$13.91,159811,$13.60,$14.05,$13.07
02/12/2026,$13.63,68758,$14.82,$14.8295,$13.50
02/11/2026,$14.54,68157,$14.88,$15.055,$14.30
02/10/2026,$14.95,62970,$14.03,$14.96,$14.03
02/09/2026,$14.03,155335,$14.89,$15.09,$13.95
02/06/2026,$14.99,184503,$14.76,$15.42,$14.40
02/05/2026,$14.45,75294,$14.63,$14.825,$14.10
02/04/2026,$14.73,134720,$14.78,$15.9499,$14.0401
02/03/2026,$14.72,66400,$15.14,$15.33,$14.59
02/02/2026,$15.10,102316,$15.25,$16.07,$15.0701
01/30/2026,$15.28,98236,$14.96,$15.54,$14.86
01/29/2026,$15.03,143439,$15.36,$15.37,$14.63
01/28/2026,$15.23,57365,$15.88,$15.975,$15.10
01/27/2026,$15.96,38763,$16.72,$16.72,$15.67
01/26/2026,$16.59,39521,$16.50,$16.72,$16.30
01/23/2026,$16.50,39291,$16.45,$16.85,$16.23
01/22/2026,$16.52,121521,$16.09,$16.65,$15.67
01/21/2026,$15.98,81902,$15.94,$16.16,$15.57
01/20/2026,$15.92,76872,$16.60,$16.84,$15.89
01/16/2026,$16.77,32894,$16.96,$17.00,$16.585
01/15/2026,$17.03,148229,$16.66,$17.24,$16.06
01/14/2026,$16.47,135477,$16.60,$16.75,$16.2225
01/13/2026,$16.64,45013,$16.56,$16.70,$15.8925
01/12/2026,$16.65,125614,$15.90,$16.735,$15.73
01/09/2026,$16.02,58991,$16.25,$16.30,$15.55
01/08/2026,$16.16,73531,$16.33,$16.97,$16.11
01/07/2026,$16.50,81345,$17.47,$17.47,$16.13
01/06/2026,$17.44,69783,$17.21,$17.50,$16.60
01/05/2026,$17.19,61025,$16.69,$17.19,$15.5652
01/02/2026,$16.64,58623,$16.57,$16.9559,$16.12
12/31/2025,$16.52,59691,$16.21,$16.93,$15.94
12/30/2025,$16.22,34274,$16.26,$16.40,$15.965
12/29/2025,$16.36,63927,$17.80,$17.80,$16.29
12/26/2025,$17.76,22761,$17.09,$17.76,$17.015
12/24/2025,$17.29,28370,$17.46,$17.50,$17.13
12/23/2025,$17.48,42624,$17.97,$18.17,$17.37
12/22/2025,$18.13,90071,$17.57,$18.21,$17.0601
12/19/2025,$17.63,394547,$17.82,$18.25,$17.54
12/18/2025,$17.86,132345,$16.62,$18.065,$16.44
12/17/2025,$16.40,217141,$15.50,$16.76,$15.50
12/16/2025,$17.08,223839,$16.00,$17.79,$15.62
12/15/2025,$16.14,120433,$16.18,$16.6899,$15.80
12/12/2025,$16.03,82132,$16.01,$16.464,$15.95
12/11/2025,$16.02,152647,$15.26,$16.39,$14.7201
12/10/2025,$15.36,120310,$15.23,$16.01,$14.81
12/09/2025,$15.17,111460,$16.11,$16.45,$14.99
12/08/2025,$15.98,83992,$17.28,$17.28,$15.33
12/05/2025,$17.19,62485,$17.65,$17.80,$17.12
12/04/2025,$17.61,92679,$17.14,$17.66,$16.9301
12/03/2025,$17.30,121349,$16.99,$17.64,$16.88
12/02/2025,$16.92,277355,$17.49,$18.29,$16.01
12/01/2025,$17.70,538037,$17.43,$19.45,$16.46
11/28/2025,$17.45,82932,$17.20,$17.59,$16.54
11/26/2025,$16.94,164870,$16.39,$17.39,$16.31
11/25/2025,$16.71,86092,$16.88,$17.06,$16.24
11/24/2025,$16.94,171535,$17.33,$17.72,$16.37
11/21/2025,$17.49,130300,$16.79,$18.04,$16.65
11/20/2025,$16.62,66112,$17.16,$17.67,$16.52
11/19/2025,$16.76,69268,$17.37,$17.49,$16.2596
11/18/2025,$16.90,76346,$16.88,$17.48,$16.15
11/17/2025,$16.64,59457,$16.98,$17.6393,$16.64
11/14/2025,$17.17,109940,$16.42,$17.85,$15.79
11/13/2025,$16.28,77680,$17.01,$17.685,$16.22
11/12/2025,$17.23,56518,$18.25,$18.63,$17.22
11/11/2025,$18.58,58303,$19.25,$19.37,$18.26
11/10/2025,$19.36,132484,$18.17,$19.60,$18.17
11/07/2025,$18.56,139871,$16.95,$18.59,$16.785
11/06/2025,$17.12,177112,$18.11,$18.21,$17.07
11/05/2025,$17.93,81536,$18.00,$18.215,$17.24
11/04/2025,$18.15,95822,$17.79,$18.35,$17.05
11/03/2025,$17.77,127158,$18.05,$18.61,$16.78
10/31/2025,$18.21,131945,$18.42,$19.30,$17.8686
10/30/2025,$18.63,89102,$18.25,$19.25,$17.7528
10/29/2025,$18.39,143364,$19.13,$19.3579,$17.90
10/28/2025,$19.46,186857,$18.98,$19.77,$18.16
10/27/2025,$18.62,306444,$18.51,$19.2488,$18.31
10/24/2025,$19.11,552263,$18.56,$20.7398,$18.30
10/23/2025,$18.72,399435,$17.26,$19.50,$16.8394
10/22/2025,$17.46,623103,$14.89,$18.87,$14.5601
10/21/2025,$15.08,521731,$13.12,$16.2199,$12.93
10/20/2025,$12.80,44706,$12.92,$13.15,$12.70
10/17/2025,$13.07,111086,$12.58,$13.30,$12.58
10/16/2025,$12.76,51192,$13.59,$13.68,$12.72
10/15/2025,$13.70,147668,$12.98,$13.99,$12.98
10/14/2025,$12.76,70937,$11.83,$12.815,$11.83
10/13/2025,$12.06,117840,$13.15,$13.5804,$11.95
10/10/2025,$13.11,95731,$13.67,$13.9543,$12.8353
10/09/2025,$13.65,68909,$14.00,$14.0617,$13.55
10/08/2025,$14.01,107106,$13.43,$14.22,$13.43
10/07/2025,$13.50,155895,$13.29,$13.89,$13.00
10/06/2025,$13.20,222642,$13.27,$13.50,$12.98
10/03/2025,$13.26,238509,$12.46,$13.43,$12.33
10/02/2025,$12.46,575409,$11.50,$12.7157,$11.28
10/01/2025,$11.40,341951,$11.28,$11.76,$10.83
09/30/2025,$11.10,238062,$11.50,$11.59,$10.80
09/29/2025,$11.42,95715,$10.82,$11.74,$10.82
09/26/2025,$10.79,139368,$10.45,$11.00,$10.45
09/25/2025,$10.45,121894,$10.87,$11.10,$10.401
09/24/2025,$11.09,138154,$10.94,$11.50,$10.94
09/23/2025,$10.75,139515,$10.79,$11.08,$10.61
09/22/2025,$10.87,169383,$10.39,$11.42,$10.39
09/19/2025,$10.43,275551,$10.74,$10.80,$10.32
09/18/2025,$10.58,1125074,$10.54,$10.70,$10.48
09/17/2025,$10.50,400445,$9.86,$11.10,$9.86
09/16/2025,$10.00,148634,$9.84,$10.43,$9.84
09/15/2025,$10.00,159195,$9.79,$10.40,$9.79
09/12/2025,$9.92,74910,$10.10,$10.43,$9.75
09/11/2025,$10.00,30350,$9.80,$10.064,$9.80
09/10/2025,$9.92,44876,$9.99,$10.295,$9.83
09/09/2025,$9.99,62092,$9.90,$10.439,$9.90
09/08/2025,$9.82,100480,$9.20,$10.50,$9.20
09/05/2025,$9.24,100142,$10.02,$10.36,$8.79
09/04/2025,$10.00,42033,$9.99,$10.41,$9.90
09/03/2025,$9.84,21968,$9.86,$10.05,$9.71
09/02/2025,$9.87,12435,$10.04,$10.04,$9.725
08/29/2025,$9.95,40210,$10.14,$10.21,$9.91
08/28/2025,$10.00,24958,$10.20,$10.245,$9.89
08/27/2025,$10.09,20044,$10.00,$10.14,$9.945
08/26/2025,$9.89,28539,$9.89,$10.1047,$9.749
08/25/2025,$9.74,19299,$9.74,$10.10,$9.67
08/22/2025,$9.91,72025,$9.28,$9.94,$9.28
08/21/2025,$9.36,35241,$9.52,$9.55,$9.165
08/20/2025,$9.39,24365,$9.40,$9.54,$9.27
