Date,Close/Last,Volume,Open,High,Low
08/05/2026,$138.67,297598,$139.12,$141.495,$138.28
08/04/2026,$141.13,641364,$139.75,$141.79,$133.56
08/03/2026,$138.88,520325,$136.57,$140.2876,$135.00
07/31/2026,$137.44,622142,$151.25,$152.79,$135.50
07/30/2026,$152.00,822917,$152.34,$159.49,$146.00
07/29/2026,$154.85,906300,$150.07,$156.30,$143.50
07/28/2026,$166.32,738456,$163.64,$167.30,$162.00
07/27/2026,$163.68,997317,$160.22,$165.00,$157.70
07/24/2026,$159.48,207568,$159.23,$163.30,$157.00
07/23/2026,$159.04,220396,$162.25,$164.40,$158.80
07/22/2026,$164.36,430902,$164.42,$167.44,$163.57
07/21/2026,$162.24,1361245,$159.50,$163.13,$158.22
07/20/2026,$159.52,258583,$159.01,$163.87,$157.875
07/17/2026,$160.57,515818,$153.23,$162.99,$153.23
07/16/2026,$156.35,310906,$161.13,$163.71,$153.51
07/15/2026,$160.91,421568,$161.75,$171.00,$157.94
07/14/2026,$159.78,333243,$155.50,$160.71,$151.24
07/13/2026,$155.85,352722,$157.18,$157.35,$151.05
07/10/2026,$156.19,258319,$159.53,$161.1382,$154.73
07/09/2026,$159.68,321430,$155.32,$162.94,$153.50
07/08/2026,$153.18,408277,$154.14,$156.20,$150.00
07/07/2026,$155.49,349706,$158.64,$159.81,$152.3709
07/06/2026,$158.40,568482,$161.99,$164.20,$154.685
07/02/2026,$163.44,543098,$148.78,$163.83,$147.855
07/01/2026,$146.94,1296231,$146.98,$150.48,$145.34
06/30/2026,$147.83,986734,$151.90,$153.102,$144.40
06/29/2026,$155.18,1372915,$164.70,$168.00,$154.06
06/26/2026,$166.49,1075500,$164.65,$170.735,$164.37
06/25/2026,$165.20,2316458,$174.74,$176.50,$163.55
06/24/2026,$175.29,634146,$183.88,$186.58,$174.45
06/23/2026,$190.46,566591,$193.20,$197.2775,$188.075
06/22/2026,$186.28,329752,$187.65,$189.94,$184.46
06/18/2026,$188.43,939909,$181.34,$191.205,$181.16
06/17/2026,$180.88,375506,$185.49,$187.4889,$178.319
06/16/2026,$185.49,304301,$187.50,$191.9718,$185.00
06/15/2026,$190.07,457036,$187.38,$191.08,$185.00
06/12/2026,$187.12,279394,$191.68,$191.68,$184.50
06/11/2026,$189.61,740059,$187.02,$191.17,$184.05
06/10/2026,$186.83,553880,$180.75,$188.10,$179.50
06/09/2026,$181.34,569476,$181.80,$183.74,$175.00
06/08/2026,$179.10,742350,$181.00,$188.23,$179.02
06/05/2026,$176.79,372806,$175.43,$177.69,$170.3401
06/04/2026,$176.80,2420187,$175.50,$181.00,$172.82
06/03/2026,$173.86,541274,$173.18,$178.48,$169.15
06/02/2026,$172.38,359971,$168.82,$174.61,$167.38
06/01/2026,$169.36,494089,$173.51,$177.69,$167.57
05/29/2026,$175.84,1607725,$176.13,$181.305,$171.25
05/28/2026,$174.88,800706,$165.00,$178.76,$163.85
05/27/2026,$165.10,1227168,$168.29,$173.00,$161.52
05/26/2026,$166.52,913264,$169.95,$178.5499,$161.44
05/22/2026,$167.05,3050524,$158.76,$170.875,$156.81
05/21/2026,$157.71,604726,$151.875,$163.485,$151.875
05/20/2026,$152.80,423661,$151.03,$155.50,$147.11
05/19/2026,$151.08,1326273,$144.99,$153.71,$141.2001
05/18/2026,$146.28,1323177,$148.89,$151.00,$141.33
05/15/2026,$150.12,455448,$146.10,$153.60,$145.4996
05/14/2026,$148.76,789397,$149.31,$154.92,$140.44
05/13/2026,$148.84,632919,$150.01,$158.501,$148.25
05/12/2026,$150.54,476339,$151.23,$156.98,$147.7601
05/11/2026,$151.19,787219,$144.55,$155.5399,$143.50
05/08/2026,$145.75,1253029,$153.48,$156.685,$143.39
05/07/2026,$154.06,1072910,$164.00,$165.582,$153.97
05/06/2026,$164.23,1191331,$162.39,$168.68,$156.606
05/05/2026,$160.10,1514552,$166.75,$174.83,$158.86
05/04/2026,$168.295,2234245,$185.87,$187.41,$166.581
05/01/2026,$185.55,1676418,$176.01,$186.90,$172.89
04/30/2026,$180.67,3772467,$179.25,$205.00,$172.34
