Date,Close/Last,Volume,Open,High,Low
08/04/2026,$29.59,22467230,$29.32,$29.91,$29.29
08/03/2026,$28.74,16774200,$28.47,$29.085,$28.225
07/31/2026,$27.81,17275090,$27.90,$27.99,$27.28
07/30/2026,$27.77,23658320,$27.67,$27.935,$27.16
07/29/2026,$27.81,20271350,$27.48,$28.39,$27.33
07/28/2026,$28.23,27080980,$27.09,$28.315,$26.91
07/27/2026,$27.12,21121030,$27.20,$27.49,$26.67
07/24/2026,$26.33,23020510,$25.65,$27.015,$25.58
07/23/2026,$25.27,24933020,$25.27,$25.74,$25.10
07/22/2026,$26.10,15859790,$25.98,$26.485,$25.74
07/21/2026,$26.16,16029500,$26.10,$26.325,$25.82
07/20/2026,$26.04,17759080,$26.61,$26.77,$25.82
07/17/2026,$26.41,16843690,$26.01,$26.655,$25.86
07/16/2026,$26.86,13947450,$26.49,$26.86,$26.26
07/15/2026,$26.59,19347410,$26.63,$27.225,$26.3805
07/14/2026,$26.50,14215570,$26.50,$26.92,$26.255
07/13/2026,$26.61,16290000,$26.505,$27.30,$26.34
07/10/2026,$26.83,12441520,$26.87,$27.18,$26.395
07/09/2026,$26.72,16732520,$25.97,$27.04,$25.81
07/08/2026,$25.64,27594130,$26.10,$26.11,$25.27
07/07/2026,$26.68,18242450,$27.34,$27.57,$26.46
07/06/2026,$27.51,15018420,$28.00,$28.26,$27.385
07/02/2026,$27.91,19204730,$28.91,$29.15,$27.46
07/01/2026,$28.52,18553930,$28.60,$29.425,$28.48
06/30/2026,$28.57,17824890,$28.94,$29.12,$28.255
06/29/2026,$29.19,19283530,$29.19,$29.6393,$29.025
06/26/2026,$29.07,32186440,$28.20,$29.13,$28.1302
06/25/2026,$28.46,29398710,$29.31,$29.89,$28.1301
06/24/2026,$28.91,31566160,$29.31,$30.00,$28.785
06/23/2026,$28.72,40341610,$27.40,$28.885,$27.00
06/22/2026,$30.19,31566330,$30.76,$30.99,$29.865
06/18/2026,$30.87,31480640,$31.18,$31.30,$30.68
06/17/2026,$29.91,24845430,$31.09,$31.595,$29.86
06/16/2026,$30.90,24486200,$30.51,$31.05,$30.215
06/15/2026,$30.12,37900560,$30.41,$31.145,$29.985
06/12/2026,$29.18,29553310,$28.74,$29.195,$27.925
06/11/2026,$28.12,30013290,$25.67,$28.17,$25.65
06/10/2026,$25.99,24295100,$27.30,$27.445,$25.7701
06/09/2026,$27.73,30367970,$27.53,$28.21,$26.795
06/08/2026,$27.01,15923990,$27.18,$27.385,$26.935
06/05/2026,$27.41,15915130,$27.64,$28.09,$27.02
06/04/2026,$27.85,17917520,$27.64,$27.95,$27.12
06/03/2026,$27.17,18208920,$27.25,$27.81,$27.01
06/02/2026,$27.64,18117240,$27.40,$27.66,$27.10
06/01/2026,$27.51,23438140,$27.51,$28.085,$27.02
05/29/2026,$28.06,36971110,$28.08,$28.40,$27.76
05/28/2026,$27.94,20159110,$27.34,$28.28,$27.24
05/27/2026,$27.98,32843580,$27.48,$28.285,$27.355
05/26/2026,$26.71,24977730,$26.815,$27.09,$26.50
05/22/2026,$25.98,17161640,$26.30,$26.50,$25.82
05/21/2026,$26.18,34181790,$25.44,$26.4851,$24.91
05/20/2026,$26.03,49192640,$24.00,$26.34,$23.45
05/19/2026,$23.89,29209240,$24.65,$24.7103,$23.67
05/18/2026,$24.91,27417400,$24.875,$25.33,$24.65
05/15/2026,$24.64,22806380,$24.87,$25.14,$24.58
05/14/2026,$25.20,22758000,$25.75,$26.04,$25.19
05/13/2026,$25.03,23074140,$24.725,$25.20,$24.41
05/12/2026,$24.85,30772000,$25.39,$25.46,$24.735
05/11/2026,$25.44,37239600,$25.86,$26.01,$24.99
05/08/2026,$26.38,29526400,$27.20,$27.29,$26.25
05/07/2026,$27.00,26335110,$27.615,$28.05,$26.75
05/06/2026,$27.52,50805340,$27.30,$27.62,$26.79
05/05/2026,$25.77,80404400,$25.74,$26.29,$25.67
05/04/2026,$25.67,31850860,$26.12,$26.77,$25.25
05/01/2026,$26.66,21981180,$26.63,$27.31,$26.08
04/30/2026,$26.51,28026870,$26.49,$27.365,$26.18
04/29/2026,$25.58,26210390,$26.01,$26.02,$25.34
04/28/2026,$26.30,15692240,$26.24,$26.62,$26.12
04/27/2026,$26.77,18879770,$26.73,$27.05,$26.45
04/24/2026,$27.17,17360530,$26.75,$27.30,$26.53
04/23/2026,$26.65,21056950,$26.79,$27.33,$26.18
04/22/2026,$26.94,17360180,$27.42,$27.695,$26.71
04/21/2026,$27.36,29166040,$28.93,$28.96,$27.21
04/20/2026,$29.01,19133310,$28.76,$29.06,$28.50
04/17/2026,$29.22,37524030,$29.06,$30.16,$28.95
04/16/2026,$27.31,32073630,$28.90,$29.13,$27.16
04/15/2026,$28.82,20614950,$28.74,$29.13,$28.27
04/14/2026,$28.69,20048720,$28.25,$28.93,$28.04
04/13/2026,$27.75,20060130,$27.10,$27.80,$26.83
04/10/2026,$27.98,19468080,$28.32,$28.505,$27.44
04/09/2026,$27.85,25712550,$27.82,$28.12,$26.895
04/08/2026,$28.03,52285400,$28.28,$28.99,$27.595
04/07/2026,$25.20,25395340,$25.46,$25.475,$24.74
04/06/2026,$25.97,16505100,$25.70,$25.98,$25.28
04/02/2026,$25.64,26943800,$25.34,$26.06,$24.94
04/01/2026,$26.58,27439520,$26.49,$26.74,$26.025
03/31/2026,$25.88,41039130,$24.735,$25.93,$24.50
03/30/2026,$23.96,26741370,$24.385,$24.838,$23.79
03/27/2026,$24.19,43089940,$24.57,$25.46,$23.6601
03/26/2026,$25.28,22463450,$25.39,$25.875,$25.155
03/25/2026,$25.73,24568970,$26.22,$26.39,$25.515
03/24/2026,$25.47,24791270,$24.76,$25.685,$24.71
03/23/2026,$25.45,34796920,$25.65,$26.215,$25.37
03/20/2026,$24.12,48721660,$24.565,$24.76,$23.91
03/19/2026,$24.94,30118750,$24.02,$25.035,$23.956
03/18/2026,$24.16,26305630,$24.74,$25.035,$24.16
03/17/2026,$25.09,21006550,$25.29,$25.41,$24.9101
03/16/2026,$24.72,24107720,$24.43,$25.09,$24.41
03/13/2026,$23.99,23093250,$24.09,$24.83,$23.78
03/12/2026,$23.92,38826480,$25.09,$25.2399,$23.87
03/11/2026,$25.97,23368320,$26.01,$26.5499,$25.505
03/10/2026,$26.21,35613580,$25.90,$26.96,$25.28
03/09/2026,$26.39,56154040,$24.465,$26.39,$23.47
03/06/2026,$25.79,36027960,$25.835,$25.97,$25.44
03/05/2026,$27.16,34668290,$27.71,$28.41,$26.71
03/04/2026,$28.01,21974020,$28.60,$28.95,$27.88
03/03/2026,$28.53,30039650,$27.68,$28.83,$27.105
03/02/2026,$29.14,38114550,$28.85,$29.75,$27.90
02/27/2026,$31.55,19943510,$31.38,$31.96,$31.215
02/26/2026,$32.70,15711500,$32.20,$32.99,$32.02
02/25/2026,$31.70,13818930,$31.78,$31.94,$31.19
02/24/2026,$31.61,15667800,$30.32,$31.64,$30.08
02/23/2026,$30.42,24145890,$31.915,$32.37,$29.955
02/20/2026,$31.99,18134870,$31.55,$32.36,$31.40
02/19/2026,$31.55,23590670,$32.20,$32.69,$31.47
02/18/2026,$32.54,17421150,$32.16,$33.17,$31.84
02/17/2026,$32.68,21158220,$32.60,$33.205,$32.13
02/13/2026,$31.77,18274780,$32.26,$32.38,$31.36
02/12/2026,$32.60,21246430,$33.33,$33.75,$32.11
02/11/2026,$33.09,18968650,$33.28,$33.5632,$32.54
02/10/2026,$33.35,21443370,$32.55,$33.65,$32.50
02/09/2026,$32.81,18347650,$33.47,$33.62,$32.78
02/06/2026,$33.99,27375420,$31.81,$34.03,$31.73
02/05/2026,$31.45,17165690,$31.84,$32.605,$31.25
02/04/2026,$32.09,23859970,$32.43,$32.43,$31.14
02/03/2026,$31.94,29019690,$31.93,$33.15,$31.641
02/02/2026,$32.45,30352470,$30.175,$32.685,$30.12
01/30/2026,$30.02,22778760,$31.00,$31.00,$29.58
01/29/2026,$31.15,40745530,$29.285,$31.435,$29.225
01/28/2026,$28.72,19948870,$28.75,$29.31,$28.62
01/27/2026,$28.69,10045400,$28.67,$28.72,$28.34
01/26/2026,$28.67,15455250,$28.41,$28.89,$28.32
01/23/2026,$28.55,18889890,$28.35,$28.87,$28.19
01/22/2026,$28.49,16454780,$28.87,$28.965,$28.405
01/21/2026,$28.25,15394090,$28.33,$28.53,$28.025
01/20/2026,$28.02,20008660,$27.94,$28.69,$27.76
01/16/2026,$28.92,16310450,$29.44,$29.49,$28.795
01/15/2026,$29.44,19752050,$30.46,$30.56,$29.37
01/14/2026,$30.18,23791610,$30.735,$30.76,$29.585
01/13/2026,$30.99,19716390,$31.285,$31.53,$30.305
01/12/2026,$31.61,14816090,$31.895,$32.00,$31.40
01/09/2026,$32.13,14978570,$31.77,$32.175,$31.35
01/08/2026,$31.69,20601600,$32.09,$32.47,$31.49
01/07/2026,$32.11,18236320,$31.48,$32.19,$31.48
01/06/2026,$32.30,23312500,$31.60,$32.80,$31.4704
01/05/2026,$31.49,21182330,$30.505,$31.785,$30.41
