Date,Close/Last,Volume,Open,High,Low
08/05/2026,$37.77,1960948,$38.21,$38.51,$37.68
08/04/2026,$38.07,4001504,$37.98,$38.12,$37.09
08/03/2026,$37.87,4397407,$37.00,$38.98,$36.875
07/31/2026,$36.59,3475856,$36.50,$36.84,$35.22
07/30/2026,$36.15,4365346,$36.50,$37.50,$34.52
07/29/2026,$34.89,3649140,$35.35,$35.50,$34.63
07/28/2026,$35.06,3582122,$33.99,$35.15,$33.915
07/27/2026,$33.66,2535310,$32.66,$33.72,$32.65
07/24/2026,$32.71,1562166,$32.79,$33.62,$32.56
07/23/2026,$32.69,2661166,$32.46,$32.735,$31.87
07/22/2026,$32.25,2915631,$31.67,$32.54,$31.38
07/21/2026,$31.48,2332281,$32.05,$32.16,$31.16
07/20/2026,$31.94,3163626,$31.39,$32.19,$31.195
07/17/2026,$30.42,2448543,$30.02,$30.60,$29.65
07/16/2026,$29.85,4021569,$29.30,$29.98,$28.50
07/15/2026,$29.83,1995426,$29.26,$30.19,$29.26
07/14/2026,$29.37,2077377,$28.86,$29.95,$28.75
07/13/2026,$29.15,2187099,$29.22,$29.525,$28.625
07/10/2026,$29.04,2118505,$29.66,$29.849,$28.88
07/09/2026,$29.61,2108524,$30.10,$30.30,$29.35
07/08/2026,$29.75,2303167,$29.17,$30.31,$29.11
07/07/2026,$29.42,2557897,$29.88,$30.48,$29.21
07/06/2026,$29.95,4355953,$30.84,$31.18,$29.47
07/02/2026,$31.53,2218807,$32.35,$32.35,$31.19
07/01/2026,$31.70,1955780,$31.72,$32.11,$30.99
06/30/2026,$31.73,1952531,$32.47,$32.64,$31.665
06/29/2026,$32.70,2228797,$33.00,$33.075,$31.95
06/26/2026,$33.44,4211172,$32.53,$33.555,$32.38
06/25/2026,$32.37,1784951,$33.25,$33.57,$32.32
06/24/2026,$33.16,1168372,$33.85,$34.055,$32.945
06/23/2026,$33.81,1293207,$33.78,$34.155,$33.29
06/22/2026,$33.61,1921160,$34.50,$34.73,$33.59
06/18/2026,$33.76,2340131,$33.22,$34.23,$33.01
06/17/2026,$33.11,2004892,$33.59,$33.71,$32.835
06/16/2026,$33.02,2083064,$32.20,$33.32,$32.115
06/15/2026,$32.17,2645477,$32.51,$33.21,$32.05
06/12/2026,$33.80,2843797,$34.34,$34.40,$33.26
06/11/2026,$34.01,3159141,$33.09,$34.05,$32.705
06/10/2026,$33.05,3616739,$32.34,$33.59,$31.92
06/09/2026,$32.02,3875009,$31.81,$32.83,$31.64
06/08/2026,$31.45,2652625,$31.45,$31.82,$31.00
06/05/2026,$31.23,1695839,$31.05,$31.48,$30.86
06/04/2026,$30.81,1586371,$30.24,$30.855,$29.97
06/03/2026,$29.74,2196086,$30.35,$30.53,$29.525
06/02/2026,$30.60,2310583,$31.00,$31.00,$29.34
06/01/2026,$31.03,4846405,$28.37,$31.28,$28.10
05/29/2026,$28.00,2256455,$27.25,$28.01,$27.00
05/28/2026,$27.24,1215526,$26.91,$27.37,$26.91
05/27/2026,$27.18,1727929,$27.13,$27.75,$27.02
05/26/2026,$27.30,1883476,$26.45,$27.525,$26.315
05/22/2026,$26.43,2247344,$26.64,$27.34,$26.26
05/21/2026,$26.60,1278475,$26.01,$26.89,$25.98
05/20/2026,$26.41,1784583,$26.26,$26.715,$26.08
05/19/2026,$26.30,1759945,$26.74,$27.02,$26.14
05/18/2026,$26.83,1569419,$25.88,$27.02,$25.87
05/15/2026,$25.96,1572927,$26.42,$26.515,$25.78
05/14/2026,$26.36,1107304,$26.43,$26.98,$26.34
05/13/2026,$26.29,1739051,$26.14,$26.44,$25.89
05/12/2026,$26.28,1772812,$26.86,$27.18,$26.27
05/11/2026,$26.76,1958735,$27.24,$27.57,$26.575
05/08/2026,$27.06,1514480,$27.53,$27.705,$26.70
05/07/2026,$27.47,1368307,$27.92,$28.21,$27.44
05/06/2026,$27.73,2336858,$27.30,$28.175,$27.30
05/05/2026,$27.00,2132596,$27.29,$27.61,$26.97
05/04/2026,$27.26,3263084,$27.69,$29.00,$27.08
05/01/2026,$27.62,4793992,$29.11,$29.82,$27.39
04/30/2026,$29.52,2531616,$28.82,$29.70,$28.60
04/29/2026,$29.01,1446770,$28.98,$29.23,$28.50
04/28/2026,$29.25,922828,$29.68,$29.68,$29.07
04/27/2026,$29.44,2771054,$29.00,$29.67,$28.84
04/24/2026,$28.48,1404417,$28.34,$28.60,$28.065
04/23/2026,$28.60,2202483,$28.83,$29.00,$28.44
04/22/2026,$28.53,1369771,$28.97,$29.13,$28.28
04/21/2026,$28.87,2542627,$30.27,$30.55,$28.775
04/20/2026,$30.26,3010133,$29.93,$30.57,$29.60
04/17/2026,$30.01,2833044,$30.12,$30.68,$29.39
04/16/2026,$30.00,2606593,$29.51,$30.18,$29.32
