Date,Close/Last,Volume,Open,High,Low
08/05/2026,$93.14,5028259,$93.40,$95.01,$93.06
08/04/2026,$92.77,5184447,$93.04,$94.08,$91.895
08/03/2026,$91.59,5485744,$89.20,$91.93,$89.20
07/31/2026,$87.44,4772477,$88.02,$88.58,$87.32
07/30/2026,$88.59,5725454,$87.83,$89.26,$86.20
07/29/2026,$86.25,5461319,$87.13,$88.51,$86.12
07/28/2026,$89.37,7214700,$86.91,$89.69,$86.23
07/27/2026,$86.67,7592444,$86.87,$88.57,$85.74
07/24/2026,$85.06,5461201,$82.66,$86.01,$82.435
07/23/2026,$81.97,8061786,$81.06,$82.10,$80.6402
07/22/2026,$83.52,5144756,$83.52,$84.595,$82.90
07/21/2026,$84.63,4030473,$85.00,$85.33,$83.8113
07/20/2026,$84.54,6578997,$84.79,$85.50,$83.815
07/17/2026,$84.17,6462945,$84.78,$86.02,$83.56
07/16/2026,$86.70,5884021,$85.30,$87.19,$85.0267
07/15/2026,$85.96,6791129,$86.16,$86.44,$85.31
07/14/2026,$85.51,6732349,$87.01,$87.08,$84.83
07/13/2026,$86.19,8573871,$87.93,$88.08,$85.50
07/10/2026,$87.39,10939250,$87.94,$89.20,$85.35
07/09/2026,$89.00,9522224,$87.99,$89.59,$87.72
07/08/2026,$87.29,8721262,$86.79,$87.54,$85.275
07/07/2026,$88.63,8338691,$91.48,$92.20,$88.17
07/06/2026,$91.68,6342213,$93.29,$95.53,$91.13
07/02/2026,$92.75,6078031,$94.92,$95.68,$91.98
07/01/2026,$93.06,6114656,$94.47,$94.59,$92.95
06/30/2026,$93.66,7617442,$93.08,$94.98,$92.3875
06/29/2026,$93.17,6427657,$91.84,$93.27,$91.65
06/26/2026,$92.57,11457270,$92.25,$93.07,$91.94
06/25/2026,$92.11,11819360,$91.46,$95.14,$91.05
06/24/2026,$90.65,9590620,$88.43,$90.71,$87.64
06/23/2026,$86.72,6895039,$84.53,$86.97,$84.25
06/22/2026,$85.92,7497329,$84.50,$86.63,$84.19
06/18/2026,$84.18,14843810,$84.13,$85.0387,$83.665
06/17/2026,$82.25,10340360,$83.38,$84.045,$81.90
06/16/2026,$83.14,10288290,$85.10,$85.73,$82.93
06/15/2026,$84.07,9785298,$86.05,$87.39,$83.89
06/12/2026,$83.06,6867944,$83.16,$83.44,$80.93
06/11/2026,$81.83,7975708,$76.51,$81.98,$76.40
06/10/2026,$76.47,6647338,$79.31,$79.77,$76.43
06/09/2026,$81.17,7695299,$79.86,$81.80,$78.11
06/08/2026,$78.21,4692713,$79.52,$80.01,$78.20
06/05/2026,$79.42,5067580,$79.06,$80.045,$78.54
06/04/2026,$79.51,4843362,$80.28,$80.44,$78.85
06/03/2026,$78.78,5274981,$79.70,$79.94,$78.60
06/02/2026,$80.02,5198822,$81.35,$81.93,$79.61
06/01/2026,$81.47,7337019,$81.07,$81.835,$79.30
05/29/2026,$82.48,8226819,$82.94,$83.83,$82.36
05/28/2026,$82.49,7700724,$80.90,$83.00,$80.34
05/27/2026,$81.80,11974860,$80.75,$83.755,$80.75
05/26/2026,$79.39,9497134,$78.195,$79.59,$78.01
05/22/2026,$76.14,6440881,$76.03,$77.10,$75.51
05/21/2026,$75.65,8298228,$72.90,$75.70,$72.61
05/20/2026,$74.12,11954620,$68.65,$74.95,$68.16
05/19/2026,$67.76,5735912,$69.22,$69.22,$67.76
05/18/2026,$70.24,6781861,$71.06,$72.53,$69.48
05/15/2026,$70.23,7336050,$70.53,$70.98,$69.555
05/14/2026,$71.55,5877500,$72.00,$72.535,$71.005
05/13/2026,$71.05,4530462,$70.49,$71.33,$70.12
05/12/2026,$70.71,5532725,$70.51,$71.00,$70.01
05/11/2026,$71.20,6681732,$73.05,$73.08,$71.09
05/08/2026,$73.33,5073170,$73.43,$73.93,$72.70
05/07/2026,$73.11,8301296,$74.24,$74.97,$72.30
05/06/2026,$73.34,9503773,$74.38,$74.75,$72.725
05/05/2026,$70.86,8247044,$68.93,$71.33,$68.91
05/04/2026,$68.50,8584388,$68.67,$70.385,$67.87
05/01/2026,$68.98,9132001,$68.30,$70.75,$67.60
04/30/2026,$67.99,6294447,$67.30,$68.3259,$67.05
04/29/2026,$66.27,8098723,$66.70,$67.20,$65.815
04/28/2026,$67.22,7020774,$67.77,$68.39,$66.84
04/27/2026,$68.20,6457221,$68.75,$69.65,$68.20
04/24/2026,$68.45,5999536,$68.77,$69.58,$67.99
04/23/2026,$68.37,8670552,$68.475,$70.28,$67.46
04/22/2026,$68.41,7763575,$70.49,$70.80,$68.08
04/21/2026,$70.22,9904764,$70.50,$71.78,$69.5924
04/20/2026,$71.21,7616679,$71.045,$72.25,$70.59
04/17/2026,$71.72,12765650,$74.42,$75.02,$71.32
04/16/2026,$69.89,8826095,$71.87,$72.925,$69.67
04/15/2026,$71.99,12333480,$71.56,$73.40,$70.87
04/14/2026,$71.70,16227120,$68.60,$72.18,$68.0775
04/13/2026,$67.05,8593752,$66.90,$67.16,$65.76
04/10/2026,$67.82,8040785,$68.15,$68.63,$67.38
04/09/2026,$67.83,11636410,$67.64,$69.135,$66.21
04/08/2026,$68.08,20679550,$73.00,$74.19,$68.08
04/07/2026,$65.62,16273690,$65.96,$66.59,$65.045
04/06/2026,$66.78,8207821,$66.56,$67.82,$65.94
04/02/2026,$66.76,11240510,$64.90,$67.39,$64.17
04/01/2026,$67.60,12564320,$67.01,$68.315,$66.895
03/31/2026,$66.48,17749220,$63.95,$67.39,$63.87
03/30/2026,$63.19,14631840,$64.46,$65.06,$62.945
03/27/2026,$64.83,11844350,$66.03,$66.655,$64.47
