Date,Close/Last,Volume,Open,High,Low
08/05/2026,$162.47,5251245,$157.27,$164.87,$155.50
08/04/2026,$158.84,5333622,$156.00,$159.475,$152.28
08/03/2026,$154.85,3431852,$150.62,$154.98,$150.035
07/31/2026,$149.82,3725482,$149.73,$151.00,$147.95
07/30/2026,$148.64,2911060,$149.29,$149.61,$146.75
07/29/2026,$145.73,3601438,$150.78,$150.78,$145.10
07/28/2026,$151.81,2740202,$149.00,$152.09,$147.6197
07/27/2026,$149.30,2835222,$148.60,$150.79,$146.92
07/24/2026,$147.94,3744174,$144.90,$149.175,$144.33
07/23/2026,$144.90,4274823,$138.70,$145.835,$138.60
07/22/2026,$139.63,1696377,$139.12,$140.92,$139.03
07/21/2026,$139.26,1612546,$138.62,$140.34,$136.06
07/20/2026,$136.58,2251184,$139.46,$140.00,$135.25
07/17/2026,$139.54,3253924,$138.30,$142.37,$137.52
07/16/2026,$139.08,2499349,$133.91,$139.31,$133.55
07/15/2026,$136.25,2249942,$136.95,$137.11,$134.60
07/14/2026,$136.09,1831767,$137.29,$138.05,$134.54
07/13/2026,$135.38,1741991,$138.00,$139.28,$134.9505
07/10/2026,$138.88,1563376,$139.04,$140.385,$138.215
07/09/2026,$137.80,2341393,$138.11,$139.50,$136.733
07/08/2026,$136.48,2838235,$136.24,$137.055,$134.20
07/07/2026,$137.91,2159521,$140.09,$140.86,$136.975
07/06/2026,$141.56,1896215,$139.04,$141.74,$138.58
07/02/2026,$139.05,2654966,$140.58,$142.003,$137.27
07/01/2026,$139.52,2160566,$142.33,$142.73,$139.47
06/30/2026,$143.15,2804776,$142.86,$144.17,$141.91
06/29/2026,$142.82,2329240,$142.99,$144.05,$141.6001
06/26/2026,$143.49,5831790,$143.60,$144.84,$141.79
06/25/2026,$145.34,3135221,$143.00,$147.3399,$141.955
06/24/2026,$141.44,3726812,$143.25,$144.77,$140.90
06/23/2026,$143.14,2925617,$146.84,$146.925,$143.09
06/22/2026,$150.21,2806367,$150.72,$152.00,$149.37
06/18/2026,$150.66,4090266,$152.28,$152.88,$150.08
06/17/2026,$149.00,2962312,$149.81,$152.76,$148.665
06/16/2026,$148.81,4229706,$147.11,$151.58,$146.495
06/15/2026,$146.52,2517883,$146.26,$149.57,$145.23
06/12/2026,$143.07,2213425,$143.88,$144.66,$141.38
06/11/2026,$142.09,2057586,$138.89,$142.5999,$136.4201
06/10/2026,$137.11,2952170,$142.40,$144.225,$136.63
06/09/2026,$142.42,2890461,$140.32,$142.94,$138.01
06/08/2026,$139.07,1599021,$138.85,$140.00,$137.86
06/05/2026,$138.12,2232670,$140.93,$141.16,$137.29
06/04/2026,$142.06,1838733,$141.81,$142.775,$140.72
06/03/2026,$140.88,2242067,$140.37,$143.12,$140.04
06/02/2026,$142.03,2260066,$142.04,$143.49,$140.06
06/01/2026,$141.65,2037612,$140.66,$142.60,$140.11
05/29/2026,$143.82,3868328,$142.25,$145.565,$141.385
05/28/2026,$141.79,2758153,$139.01,$142.6099,$137.94
05/27/2026,$139.72,2388286,$141.81,$142.38,$139.395
05/26/2026,$140.97,2689706,$137.75,$141.17,$136.81
05/22/2026,$136.42,2950724,$136.11,$137.495,$134.555
05/21/2026,$134.90,3638122,$131.54,$135.13,$130.84
05/20/2026,$132.86,3295400,$131.36,$133.97,$129.4301
05/19/2026,$130.65,4044374,$130.08,$133.01,$128.13
05/18/2026,$132.22,2107247,$132.68,$133.26,$130.9475
05/15/2026,$133.05,3173434,$135.42,$135.42,$131.17
05/14/2026,$137.88,2088689,$137.79,$138.98,$136.9354
05/13/2026,$137.76,2964883,$136.71,$138.46,$135.10
05/12/2026,$137.28,3433304,$138.86,$138.99,$134.50
05/11/2026,$139.43,2487558,$141.30,$141.50,$139.09
05/08/2026,$141.31,2534485,$142.57,$142.90,$139.495
05/07/2026,$141.09,3938065,$147.95,$147.95,$139.85
05/06/2026,$147.99,5843832,$142.00,$149.47,$142.00
05/05/2026,$138.38,4139120,$138.32,$140.67,$136.90
05/04/2026,$135.46,3317008,$137.00,$139.4732,$135.43
05/01/2026,$137.45,2759883,$141.03,$141.03,$137.23
04/30/2026,$140.44,2737186,$137.26,$140.90,$137.26
04/29/2026,$136.56,2866443,$138.69,$139.10,$136.34
04/28/2026,$138.42,1779327,$140.37,$140.79,$138.08
04/27/2026,$141.47,2595745,$141.51,$142.70,$139.58
04/24/2026,$141.35,2455391,$142.37,$142.48,$140.2079
04/23/2026,$142.44,2660929,$142.00,$143.155,$139.49
04/22/2026,$142.77,2261773,$146.35,$147.03,$142.55
04/21/2026,$144.83,1706824,$147.06,$148.49,$144.305
04/20/2026,$146.77,2223128,$145.45,$147.075,$144.98
04/17/2026,$146.35,3831057,$142.555,$147.375,$142.555
04/16/2026,$140.37,3274063,$140.68,$141.76,$139.355
04/15/2026,$140.40,2566267,$143.38,$144.40,$140.13
04/14/2026,$144.56,1986075,$145.43,$145.871,$143.24
04/13/2026,$144.46,2606912,$143.41,$144.50,$141.88
04/10/2026,$143.77,2029662,$145.64,$145.77,$143.67
04/09/2026,$144.67,2344352,$142.435,$145.41,$142.435
04/08/2026,$142.66,4870070,$141.36,$145.00,$140.22
04/07/2026,$134.64,3030361,$131.75,$134.91,$131.43
04/06/2026,$132.66,2897817,$130.97,$132.82,$130.4075
04/02/2026,$131.70,2562621,$128.74,$133.25,$128.315
04/01/2026,$132.37,2898513,$132.15,$134.40,$131.44
03/31/2026,$131.02,5004370,$126.16,$131.26,$125.30
03/30/2026,$123.30,2986603,$126.635,$126.83,$122.635
03/27/2026,$125.40,3474839,$124.625,$127.625,$123.42
03/26/2026,$126.31,2484417,$129.16,$130.52,$125.97
03/25/2026,$130.86,3087719,$132.46,$132.52,$129.44
03/24/2026,$130.15,2950574,$127.74,$131.00,$127.24
03/23/2026,$129.83,4006483,$129.44,$133.44,$128.735
03/20/2026,$128.15,3352981,$129.61,$130.345,$126.62
03/19/2026,$129.90,3141756,$127.655,$130.82,$125.95
