Date,Close/Last,Volume,Open,High,Low
08/05/2026,$14.13,41003550,$14.33,$14.485,$14.13
08/04/2026,$14.24,53923530,$14.49,$14.49,$13.98
08/03/2026,$14.43,42705170,$14.91,$15.055,$14.43
07/31/2026,$14.68,56015210,$14.96,$15.03,$14.41
07/30/2026,$14.86,60025760,$15.34,$15.3713,$14.635
07/29/2026,$15.28,98361110,$15.57,$16.29,$15.16
07/28/2026,$14.96,75709040,$14.76,$15.02,$14.66
07/27/2026,$14.68,58748370,$14.81,$14.87,$14.34
07/24/2026,$14.37,76549640,$14.17,$14.545,$14.135
07/23/2026,$14.15,65393710,$14.21,$14.28,$14.02
07/22/2026,$14.42,62012050,$14.27,$14.70,$14.26
07/21/2026,$14.27,48936320,$14.15,$14.42,$14.03
07/20/2026,$13.99,39940060,$14.30,$14.30,$13.94
07/17/2026,$14.23,45456460,$14.04,$14.50,$13.85
07/16/2026,$14.19,33315250,$14.20,$14.265,$14.00
07/15/2026,$14.18,57373200,$14.04,$14.375,$13.97
07/14/2026,$13.94,42721920,$14.00,$14.03,$13.76
07/13/2026,$13.85,51284120,$13.99,$14.22,$13.82
07/10/2026,$14.00,47092800,$13.627,$14.10,$13.627
07/09/2026,$13.61,41197470,$13.59,$13.745,$13.435
07/08/2026,$13.50,43967610,$13.38,$13.57,$13.24
07/07/2026,$13.56,43813400,$13.75,$13.80,$13.55
07/06/2026,$13.83,54301370,$13.51,$13.895,$13.4235
07/02/2026,$13.36,49011930,$13.82,$14.00,$13.22
07/01/2026,$13.64,44543990,$13.85,$13.88,$13.545
06/30/2026,$13.90,59308700,$14.02,$14.185,$13.79
06/29/2026,$14.02,46333180,$14.09,$14.25,$13.96
06/26/2026,$14.13,59551910,$13.97,$14.48,$13.97
06/25/2026,$14.11,61756070,$13.916,$14.36,$13.89
06/24/2026,$13.84,51674980,$14.03,$14.15,$13.71
06/23/2026,$14.00,65368280,$13.835,$14.2151,$13.74
06/22/2026,$14.11,66738120,$14.10,$14.56,$13.95
06/18/2026,$14.06,88711730,$14.12,$14.13,$13.72
06/17/2026,$13.96,43099800,$14.43,$14.48,$13.93
06/16/2026,$14.41,47489970,$14.79,$14.85,$14.41
06/15/2026,$14.77,48551860,$15.22,$15.48,$14.735
06/12/2026,$14.84,42162230,$14.75,$15.00,$14.61
06/11/2026,$14.71,47657220,$14.30,$14.78,$14.10
06/10/2026,$14.30,50776700,$14.84,$14.84,$14.23
06/09/2026,$14.95,51032580,$15.105,$15.39,$14.49
06/08/2026,$15.00,33038290,$14.99,$15.19,$14.91
06/05/2026,$14.90,65372110,$15.232,$15.26,$14.6801
06/04/2026,$15.34,50079430,$15.89,$15.89,$15.22
06/03/2026,$15.71,59298510,$16.01,$16.20,$15.63
06/02/2026,$16.15,72847530,$16.57,$16.75,$15.8301
06/01/2026,$16.63,97586360,$17.38,$17.48,$16.625
05/29/2026,$17.44,154228200,$16.88,$17.78,$16.82
05/28/2026,$16.65,98577310,$15.864,$16.75,$15.86
05/27/2026,$15.88,89234060,$15.425,$16.06,$15.39
05/26/2026,$15.32,90423290,$14.78,$15.545,$14.78
05/22/2026,$14.93,109712200,$13.79,$14.95,$13.77
05/21/2026,$13.67,72523070,$13.17,$13.80,$13.14
05/20/2026,$13.22,42349020,$13.05,$13.31,$12.92
05/19/2026,$13.06,41418200,$12.89,$13.23,$12.72
05/18/2026,$13.03,69708830,$13.99,$13.99,$13.015
05/15/2026,$13.40,108272300,$13.98,$14.05,$13.285
05/14/2026,$14.48,187021600,$13.75,$14.94,$13.63
05/13/2026,$13.57,216261200,$11.97,$13.94,$11.97
05/12/2026,$11.99,42165340,$11.92,$12.025,$11.80
05/11/2026,$12.05,48850840,$12.34,$12.39,$12.01
05/08/2026,$12.32,38453550,$12.29,$12.37,$12.18
05/07/2026,$12.18,38986730,$12.222,$12.30,$12.06
05/06/2026,$12.17,52111220,$11.94,$12.2499,$11.94
05/05/2026,$11.69,42262080,$11.56,$11.79,$11.555
05/04/2026,$11.50,51014810,$11.85,$11.88,$11.455
05/01/2026,$11.88,52880470,$12.06,$12.07,$11.78
04/30/2026,$12.08,80557940,$11.551,$12.09,$11.47
04/29/2026,$12.24,48672830,$12.37,$12.38,$12.135
04/28/2026,$12.40,44278000,$12.52,$12.52,$12.2431
04/27/2026,$12.49,35098180,$12.38,$12.65,$12.38
04/24/2026,$12.38,35043470,$12.45,$12.46,$12.29
04/23/2026,$12.48,30844540,$12.61,$12.695,$12.37
04/22/2026,$12.63,23958290,$12.84,$12.8797,$12.575
04/21/2026,$12.78,32209970,$12.87,$13.03,$12.775
04/20/2026,$12.87,26028970,$12.81,$12.915,$12.75
04/17/2026,$12.87,45735000,$12.64,$13.04,$12.62
04/16/2026,$12.44,37407680,$12.67,$12.75,$12.42
04/15/2026,$12.71,39926530,$12.70,$12.755,$12.49
04/14/2026,$12.71,50232180,$12.51,$12.75,$12.45
04/13/2026,$12.16,32688630,$12.03,$12.165,$11.92
04/10/2026,$12.13,28362740,$12.34,$12.42,$12.07
04/09/2026,$12.24,32576250,$12.065,$12.27,$11.96
04/08/2026,$12.18,58139980,$11.96,$12.24,$11.96
04/07/2026,$11.52,41991580,$11.54,$11.605,$11.35
04/06/2026,$11.61,24374590,$11.60,$11.63,$11.50
04/02/2026,$11.60,31109070,$11.47,$11.62,$11.36
04/01/2026,$11.68,33991680,$11.62,$11.69,$11.575
03/31/2026,$11.54,38287890,$11.36,$11.59,$11.27
03/30/2026,$11.21,41459900,$11.41,$11.45,$11.11
03/27/2026,$11.37,33064550,$11.54,$11.55,$11.29
03/26/2026,$11.60,28517570,$11.56,$11.72,$11.49
03/25/2026,$11.67,37746080,$11.945,$12.01,$11.66
03/24/2026,$11.84,31903850,$11.68,$11.88,$11.67
03/23/2026,$11.76,44442150,$11.93,$12.01,$11.72
03/20/2026,$11.52,147725100,$11.635,$11.68,$11.37
03/19/2026,$11.64,47423420,$11.68,$11.75,$11.48
03/18/2026,$11.79,55564770,$11.87,$12.01,$11.70
03/17/2026,$11.94,59520140,$11.86,$12.03,$11.84
03/16/2026,$11.71,49441380,$11.815,$11.875,$11.64
03/13/2026,$11.67,48546480,$12.11,$12.13,$11.65
03/12/2026,$12.04,51733910,$11.93,$12.19,$11.85
03/11/2026,$12.11,50074540,$12.27,$12.49,$12.031
03/10/2026,$12.24,56746280,$12.19,$12.51,$12.19
03/09/2026,$12.19,69611160,$11.94,$12.20,$11.80
03/06/2026,$12.15,59877680,$12.17,$12.32,$12.03
03/05/2026,$12.34,71944260,$12.70,$12.745,$12.24
03/04/2026,$12.81,73976740,$12.945,$13.15,$12.81
03/03/2026,$12.70,102354700,$13.07,$13.18,$12.68
03/02/2026,$13.39,110305500,$13.93,$13.93,$13.22
02/27/2026,$14.09,73156950,$14.32,$14.57,$14.03
02/26/2026,$14.41,61456280,$14.45,$14.795,$14.3044
02/25/2026,$14.43,58968680,$14.25,$14.49,$14.15
02/24/2026,$14.20,73560770,$13.77,$14.325,$13.73
02/23/2026,$13.64,59134370,$13.98,$14.04,$13.57
02/20/2026,$14.01,67701100,$13.775,$14.035,$13.72
02/19/2026,$13.78,58268470,$13.77,$13.945,$13.69
02/18/2026,$13.85,64199310,$14.11,$14.14,$13.805
02/17/2026,$14.13,57684790,$14.09,$14.17,$13.933
02/13/2026,$14.12,87400200,$13.88,$14.335,$13.85
02/12/2026,$14.00,133257200,$13.90,$14.36,$13.85
02/11/2026,$13.85,129595000,$13.62,$13.88,$13.515
02/10/2026,$13.57,80827670,$13.635,$13.74,$13.57
02/09/2026,$13.59,59777960,$13.75,$13.775,$13.53
02/06/2026,$13.80,55588190,$13.78,$13.88,$13.665
02/05/2026,$13.72,79719940,$13.75,$13.82,$13.53
02/04/2026,$13.82,70488670,$13.72,$14.00,$13.69
02/03/2026,$13.73,76637980,$13.82,$14.0351,$13.61
02/02/2026,$13.81,54218120,$13.86,$13.895,$13.745
01/30/2026,$13.88,66996340,$13.91,$13.98,$13.79
01/29/2026,$14.00,84803900,$13.89,$14.09,$13.795
01/28/2026,$13.82,48751760,$13.88,$13.89,$13.76
01/27/2026,$13.93,100003700,$13.64,$13.945,$13.51
01/26/2026,$13.44,59170960,$13.56,$13.655,$13.3448
01/23/2026,$13.56,39702050,$13.70,$13.70,$13.55
01/22/2026,$13.71,38170250,$13.78,$13.84,$13.70
01/21/2026,$13.77,58160150,$13.405,$13.77,$13.405
01/20/2026,$13.28,67018100,$13.47,$13.61,$13.23
01/16/2026,$13.60,60750840,$13.76,$13.795,$13.59
01/15/2026,$13.81,44241480,$13.915,$14.13,$13.79
01/14/2026,$13.84,65318550,$14.00,$14.12,$13.79
01/13/2026,$13.98,58867540,$14.055,$14.13,$13.96
01/12/2026,$14.03,53443960,$14.15,$14.185,$13.955
01/09/2026,$14.20,68436180,$14.35,$14.41,$14.085
01/08/2026,$14.40,154276800,$13.89,$14.50,$13.89
01/07/2026,$13.74,50608950,$13.80,$13.82,$13.59
01/06/2026,$13.80,84534700,$13.51,$13.86,$13.32
01/05/2026,$13.47,50135250,$13.25,$13.48,$13.2001
01/02/2026,$13.34,46366860,$13.18,$13.39,$13.06
12/31/2025,$13.12,26302260,$13.21,$13.22,$13.12
12/30/2025,$13.23,23002810,$13.28,$13.29,$13.20
12/29/2025,$13.28,24398310,$13.27,$13.31,$13.24
12/26/2025,$13.31,22471420,$13.335,$13.375,$13.26
12/24/2025,$13.36,14227580,$13.30,$13.38,$13.25
12/23/2025,$13.29,25440830,$13.43,$13.45,$13.28
12/22/2025,$13.46,31106110,$13.51,$13.6095,$13.42
12/19/2025,$13.47,61640570,$13.31,$13.475,$13.28
12/18/2025,$13.32,52604830,$13.38,$13.4656,$13.25
12/17/2025,$13.31,58320640,$13.63,$13.66,$13.29
12/16/2025,$13.67,69408880,$13.72,$13.99,$13.5701
12/15/2025,$13.65,53577260,$13.80,$13.81,$13.49
12/12/2025,$13.76,48337280,$13.67,$13.84,$13.67
12/11/2025,$13.63,59012300,$13.385,$13.68,$13.30
12/10/2025,$13.41,72210700,$13.08,$13.42,$13.07
12/09/2025,$13.08,33349990,$13.13,$13.2202,$13.06
12/08/2025,$13.14,45580830,$13.07,$13.16,$12.945
12/05/2025,$13.03,54099360,$13.15,$13.28,$13.00
12/04/2025,$13.14,47554800,$13.19,$13.24,$13.06
12/03/2025,$13.09,45364670,$12.99,$13.14,$12.96
12/02/2025,$12.96,57641700,$13.19,$13.19,$12.87
12/01/2025,$13.16,51593960,$13.195,$13.385,$13.13
11/28/2025,$13.28,29536180,$13.205,$13.34,$13.18
11/26/2025,$13.19,44942200,$13.17,$13.26,$13.12
11/25/2025,$13.17,52884970,$12.99,$13.26,$12.975
11/24/2025,$12.96,52936240,$12.84,$12.98,$12.825
11/21/2025,$12.83,74048860,$12.51,$12.94,$12.49
11/20/2025,$12.41,95861860,$12.91,$13.01,$12.38
11/19/2025,$12.90,49619260,$13.03,$13.15,$12.8649
11/18/2025,$13.02,70215400,$12.87,$13.09,$12.76
11/17/2025,$12.88,73404380,$13.1751,$13.1751,$12.78
11/14/2025,$13.19,67932420,$13.18,$13.31,$13.10
11/13/2025,$13.28,71481610,$13.40,$13.50,$13.25
11/12/2025,$13.45,61840460,$13.30,$13.50,$13.30
11/11/2025,$13.30,79742410,$13.19,$13.44,$13.19
11/10/2025,$13.16,62051160,$13.23,$13.235,$13.00
11/07/2025,$13.21,80011320,$12.96,$13.24,$12.95
11/06/2025,$13.12,82291050,$13.14,$13.26,$12.98
11/05/2025,$13.11,79134310,$12.92,$13.305,$12.88
11/04/2025,$12.79,70360610,$12.91,$12.93,$12.75
11/03/2025,$13.01,80419400,$13.10,$13.10,$12.90
10/31/2025,$13.13,68861990,$13.04,$13.17,$12.99
10/30/2025,$13.06,80766300,$13.14,$13.29,$13.06
10/29/2025,$13.24,127512200,$13.10,$13.39,$13.07
10/28/2025,$13.13,96738450,$13.24,$13.28,$13.04
10/27/2025,$13.26,140859000,$13.80,$13.80,$13.21
10/24/2025,$13.84,298366900,$12.73,$13.97,$12.71
10/23/2025,$12.34,479840300,$12.47,$12.49,$12.19
10/22/2025,$12.43,415062200,$12.53,$12.595,$12.28
10/21/2025,$12.56,297153200,$12.255,$12.63,$12.07
10/20/2025,$11.99,77878940,$11.93,$12.08,$11.91
10/17/2025,$11.92,107633500,$11.74,$12.01,$11.72
10/16/2025,$11.74,108701200,$11.74,$11.79,$11.64
10/15/2025,$11.76,88960730,$11.675,$11.78,$11.64
10/14/2025,$11.65,89117950,$11.38,$11.76,$11.34
10/13/2025,$11.54,73939380,$11.49,$11.63,$11.46
10/10/2025,$11.41,84595400,$11.55,$11.59,$11.35
10/09/2025,$11.50,70320480,$11.745,$11.77,$11.48
10/08/2025,$11.74,78469650,$11.98,$12.014,$11.68
10/07/2025,$11.92,154390200,$12.50,$12.53,$11.74
10/06/2025,$12.70,90544940,$12.63,$12.80,$12.48
10/03/2025,$12.67,100778600,$12.245,$12.67,$12.20
10/02/2025,$12.22,74530530,$12.28,$12.43,$12.12
10/01/2025,$12.27,73578430,$12.12,$12.28,$12.04
