Date,Close/Last,Volume,Open,High,Low
08/05/2026,$353.14,3140357,$350.155,$354.55,$348.15
08/04/2026,$348.24,4275007,$340.23,$350.86,$339.35
08/03/2026,$340.02,2908135,$339.80,$343.635,$333.72
07/31/2026,$331.96,4961924,$332.44,$333.9955,$328.795
07/30/2026,$333.35,6277781,$334.99,$335.69,$330.25
07/29/2026,$338.27,4030011,$340.38,$345.27,$336.96
07/28/2026,$344.47,4308658,$342.64,$349.425,$342.60
07/27/2026,$336.09,3622566,$339.39,$341.89,$335.35
07/24/2026,$332.98,3874904,$325.07,$333.46,$323.23
07/23/2026,$324.71,4523101,$325.30,$328.23,$323.05
07/22/2026,$331.45,2907719,$333.53,$336.555,$330.71
07/21/2026,$331.60,3113013,$331.30,$333.00,$327.00
07/20/2026,$333.04,4125326,$339.97,$340.20,$331.405
07/17/2026,$338.87,4434024,$348.93,$353.98,$338.0896
07/16/2026,$348.02,3810252,$341.55,$350.81,$340.64
07/15/2026,$341.44,3953132,$338.99,$346.25,$337.2591
07/14/2026,$337.74,2807317,$339.52,$341.745,$336.565
07/13/2026,$337.11,3650428,$344.00,$345.11,$335.425
07/10/2026,$343.30,2748038,$339.55,$344.40,$337.9001
07/09/2026,$338.73,2780849,$337.76,$340.73,$335.61
07/08/2026,$336.21,4192646,$337.985,$337.985,$330.66
07/07/2026,$345.21,3592779,$355.06,$355.415,$344.48
07/06/2026,$350.65,4460779,$357.82,$358.8539,$345.80
07/02/2026,$357.90,3116042,$352.84,$358.19,$347.65
07/01/2026,$350.84,4041328,$353.98,$357.12,$350.84
06/30/2026,$352.68,4579046,$350.685,$353.50,$347.30
06/29/2026,$350.81,5786515,$348.86,$351.35,$345.54
06/26/2026,$348.86,7771709,$347.90,$350.50,$345.85
06/25/2026,$345.00,6977452,$342.25,$348.64,$341.82
06/24/2026,$342.86,6385021,$329.12,$342.96,$327.705
06/23/2026,$324.45,4788015,$323.865,$329.02,$321.70
06/22/2026,$326.62,4713649,$330.00,$331.73,$326.34
06/18/2026,$334.28,10604440,$331.70,$338.02,$330.90
06/17/2026,$327.48,6085404,$336.01,$341.15,$326.17
06/16/2026,$337.09,5131484,$331.91,$338.2734,$329.7485
06/15/2026,$329.82,4694979,$333.76,$338.00,$329.54
06/12/2026,$328.39,3648954,$328.50,$331.02,$325.29
06/11/2026,$326.01,4656623,$322.29,$327.03,$318.55
06/10/2026,$318.92,4823833,$323.265,$324.00,$318.80
06/09/2026,$321.33,4875346,$311.35,$322.89,$310.2741
06/08/2026,$309.71,4381815,$308.88,$313.7744,$307.07
06/05/2026,$310.78,3946322,$310.83,$314.05,$308.625
06/04/2026,$309.95,4558624,$317.83,$320.75,$308.11
06/03/2026,$312.97,4328287,$307.94,$313.52,$307.12
06/02/2026,$311.52,4309965,$309.98,$312.20,$308.566
06/01/2026,$310.69,4544217,$315.13,$315.89,$307.69
05/29/2026,$317.14,6965695,$320.48,$322.10,$317.00
05/28/2026,$321.21,6820611,$317.45,$321.88,$315.16
05/27/2026,$317.85,5991337,$314.75,$321.00,$314.51
05/26/2026,$310.54,6980568,$315.06,$316.79,$308.96
05/22/2026,$313.07,2966858,$314.50,$314.96,$311.46
05/21/2026,$313.78,4516586,$306.36,$313.99,$304.38
05/20/2026,$310.58,5810902,$301.06,$311.01,$296.67
05/19/2026,$302.44,8692499,$291.865,$303.185,$289.10
05/18/2026,$299.81,6366122,$299.25,$303.7779,$297.3001
05/15/2026,$297.51,6121507,$300.31,$302.925,$296.88
