Date,Close/Last,Volume,Open,High,Low
08/05/2026,$1.56,26595310,$1.50,$1.57,$1.45
08/04/2026,$1.51,40072020,$1.58,$1.585,$1.49
08/03/2026,$1.53,26101480,$1.56,$1.5865,$1.48
07/31/2026,$1.585,23904910,$1.67,$1.68,$1.55
07/30/2026,$1.655,9013112,$1.70,$1.71,$1.63
07/29/2026,$1.67,25144260,$1.76,$1.76,$1.56
07/28/2026,$1.765,19553370,$1.89,$2.03,$1.76
07/27/2026,$2.00,18129440,$1.80,$2.02,$1.80
07/24/2026,$1.81,12128730,$1.90,$1.90,$1.78
07/23/2026,$1.905,17779120,$1.90,$2.035,$1.88
07/22/2026,$1.93,18320270,$1.86,$2.05,$1.85
07/21/2026,$1.85,13143040,$1.77,$1.86,$1.705
07/20/2026,$1.76,18499680,$1.80,$1.81,$1.735
07/17/2026,$1.80,18012510,$1.86,$1.90,$1.755
07/16/2026,$1.87,11046240,$1.90,$1.965,$1.84
07/15/2026,$1.90,12844510,$1.86,$1.9799,$1.835
07/14/2026,$1.84,16458750,$1.84,$1.88,$1.75
07/13/2026,$1.83,26667760,$2.045,$2.0599,$1.83
07/10/2026,$2.05,13587470,$2.17,$2.195,$2.03
07/09/2026,$2.17,39200910,$2.00,$2.19,$1.96
07/08/2026,$1.97,26218830,$2.06,$2.06,$1.93
07/07/2026,$2.10,23732300,$2.065,$2.24,$2.05
07/06/2026,$2.05,20228470,$2.20,$2.24,$2.025
07/02/2026,$2.12,28157280,$2.20,$2.26,$2.09
07/01/2026,$2.20,42842290,$2.24,$2.30,$2.13
06/30/2026,$2.265,43565230,$2.33,$2.35,$2.14
06/29/2026,$2.30,57655710,$2.70,$2.70,$2.2601
06/26/2026,$2.64,37048030,$2.65,$2.7279,$2.57
06/25/2026,$2.68,92865330,$2.91,$2.9398,$2.5101
06/24/2026,$3.00,99810610,$3.96,$3.98,$2.95
06/23/2026,$5.06,4876728,$5.02,$5.24,$5.015
06/22/2026,$5.14,3900043,$5.02,$5.19,$4.995
06/18/2026,$5.05,8064664,$4.87,$5.06,$4.86
06/17/2026,$4.83,6523076,$5.00,$5.00,$4.75
06/16/2026,$4.99,5313381,$5.12,$5.21,$4.98
06/15/2026,$5.13,5684761,$5.26,$5.335,$5.1032
06/12/2026,$5.13,4175183,$5.12,$5.1599,$4.995
06/11/2026,$5.04,3806928,$5.00,$5.095,$4.915
06/10/2026,$4.98,5406198,$5.19,$5.261,$4.93
06/09/2026,$5.29,8105704,$5.135,$5.42,$5.11
06/08/2026,$5.08,7084815,$5.15,$5.38,$5.06
06/05/2026,$5.09,4424428,$5.05,$5.2407,$5.03
06/04/2026,$5.10,4144331,$5.16,$5.295,$5.08
06/03/2026,$5.16,3701216,$5.13,$5.215,$5.0229
06/02/2026,$5.21,5899688,$5.11,$5.245,$5.06
06/01/2026,$5.17,5681537,$5.28,$5.35,$5.11
05/29/2026,$5.40,6480064,$5.47,$5.54,$5.381
05/28/2026,$5.49,6134656,$5.25,$5.63,$5.15
05/27/2026,$5.26,8746270,$5.23,$5.425,$5.135
05/26/2026,$5.23,7449154,$5.44,$5.70,$5.19
05/22/2026,$5.30,5652061,$5.08,$5.405,$5.08
05/21/2026,$5.06,5467419,$4.88,$5.19,$4.80
05/20/2026,$4.88,7053634,$4.98,$5.05,$4.86
05/19/2026,$4.93,8823760,$5.21,$5.2699,$4.905
05/18/2026,$5.20,8516855,$5.50,$5.5699,$5.075
05/15/2026,$5.53,6330787,$5.61,$5.70,$5.5037
05/14/2026,$5.83,5312907,$5.88,$6.05,$5.82
05/13/2026,$5.90,9364375,$5.67,$6.12,$5.62
05/12/2026,$5.75,9194393,$6.17,$6.205,$5.705
05/11/2026,$6.19,10333630,$5.955,$6.46,$5.90
05/08/2026,$6.05,6854776,$6.19,$6.41,$6.02
05/07/2026,$6.17,13447970,$6.16,$6.5183,$5.685
05/06/2026,$6.48,8158295,$6.195,$6.58,$6.17
05/05/2026,$6.09,6875336,$5.768,$6.31,$5.75
05/04/2026,$5.81,7172508,$6.19,$6.35,$5.78
05/01/2026,$6.14,13416600,$6.25,$6.35,$5.84
04/30/2026,$6.36,43377890,$6.47,$7.04,$6.16
04/29/2026,$5.60,10028290,$5.435,$5.72,$5.37
04/28/2026,$5.75,7041438,$5.54,$5.76,$5.53
04/27/2026,$5.59,10597850,$5.705,$5.8662,$5.55
04/24/2026,$5.71,11024290,$5.91,$5.965,$5.62
04/23/2026,$5.90,16629530,$6.42,$6.49,$5.655
04/22/2026,$6.60,20645480,$7.275,$7.60,$6.435
04/21/2026,$7.17,35354990,$7.92,$7.94,$6.91
04/20/2026,$7.81,27579920,$7.42,$8.18,$7.38
04/17/2026,$7.43,22175690,$6.89,$7.755,$6.67
04/16/2026,$6.98,15501870,$6.46,$7.18,$6.28
04/15/2026,$6.56,16972760,$6.84,$6.88,$6.22
04/14/2026,$6.99,13709360,$6.61,$7.12,$6.42
04/13/2026,$6.61,12394850,$6.21,$6.735,$6.06
04/10/2026,$6.32,16312400,$6.611,$6.76,$6.01
04/09/2026,$6.57,16936800,$5.97,$6.69,$5.96
04/08/2026,$5.97,16012300,$6.05,$6.26,$5.84
04/07/2026,$5.88,24464470,$5.30,$5.96,$5.28
04/06/2026,$5.31,6293085,$5.01,$5.32,$5.0001
04/02/2026,$5.11,8124179,$5.05,$5.19,$4.91
04/01/2026,$5.18,10915320,$4.68,$5.20,$4.58
03/31/2026,$4.61,7499081,$4.55,$4.73,$4.41
03/30/2026,$4.48,6060889,$4.53,$4.65,$4.41
03/27/2026,$4.60,6514062,$4.44,$4.74,$4.43
03/26/2026,$4.77,19172590,$4.34,$5.085,$4.2601
03/25/2026,$4.37,4599365,$4.35,$4.38,$4.205
03/24/2026,$4.24,4101696,$4.115,$4.30,$4.08
03/23/2026,$4.13,5004815,$4.01,$4.28,$3.99
03/20/2026,$3.95,5809723,$3.93,$4.01,$3.85
03/19/2026,$3.98,8282507,$4.14,$4.22,$3.775
03/18/2026,$4.18,9422978,$4.25,$4.375,$4.14
03/17/2026,$4.21,4890902,$4.00,$4.29,$4.00
03/16/2026,$3.97,4638733,$3.95,$4.03,$3.93
03/13/2026,$3.89,4048310,$3.94,$3.99,$3.82
03/12/2026,$3.89,5498649,$4.04,$4.11,$3.865
03/11/2026,$4.12,3305504,$4.04,$4.16,$3.995
03/10/2026,$4.01,3550984,$4.15,$4.155,$4.00
03/09/2026,$4.16,7905346,$4.00,$4.17,$3.89
03/06/2026,$4.12,6555546,$4.15,$4.21,$4.06
03/05/2026,$4.30,4598986,$4.30,$4.45,$4.20
03/04/2026,$4.34,5113286,$4.36,$4.48,$4.26
03/03/2026,$4.34,4465559,$4.21,$4.39,$4.16
03/02/2026,$4.33,7447431,$4.25,$4.59,$4.21
02/27/2026,$4.54,9434547,$4.42,$4.67,$4.35
02/26/2026,$4.50,11792470,$4.23,$4.59,$4.20
02/25/2026,$4.42,7853014,$4.46,$4.54,$4.31
02/24/2026,$4.44,4976719,$4.43,$4.53,$4.375
02/23/2026,$4.43,7732290,$4.59,$4.59,$4.29
02/20/2026,$4.665,7865646,$4.65,$4.76,$4.44
02/19/2026,$4.68,14572090,$5.10,$5.12,$4.515
02/18/2026,$5.30,5744378,$5.02,$5.32,$4.99
02/17/2026,$4.92,3994207,$5.03,$5.065,$4.88
02/13/2026,$5.04,4161303,$5.25,$5.26,$5.00
02/12/2026,$5.12,5440556,$5.31,$5.40,$5.02
02/11/2026,$5.27,5228580,$5.20,$5.37,$5.145
02/10/2026,$5.20,3052893,$5.28,$5.345,$5.17
02/09/2026,$5.28,3463967,$5.30,$5.36,$5.145
02/06/2026,$5.29,5801708,$5.01,$5.305,$5.01
02/05/2026,$4.94,6221241,$5.15,$5.22,$4.865
02/04/2026,$5.22,6802182,$5.28,$5.51,$5.205
02/03/2026,$5.16,5522868,$5.00,$5.185,$4.932
02/02/2026,$4.96,4724843,$4.88,$5.07,$4.85
01/30/2026,$4.90,6919590,$5.01,$5.08,$4.84
01/29/2026,$5.08,3463136,$5.19,$5.22,$5.04
01/28/2026,$5.19,3539134,$5.39,$5.41,$5.12
01/27/2026,$5.30,4753301,$5.40,$5.40,$5.20
01/26/2026,$5.40,5248644,$5.51,$5.51,$5.3047
01/23/2026,$5.53,4088034,$5.68,$5.73,$5.46
01/22/2026,$5.68,5190676,$5.93,$6.135,$5.67
01/21/2026,$5.88,8385973,$5.47,$5.95,$5.45
01/20/2026,$5.39,5595081,$5.42,$5.61,$5.33
01/16/2026,$5.585,5075222,$5.58,$5.66,$5.44
01/15/2026,$5.59,4280895,$5.44,$5.735,$5.44
01/14/2026,$5.41,4930295,$5.31,$5.48,$5.22
01/13/2026,$5.32,4807519,$5.43,$5.52,$5.30
01/12/2026,$5.47,5659608,$5.71,$5.71,$5.385
01/09/2026,$5.66,3807113,$5.71,$5.775,$5.48
01/08/2026,$5.60,5261714,$5.605,$5.815,$5.59
01/07/2026,$5.61,5259374,$5.61,$5.835,$5.47
01/06/2026,$5.64,7981983,$5.27,$5.69,$5.265
01/05/2026,$5.24,6702946,$5.22,$5.42,$5.17
01/02/2026,$5.22,5791222,$5.18,$5.375,$5.17
12/31/2025,$5.14,5206194,$5.19,$5.225,$5.13
12/30/2025,$5.24,3926233,$5.27,$5.28,$5.16
12/29/2025,$5.28,4835279,$5.37,$5.38,$5.22
12/26/2025,$5.36,5197485,$5.26,$5.375,$5.13
12/24/2025,$5.33,2815354,$5.48,$5.50,$5.25
12/23/2025,$5.48,6258551,$5.68,$5.73,$5.40
12/22/2025,$5.74,14029360,$5.32,$5.87,$5.235
12/19/2025,$5.15,10158600,$5.08,$5.225,$5.02
12/18/2025,$5.06,4715653,$5.10,$5.20,$5.00
12/17/2025,$5.03,3217211,$5.10,$5.1451,$5.00
12/16/2025,$5.10,4500008,$5.05,$5.14,$4.98
12/15/2025,$5.04,4894444,$5.21,$5.22,$5.03
12/12/2025,$5.15,5058218,$5.19,$5.2599,$5.09
12/11/2025,$5.19,5266972,$5.50,$5.50,$5.175
12/10/2025,$5.49,6511015,$5.38,$5.68,$5.3414
12/09/2025,$5.34,7851822,$5.09,$5.525,$5.08
12/08/2025,$5.09,4071449,$5.14,$5.18,$5.06
12/05/2025,$5.06,7259058,$5.12,$5.39,$5.045
12/04/2025,$5.14,5024317,$5.20,$5.22,$5.03
12/03/2025,$5.22,4568024,$5.17,$5.27,$5.08
12/02/2025,$5.13,5549541,$4.91,$5.21,$4.88
12/01/2025,$4.98,8972476,$5.13,$5.13,$4.93
11/28/2025,$5.24,3596934,$5.12,$5.24,$5.09
11/26/2025,$5.12,5395753,$5.18,$5.27,$5.11
11/25/2025,$5.26,7835041,$5.08,$5.30,$5.05
11/24/2025,$5.08,9994589,$5.13,$5.13,$4.9115
11/21/2025,$5.09,10276680,$4.77,$5.12,$4.67
11/20/2025,$4.85,12566260,$5.15,$5.18,$4.77
11/19/2025,$5.11,11320830,$5.21,$5.28,$5.03
11/18/2025,$5.22,9493346,$5.20,$5.28,$5.02
11/17/2025,$5.26,13751800,$5.59,$5.59,$5.185
11/14/2025,$5.65,11152440,$5.89,$5.98,$5.64
11/13/2025,$6.07,13069120,$6.18,$6.2793,$5.80
11/12/2025,$6.34,13993330,$6.43,$6.85,$6.27
11/11/2025,$6.38,7059177,$6.21,$6.40,$6.005
11/10/2025,$6.28,10555100,$6.78,$6.94,$6.245
11/07/2025,$6.58,14516270,$6.065,$6.695,$6.01
11/06/2025,$6.185,15048920,$6.64,$6.84,$6.11
11/05/2025,$6.675,32219990,$6.50,$6.70,$5.62
11/04/2025,$6.73,129775800,$5.74,$7.15,$5.60
11/03/2025,$4.94,14498150,$5.20,$5.2094,$4.87
10/31/2025,$5.13,10741450,$5.005,$5.14,$4.79
10/30/2025,$4.99,11144000,$5.24,$5.24,$4.94
10/29/2025,$5.27,11953270,$5.26,$5.46,$5.18
10/28/2025,$5.11,8795480,$5.19,$5.285,$5.065
10/27/2025,$5.17,8951479,$5.27,$5.465,$5.11
10/24/2025,$5.18,6180184,$5.30,$5.37,$5.08
10/23/2025,$5.19,8505366,$4.87,$5.20,$4.86
10/22/2025,$4.95,8062334,$5.125,$5.2799,$4.86
10/21/2025,$5.11,12703340,$4.88,$5.30,$4.71
10/20/2025,$5.01,12902610,$5.31,$5.31,$4.86
10/17/2025,$5.215,10139940,$5.78,$5.78,$5.20
10/16/2025,$5.78,11821220,$5.60,$5.98,$5.51
10/15/2025,$5.57,9100411,$5.59,$5.66,$5.43
10/14/2025,$5.52,11263010,$5.39,$5.71,$5.16
10/13/2025,$5.49,6050506,$5.65,$5.72,$5.36
10/10/2025,$5.60,7406973,$5.68,$5.82,$5.53
10/09/2025,$5.65,5495919,$5.84,$5.875,$5.64
10/08/2025,$5.79,13269400,$5.55,$5.945,$5.42
10/07/2025,$5.58,10512260,$5.65,$5.875,$5.4517
10/06/2025,$5.605,22630490,$6.20,$6.20,$5.50
10/03/2025,$6.25,9466725,$6.72,$6.76,$6.235
10/02/2025,$6.67,5774170,$6.81,$6.94,$6.66
10/01/2025,$6.77,9882326,$6.73,$7.12,$6.69
09/30/2025,$6.80,9642049,$6.94,$7.11,$6.68
09/29/2025,$6.84,6883964,$6.835,$6.945,$6.49
09/26/2025,$6.77,9289352,$7.02,$7.04,$6.72
09/25/2025,$7.03,30557060,$6.975,$7.54,$6.72
09/24/2025,$6.97,6175522,$7.04,$7.18,$6.87
09/23/2025,$6.96,5945700,$6.85,$7.24,$6.8425
09/22/2025,$6.79,4672327,$6.84,$6.89,$6.61
09/19/2025,$6.80,11632020,$6.77,$7.11,$6.5902
09/18/2025,$6.74,7838273,$6.23,$6.83,$6.1309
09/17/2025,$6.19,7173427,$6.22,$6.62,$6.175
09/16/2025,$6.11,4991259,$6.23,$6.23,$5.98
09/15/2025,$6.19,5820710,$6.46,$6.53,$6.12
09/12/2025,$6.40,9278451,$6.31,$6.49,$6.065
09/11/2025,$6.21,6743681,$5.85,$6.275,$5.83
09/10/2025,$5.85,4910987,$6.12,$6.23,$5.76
09/09/2025,$6.09,8275076,$5.96,$6.15,$5.78
09/08/2025,$5.98,8010622,$5.44,$6.00,$5.41
09/05/2025,$5.47,3924972,$5.55,$5.635,$5.43
09/04/2025,$5.43,3484408,$5.49,$5.50,$5.29
09/03/2025,$5.41,4873413,$5.59,$5.6299,$5.36
09/02/2025,$5.62,4008401,$5.51,$5.775,$5.46
08/29/2025,$5.73,4274594,$5.71,$5.915,$5.665
08/28/2025,$5.73,4407877,$5.90,$5.96,$5.66
08/27/2025,$5.85,5121255,$5.66,$5.91,$5.615
08/26/2025,$5.68,6477682,$5.555,$5.69,$5.355
08/25/2025,$5.57,6212823,$5.805,$5.86,$5.50
08/22/2025,$5.83,13762910,$5.44,$5.995,$5.425
08/21/2025,$5.37,12538200,$5.445,$5.505,$5.13
08/20/2025,$5.51,42259530,$5.84,$6.10,$5.32
08/19/2025,$5.20,10549490,$5.25,$5.29,$5.08
08/18/2025,$5.22,7041315,$5.10,$5.415,$5.05
08/15/2025,$5.11,4768388,$5.25,$5.275,$5.10
08/14/2025,$5.24,6041995,$5.28,$5.31,$5.135
08/13/2025,$5.38,5511821,$5.28,$5.459,$5.16
08/12/2025,$5.34,6589521,$5.49,$5.5299,$5.28
08/11/2025,$5.40,9125765,$5.59,$5.65,$5.3399
08/08/2025,$5.56,8649780,$6.02,$6.10,$5.505
08/07/2025,$5.99,15248890,$6.30,$6.55,$5.81
08/06/2025,$5.57,5839884,$5.77,$5.77,$5.47
