Date,Close/Last,Volume,Open,High,Low
08/05/2026,$3.81,287844,$3.87,$3.87,$3.755
08/04/2026,$3.85,466801,$3.97,$4.03,$3.80
08/03/2026,$3.98,599065,$3.64,$4.015,$3.64
07/31/2026,$3.59,645004,$3.45,$3.61,$3.44
07/30/2026,$3.50,518875,$3.53,$3.53,$3.41
07/29/2026,$3.51,457031,$3.53,$3.61,$3.47
07/28/2026,$3.55,885663,$3.60,$3.60,$3.39
07/27/2026,$3.62,647017,$3.59,$3.65,$3.50
07/24/2026,$3.54,575166,$3.70,$3.71,$3.53
07/23/2026,$3.65,571778,$3.59,$3.72,$3.54
07/22/2026,$3.67,859600,$3.70,$3.735,$3.475
07/21/2026,$3.74,872011,$3.94,$4.04,$3.68
07/20/2026,$3.95,362515,$3.87,$3.99,$3.80
07/17/2026,$3.83,377094,$3.83,$3.91,$3.73
07/16/2026,$3.87,513818,$3.96,$4.03,$3.76
07/15/2026,$3.95,343241,$3.79,$3.965,$3.79
07/14/2026,$3.80,701985,$4.05,$4.08,$3.74
07/13/2026,$4.02,764263,$4.06,$4.2528,$4.00
07/10/2026,$4.12,729098,$4.13,$4.15,$4.02
07/09/2026,$4.07,300993,$4.06,$4.09,$4.0223
07/08/2026,$4.03,809186,$3.98,$4.05,$3.86
07/07/2026,$4.03,732077,$4.15,$4.24,$4.00
07/06/2026,$4.22,466384,$4.35,$4.40,$4.205
07/02/2026,$4.38,592370,$4.32,$4.39,$4.28
07/01/2026,$4.35,654305,$4.32,$4.60,$4.31
06/30/2026,$4.29,1125464,$4.49,$4.6233,$4.155
06/29/2026,$4.49,1094100,$4.40,$4.56,$4.315
06/26/2026,$4.32,2943683,$4.08,$4.42,$4.07
06/25/2026,$4.11,984138,$3.98,$4.175,$3.92
06/24/2026,$3.995,699410,$3.91,$4.09,$3.895
06/23/2026,$3.91,443380,$3.70,$3.925,$3.70
06/22/2026,$3.86,1117737,$3.56,$3.90,$3.50
06/18/2026,$3.59,3233616,$3.79,$3.85,$3.56
06/17/2026,$3.74,975369,$3.96,$4.02,$3.61
06/16/2026,$3.99,572805,$3.98,$4.095,$3.80
06/15/2026,$3.99,810338,$4.06,$4.29,$3.98
06/12/2026,$3.99,682556,$3.95,$4.008,$3.815
06/11/2026,$3.95,425326,$3.89,$4.01,$3.84
06/10/2026,$3.90,715448,$3.87,$3.935,$3.795
06/09/2026,$3.83,1316858,$4.06,$4.19,$3.72
06/08/2026,$3.99,2483587,$3.95,$4.02,$3.775
06/05/2026,$3.89,657183,$4.20,$4.25,$3.87
06/04/2026,$4.21,1207426,$4.00,$4.295,$4.00
06/03/2026,$3.94,2070175,$4.135,$4.135,$3.93
06/02/2026,$4.18,994600,$4.30,$4.36,$4.095
06/01/2026,$4.345,844847,$4.29,$4.535,$4.21
