Date,Close/Last,Volume,Open,High,Low
08/04/2026,$86.56,17085650,$85.79,$86.68,$85.16
08/03/2026,$86.86,23197090,$88.48,$88.48,$86.63
07/31/2026,$87.59,14725880,$87.66,$88.00,$86.82
07/30/2026,$88.49,17626060,$87.63,$88.64,$87.21
07/29/2026,$89.08,21711750,$88.65,$90.92,$88.64
07/28/2026,$88.27,34982910,$88.295,$90.22,$86.25
07/27/2026,$84.07,19937640,$83.075,$84.135,$82.50
07/24/2026,$82.25,11980400,$81.57,$82.33,$80.90
07/23/2026,$81.17,13755640,$81.67,$81.869,$80.88
07/22/2026,$82.20,11701280,$82.85,$82.92,$81.955
07/21/2026,$81.97,12949410,$81.97,$82.395,$81.32
07/20/2026,$82.12,14967200,$81.55,$82.37,$81.30
07/17/2026,$81.56,32902960,$85.37,$85.555,$80.83
07/16/2026,$84.92,17889850,$83.50,$84.95,$83.28
07/15/2026,$82.45,18383760,$82.93,$83.235,$82.23
07/14/2026,$83.08,13775390,$84.17,$84.6299,$83.08
07/13/2026,$84.25,12085770,$83.90,$84.68,$83.67
07/10/2026,$83.49,10694620,$82.73,$83.735,$82.406
07/09/2026,$82.63,15782460,$82.09,$82.815,$81.71
07/08/2026,$83.40,14160010,$84.17,$84.83,$83.27
07/07/2026,$84.05,17835230,$84.60,$85.68,$83.64
07/06/2026,$82.96,18992640,$84.10,$84.56,$82.315
07/02/2026,$84.14,18320540,$81.63,$84.14,$81.395
07/01/2026,$81.29,21734810,$81.70,$81.975,$80.96
06/30/2026,$81.27,16422120,$82.50,$82.5381,$81.01
06/29/2026,$82.65,15015760,$82.83,$83.62,$82.205
06/26/2026,$82.63,53357490,$80.96,$82.81,$80.695
06/25/2026,$80.42,16034480,$80.53,$81.38,$79.97
06/24/2026,$80.60,20632550,$80.89,$81.575,$80.56
06/23/2026,$80.31,16853960,$81.325,$81.325,$79.83
06/22/2026,$79.53,21205890,$79.25,$80.055,$79.06
06/18/2026,$79.39,46857950,$79.87,$80.01,$78.74
06/17/2026,$79.93,17055400,$79.95,$80.33,$78.99
06/16/2026,$80.28,17565150,$81.15,$81.39,$79.84
06/15/2026,$80.91,20055210,$81.08,$81.20,$80.25
06/12/2026,$82.62,11757680,$82.71,$82.89,$81.87
06/11/2026,$82.53,14264530,$83.92,$84.04,$82.485
06/10/2026,$83.59,20880460,$82.68,$83.85,$82.12
06/09/2026,$81.34,20591570,$79.55,$81.76,$79.38
06/08/2026,$79.54,12828920,$79.31,$79.93,$79.10
06/05/2026,$79.48,25708070,$77.51,$80.7393,$77.48
06/04/2026,$76.82,19361650,$79.78,$80.04,$76.81
