Date,Close/Last,Volume,Open,High,Low
08/05/2026,$219.94,2360231,$218.04,$220.125,$217.08
08/04/2026,$218.08,2852947,$211.75,$218.79,$211.0301
08/03/2026,$212.06,2271080,$212.00,$214.90,$207.66
07/31/2026,$207.81,3976950,$207.75,$210.09,$206.0215
07/30/2026,$210.08,2756036,$214.35,$214.88,$208.53
07/29/2026,$215.68,2420404,$215.95,$220.285,$213.74
07/28/2026,$218.24,3970002,$216.16,$220.15,$215.72
07/27/2026,$211.55,2981997,$211.30,$213.14,$209.31
07/24/2026,$207.64,3427919,$202.60,$207.83,$201.955
07/23/2026,$201.92,4132516,$201.75,$203.00,$199.40
07/22/2026,$204.35,3248136,$203.50,$205.07,$202.2109
07/21/2026,$203.51,3390014,$203.92,$204.99,$201.88
07/20/2026,$204.71,3266010,$209.56,$209.995,$203.62
07/17/2026,$208.73,3475863,$217.95,$220.49,$208.42
07/16/2026,$216.16,4230869,$209.60,$216.23,$209.60
07/15/2026,$209.66,2993451,$207.77,$212.16,$207.54
07/14/2026,$207.68,3032661,$209.31,$210.80,$207.55
07/13/2026,$207.70,4265141,$212.99,$213.655,$206.76
07/10/2026,$211.63,2166063,$213.12,$214.82,$211.41
07/09/2026,$213.00,1704399,$213.32,$215.17,$212.0753
07/08/2026,$212.85,2994734,$217.08,$217.08,$212.335
07/07/2026,$220.90,2074518,$226.58,$226.59,$219.35
07/06/2026,$223.78,2479714,$228.00,$228.81,$218.56
07/02/2026,$227.50,2333306,$223.515,$227.50,$221.18
07/01/2026,$221.92,2864707,$222.76,$226.49,$220.70
06/30/2026,$220.49,3015865,$219.69,$221.00,$216.60
06/29/2026,$219.65,2373007,$221.22,$221.79,$219.05
06/26/2026,$222.48,3337870,$222.54,$224.2599,$220.98
06/25/2026,$221.93,3063845,$221.57,$226.33,$220.11
06/24/2026,$221.45,3183152,$215.78,$222.8999,$215.34
06/23/2026,$213.54,2766580,$213.85,$216.50,$212.14
06/22/2026,$214.40,3169208,$217.50,$219.08,$213.90
06/18/2026,$222.20,6813321,$219.49,$224.815,$219.49
06/17/2026,$217.27,3889157,$222.97,$227.3199,$216.455
06/16/2026,$224.02,2156769,$221.90,$225.46,$221.56
06/15/2026,$220.19,2861155,$225.00,$226.20,$219.99
06/12/2026,$220.78,2434402,$222.77,$223.56,$219.28
06/11/2026,$221.05,2705714,$216.51,$221.65,$215.70
06/10/2026,$216.19,2656206,$217.89,$218.4999,$214.78
06/09/2026,$217.37,3779781,$209.26,$217.40,$208.695
06/08/2026,$207.97,2343322,$208.77,$212.40,$207.91
06/05/2026,$210.74,2424006,$207.995,$211.86,$207.445
06/04/2026,$207.53,3173690,$212.23,$213.13,$206.89
06/03/2026,$207.65,3873467,$203.57,$207.85,$203.40
06/02/2026,$206.64,2959860,$208.06,$208.50,$204.51
06/01/2026,$207.70,3295678,$213.00,$213.95,$207.55
05/29/2026,$214.36,3624017,$217.03,$219.07,$214.145
05/28/2026,$217.92,2127544,$217.00,$218.51,$214.50
05/27/2026,$216.84,3052519,$215.07,$220.34,$214.6331
05/26/2026,$212.08,3715496,$215.98,$217.31,$211.05
05/22/2026,$215.03,2801668,$217.22,$217.22,$213.57
