Date,Close/Last,Volume,Open,High,Low
08/05/2026,$6.08,29880350,$6.55,$6.74,$5.95
08/04/2026,$6.71,18086720,$6.63,$6.87,$6.545
08/03/2026,$6.45,12062390,$6.39,$6.51,$6.285
07/31/2026,$6.38,10487950,$6.66,$6.71,$6.35
07/30/2026,$6.56,13707800,$6.49,$6.605,$6.38
07/29/2026,$6.24,14855250,$6.21,$6.40,$6.02
07/28/2026,$6.19,11598960,$6.19,$6.20,$5.92
07/27/2026,$6.26,11627540,$6.40,$6.425,$6.11
07/24/2026,$6.34,7156181,$6.61,$6.61,$6.32
07/23/2026,$6.53,10542170,$6.53,$6.65,$6.38
07/22/2026,$6.70,8629060,$6.64,$6.85,$6.61
07/21/2026,$6.76,13201750,$6.57,$6.855,$6.49
07/20/2026,$6.38,6988958,$6.28,$6.39,$6.175
07/17/2026,$6.28,10568370,$6.21,$6.39,$6.16
07/16/2026,$6.31,9262312,$6.37,$6.4629,$6.25
07/15/2026,$6.45,9991632,$6.415,$6.59,$6.315
07/14/2026,$6.37,9496339,$6.59,$6.63,$6.3548
07/13/2026,$6.45,7819520,$6.64,$6.74,$6.41
07/10/2026,$6.73,6357779,$6.72,$6.855,$6.66
07/09/2026,$6.75,7918685,$6.68,$6.795,$6.56
07/08/2026,$6.62,13652710,$6.35,$6.66,$6.32
07/07/2026,$6.44,12935900,$6.44,$6.54,$6.245
07/06/2026,$6.48,14210730,$6.54,$6.73,$6.47
07/02/2026,$6.43,22002040,$7.20,$7.345,$6.37
07/01/2026,$7.15,13703720,$7.55,$7.66,$7.13
06/30/2026,$7.68,11350300,$7.85,$7.94,$7.645
06/29/2026,$7.96,14668220,$8.07,$8.2462,$7.715
06/26/2026,$8.08,47001740,$8.175,$8.495,$8.05
06/25/2026,$8.32,13300990,$8.10,$8.46,$8.10
06/24/2026,$8.06,16763250,$7.77,$8.21,$7.59
06/23/2026,$7.84,14462180,$7.84,$8.225,$7.82
06/22/2026,$8.09,13233210,$8.27,$8.37,$8.06
06/18/2026,$8.20,19540980,$8.27,$8.33,$8.05
06/17/2026,$8.10,11152830,$8.41,$8.48,$8.05
06/16/2026,$8.43,12935560,$8.58,$8.71,$8.27
06/15/2026,$8.53,14542770,$8.84,$8.87,$8.25
06/12/2026,$8.49,8446204,$8.52,$8.8885,$8.425
06/11/2026,$8.49,11364350,$8.32,$8.615,$8.185
06/10/2026,$8.26,8646225,$8.25,$8.49,$8.16
06/09/2026,$8.47,13713710,$9.06,$9.14,$8.105
06/08/2026,$9.01,9001654,$9.07,$9.33,$9.00
06/05/2026,$8.91,12709710,$9.65,$9.70,$8.75
06/04/2026,$9.90,13172640,$9.95,$10.115,$9.68
06/03/2026,$9.98,17635480,$10.55,$10.70,$9.875
06/02/2026,$10.56,13360230,$10.51,$10.72,$10.135
06/01/2026,$10.60,17878010,$10.90,$11.30,$10.59
05/29/2026,$10.99,17999940,$10.63,$11.00,$10.37
05/28/2026,$10.70,12524780,$10.78,$10.8599,$10.50
05/27/2026,$10.87,17719660,$10.16,$10.96,$9.76
05/26/2026,$10.17,19960550,$9.58,$10.19,$9.50
05/22/2026,$9.41,8051556,$9.58,$9.68,$9.29
05/21/2026,$9.44,10867940,$9.14,$9.70,$8.94
05/20/2026,$9.31,10480440,$9.21,$9.385,$9.0701
05/19/2026,$9.19,10301690,$9.68,$9.68,$9.025
05/18/2026,$9.67,10690280,$10.10,$10.1755,$9.64
05/15/2026,$10.05,18261050,$10.04,$10.60,$9.71
05/14/2026,$10.34,30146780,$9.50,$11.29,$9.46
05/13/2026,$9.40,18255580,$8.76,$9.4793,$8.72
05/12/2026,$8.67,9830116,$8.20,$8.68,$8.15
05/11/2026,$8.34,14933830,$8.51,$8.60,$8.16
05/08/2026,$8.48,12074830,$8.55,$8.63,$8.327
05/07/2026,$8.46,20863410,$9.88,$10.03,$8.395
05/06/2026,$9.81,28531250,$8.85,$9.935,$8.3807
