Date,Close/Last,Volume,Open,High,Low
08/05/2026,$274.00,4775330,$271.64,$275.30,$269.01
08/04/2026,$268.34,7485981,$270.33,$271.53,$264.305
08/03/2026,$265.23,7440520,$275.71,$276.33,$265.23
07/31/2026,$270.64,4965185,$267.12,$271.07,$265.52
07/30/2026,$268.44,4043084,$270.49,$271.80,$266.31
07/29/2026,$271.52,3654546,$272.63,$273.03,$270.2501
07/28/2026,$273.02,5264051,$276.21,$278.70,$271.63
07/27/2026,$270.67,4875820,$267.50,$271.165,$266.80
07/24/2026,$264.76,3703505,$263.79,$266.46,$262.90
07/23/2026,$262.80,5105736,$261.58,$264.02,$260.96
07/22/2026,$263.57,4524366,$265.70,$265.97,$261.85
07/21/2026,$263.91,3539481,$266.52,$266.8677,$263.65
07/20/2026,$267.64,3693397,$269.75,$270.00,$266.26
07/17/2026,$267.71,3782038,$275.00,$276.36,$267.19
07/16/2026,$273.46,4812000,$266.75,$273.59,$265.99
07/15/2026,$264.95,6050880,$268.00,$270.28,$264.09
07/14/2026,$268.94,3834474,$272.00,$273.8098,$268.3175
07/13/2026,$272.61,4169604,$276.015,$276.015,$271.33
07/10/2026,$274.60,2980793,$278.21,$278.40,$272.495
07/09/2026,$276.49,3605407,$276.06,$277.58,$272.92
07/08/2026,$278.25,4735877,$281.27,$281.62,$276.24
07/07/2026,$282.21,3688504,$283.80,$287.10,$281.38
07/06/2026,$279.50,6743955,$280.06,$281.02,$273.58
07/02/2026,$280.63,6875860,$271.80,$280.63,$269.86
07/01/2026,$269.43,3902056,$270.25,$272.45,$268.90
06/30/2026,$270.31,4752618,$268.20,$271.19,$267.39
06/29/2026,$267.18,4521968,$270.19,$272.50,$265.60
06/26/2026,$269.76,7422837,$264.77,$270.79,$264.55
06/25/2026,$264.54,6199621,$272.69,$273.34,$264.53
06/24/2026,$273.88,4698722,$272.17,$276.06,$271.22
06/23/2026,$271.66,3783450,$273.89,$274.25,$270.5101
06/22/2026,$270.10,4891108,$277.00,$277.545,$270.08
06/18/2026,$278.61,8106427,$284.38,$284.76,$277.93
06/17/2026,$283.82,3591036,$285.50,$287.29,$282.97
06/16/2026,$287.93,3874281,$288.00,$289.29,$285.085
06/15/2026,$286.12,4388454,$284.23,$288.235,$283.60
06/12/2026,$284.81,4028820,$286.00,$287.6628,$284.027
06/11/2026,$284.77,4565419,$282.84,$286.25,$281.04
06/10/2026,$282.52,4152714,$284.32,$286.45,$282.30
