Date,Close/Last,Volume,Open,High,Low
08/05/2026,$146.80,9753275,$147.845,$147.845,$144.66
08/04/2026,$148.01,7362261,$144.04,$148.25,$143.79
08/03/2026,$144.97,8843619,$145.85,$147.15,$144.26
07/31/2026,$144.49,9152630,$143.51,$144.70,$141.46
07/30/2026,$143.96,9572624,$143.76,$144.45,$142.25
07/29/2026,$146.10,14616800,$141.38,$146.38,$140.20
07/28/2026,$148.88,12848770,$151.50,$153.68,$148.52
07/27/2026,$148.63,7302441,$147.85,$150.245,$147.85
07/24/2026,$147.41,6620893,$146.45,$147.99,$145.40
07/23/2026,$146.97,6499248,$146.14,$147.61,$145.59
07/22/2026,$149.13,5371217,$149.50,$150.46,$148.815
07/21/2026,$148.10,7027580,$147.86,$148.41,$146.88
07/20/2026,$149.13,5788262,$149.56,$150.10,$148.43
07/17/2026,$149.98,8917388,$152.86,$154.32,$149.31
07/16/2026,$151.50,6485409,$149.49,$151.52,$148.175
07/15/2026,$148.05,6180006,$145.28,$148.59,$144.66
07/14/2026,$146.08,7668081,$148.37,$148.7532,$145.59
07/13/2026,$148.37,7816074,$148.08,$150.045,$147.11
07/10/2026,$147.04,12472970,$147.10,$148.59,$146.71
07/09/2026,$146.85,7747987,$146.77,$147.656,$145.60
07/08/2026,$148.40,14272270,$150.96,$151.07,$148.35
07/07/2026,$152.75,8061360,$152.66,$153.49,$150.61
07/06/2026,$149.31,8323139,$150.68,$151.22,$146.96
07/02/2026,$151.41,9256703,$148.58,$151.6653,$147.735
07/01/2026,$147.43,9571736,$146.525,$147.50,$145.55
06/30/2026,$146.64,9353791,$147.53,$147.53,$144.17
06/29/2026,$148.45,10387690,$148.725,$149.05,$147.04
06/26/2026,$149.02,16724560,$150.34,$150.88,$148.42
06/25/2026,$148.50,11202140,$151.57,$152.29,$147.82
06/24/2026,$152.04,8618470,$151.99,$153.3501,$150.92
06/23/2026,$150.86,7259577,$149.66,$151.37,$149.37
06/22/2026,$147.68,10533000,$150.105,$150.89,$147.57
06/18/2026,$150.38,17076440,$150.87,$152.29,$150.18
06/17/2026,$150.56,7055832,$152.38,$152.935,$149.77
06/16/2026,$152.49,8518945,$151.51,$153.02,$150.55
06/15/2026,$150.46,9158900,$148.76,$151.50,$148.76
06/12/2026,$149.61,6832001,$149.38,$150.20,$148.30
06/11/2026,$148.34,6684664,$148.70,$149.6199,$147.77
06/10/2026,$149.05,7345886,$149.91,$150.43,$148.38
06/09/2026,$148.67,8259310,$144.67,$149.4796,$144.53
06/08/2026,$145.10,7200679,$145.79,$146.55,$145.015
06/05/2026,$146.54,10963200,$142.22,$148.23,$141.80
06/04/2026,$140.78,8193955,$142.701,$143.14,$139.89
06/03/2026,$140.19,9351044,$140.93,$142.45,$140.00
06/02/2026,$140.82,9599450,$140.115,$141.115,$139.03
06/01/2026,$140.28,11093790,$141.52,$141.82,$138.86
05/29/2026,$143.56,12359910,$145.52,$145.635,$143.20
05/28/2026,$145.91,10200880,$146.70,$146.70,$145.0139
05/27/2026,$147.49,10049830,$143.46,$148.5399,$143.46
05/26/2026,$142.96,8161742,$144.51,$145.61,$142.53
05/22/2026,$144.44,4618184,$143.87,$144.64,$143.5324
05/21/2026,$143.40,6297289,$141.88,$143.72,$140.09
05/20/2026,$142.44,8375642,$141.45,$143.22,$140.62
05/19/2026,$141.30,8355788,$142.47,$143.705,$140.85
05/18/2026,$142.39,7731165,$142.10,$144.43,$141.63
05/15/2026,$141.57,6989372,$143.40,$143.40,$141.20
05/14/2026,$142.71,9636209,$143.18,$144.28,$142.63
05/13/2026,$142.24,6685871,$143.15,$144.67,$141.66
05/12/2026,$143.91,9051215,$144.35,$145.855,$142.86
05/11/2026,$143.36,7489537,$145.79,$145.945,$141.97
05/08/2026,$146.42,5740971,$146.55,$147.515,$146.21
05/07/2026,$146.06,9545761,$147.99,$147.99,$146.015
05/06/2026,$147.90,9399519,$146.40,$148.95,$145.94
05/05/2026,$144.90,7664267,$143.38,$145.898,$142.18
05/04/2026,$143.42,9642763,$146.06,$146.06,$143.27
05/01/2026,$147.26,6814828,$147.87,$149.28,$146.46
04/30/2026,$147.09,9491704,$147.09,$147.7228,$145.95
04/29/2026,$146.46,9002422,$148.30,$148.75,$145.89
04/28/2026,$149.17,7965681,$150.03,$151.185,$148.43
04/27/2026,$148.40,9166393,$147.42,$149.70,$147.42
04/24/2026,$148.18,13786240,$152.01,$152.42,$147.62
04/23/2026,$145.71,11288760,$143.395,$146.23,$143.395
04/22/2026,$142.85,7236304,$142.495,$143.30,$142.22
04/21/2026,$142.32,11197210,$144.62,$144.62,$142.32
04/20/2026,$144.49,8084743,$146.06,$146.66,$143.59
04/17/2026,$146.93,10886020,$143.41,$147.59,$143.16
04/16/2026,$143.11,6947144,$143.20,$144.29,$142.66
04/15/2026,$143.38,7698188,$144.36,$144.4031,$142.26
04/14/2026,$144.38,6621561,$143.24,$144.715,$142.77
04/13/2026,$143.58,7121405,$145.00,$145.09,$142.63
04/10/2026,$145.16,9790295,$146.885,$146.885,$144.7624
04/09/2026,$146.66,6794840,$144.39,$146.94,$143.00
04/08/2026,$144.90,10849670,$143.15,$145.11,$141.87
04/07/2026,$141.30,7207503,$142.52,$142.77,$140.74
04/06/2026,$142.77,6823103,$143.01,$143.67,$141.92
04/02/2026,$143.12,5941663,$144.09,$144.21,$142.58
04/01/2026,$144.09,8061652,$143.92,$144.97,$143.21
03/31/2026,$144.44,10407550,$144.82,$144.92,$142.28
03/30/2026,$144.72,11616290,$143.04,$145.57,$142.57
03/27/2026,$142.71,11558270,$142.72,$144.0796,$142.01
03/26/2026,$142.42,6443158,$143.69,$144.57,$142.235
03/25/2026,$143.92,8418089,$143.74,$144.10,$142.225
03/24/2026,$143.16,8567608,$143.33,$145.23,$142.2255
03/23/2026,$143.99,10315580,$146.15,$146.15,$143.48
03/20/2026,$144.28,60620860,$144.99,$145.82,$144.25
03/19/2026,$144.84,10340330,$146.22,$147.38,$144.79
03/18/2026,$146.71,10059260,$149.305,$149.6199,$146.46
03/17/2026,$151.48,6147692,$153.01,$153.46,$151.20
03/16/2026,$152.12,6944219,$151.86,$152.6386,$150.65
03/13/2026,$150.65,7298896,$151.37,$152.55,$150.18
03/12/2026,$150.50,8489278,$152.21,$153.045,$150.33
03/11/2026,$153.32,8857194,$155.23,$155.38,$151.43
03/10/2026,$156.01,7756771,$155.49,$157.15,$153.60
03/09/2026,$155.22,12494930,$153.15,$156.23,$152.90
03/06/2026,$153.63,8187905,$153.66,$154.43,$151.89
03/05/2026,$153.99,10060310,$156.935,$157.10,$153.77
03/04/2026,$158.30,8752716,$159.44,$159.61,$157.31
03/03/2026,$159.72,10161000,$162.19,$162.19,$158.62
03/02/2026,$163.51,9095500,$165.29,$166.545,$163.45
02/27/2026,$167.20,14878480,$164.04,$167.25,$163.685
02/26/2026,$163.75,7028558,$164.22,$164.50,$162.86
02/25/2026,$163.39,7878458,$164.54,$165.00,$162.10
02/24/2026,$165.28,9709847,$164.90,$166.87,$163.94
02/23/2026,$165.17,14772450,$160.32,$165.36,$160.30
02/20/2026,$160.78,11508130,$159.125,$161.06,$158.16
02/19/2026,$158.56,10724560,$156.825,$159.96,$156.825
02/18/2026,$156.86,14434310,$158.98,$158.98,$155.77
02/17/2026,$159.55,13319140,$159.95,$162.17,$158.88
02/13/2026,$160.07,13999210,$161.74,$162.57,$159.705
02/12/2026,$161.21,13512860,$160.02,$163.135,$159.65
02/11/2026,$160.00,10217310,$158.64,$161.14,$158.19
02/10/2026,$159.08,9910099,$157.53,$160.15,$156.72
02/09/2026,$157.33,11439940,$158.76,$159.28,$156.02
02/06/2026,$159.17,10441740,$158.24,$159.99,$158.01
02/05/2026,$158.61,13077660,$158.84,$159.645,$156.12
02/04/2026,$156.87,12178460,$156.125,$158.37,$155.76
02/03/2026,$155.32,12424740,$152.59,$156.53,$152.20
02/02/2026,$153.19,10554870,$152.42,$153.725,$151.25
01/30/2026,$151.77,12651430,$150.43,$151.97,$149.145
01/29/2026,$149.90,11035560,$147.29,$150.13,$147.113
01/28/2026,$147.34,7465812,$148.00,$148.71,$146.79
01/27/2026,$148.34,9546000,$148.07,$149.64,$147.925
01/26/2026,$149.49,12655660,$150.115,$150.88,$148.52
01/23/2026,$150.15,14562630,$150.84,$151.645,$149.80
01/22/2026,$149.93,18501850,$148.08,$150.91,$147.50
01/21/2026,$146.06,14126810,$147.06,$147.37,$144.97
01/20/2026,$147.00,12901430,$144.46,$147.00,$144.12
01/16/2026,$144.53,11729330,$143.76,$144.73,$143.655
01/15/2026,$144.63,10102760,$145.68,$146.35,$144.35
01/14/2026,$146.35,13474980,$144.68,$146.90,$144.37
01/13/2026,$144.24,15549150,$144.00,$144.34,$142.97
01/12/2026,$143.46,12812010,$142.28,$143.88,$141.7124
01/09/2026,$141.87,9528476,$141.70,$142.33,$140.83
01/08/2026,$141.53,9297080,$137.89,$141.78,$137.82
01/07/2026,$138.04,14369140,$139.80,$139.80,$137.62
01/06/2026,$139.91,10421760,$140.39,$141.42,$139.51
01/05/2026,$140.37,12297330,$141.10,$141.35,$139.6001
01/02/2026,$141.79,8946091,$143.11,$143.34,$141.24
12/31/2025,$143.31,5293220,$144.00,$144.135,$143.23
12/30/2025,$144.05,6006432,$144.29,$144.46,$143.57
12/29/2025,$144.57,7662127,$144.80,$145.07,$143.945
