Date,Close/Last,Volume,Open,High,Low
08/05/2026,$147.70,4230328,$148.65,$148.95,$146.91
08/04/2026,$148.11,3181527,$147.37,$149.89,$146.47
08/03/2026,$149.35,4856949,$147.52,$150.07,$147.52
07/31/2026,$144.49,3312025,$145.03,$145.14,$141.05
07/30/2026,$144.51,2627975,$144.10,$145.29,$143.07
07/29/2026,$145.90,3199062,$143.91,$147.77,$142.17
07/28/2026,$144.20,4624169,$141.91,$145.85,$141.29
07/27/2026,$140.34,3042758,$138.18,$140.91,$137.445
07/24/2026,$136.78,2485724,$134.51,$137.575,$134.23
07/23/2026,$134.48,3207399,$135.09,$135.585,$132.55
07/22/2026,$137.92,2283582,$139.22,$139.69,$137.18
07/21/2026,$138.48,2413471,$138.98,$139.70,$137.6777
07/20/2026,$139.59,3388262,$141.31,$143.21,$138.80
07/17/2026,$139.60,5188211,$140.75,$144.40,$138.33
07/16/2026,$140.21,4297200,$140.00,$141.74,$139.28
07/15/2026,$138.29,5224362,$134.27,$139.88,$133.602
07/14/2026,$134.00,2507067,$135.59,$136.339,$133.10
07/13/2026,$134.77,4243665,$136.68,$136.94,$134.2901
07/10/2026,$135.14,3403536,$133.265,$136.05,$132.9225
07/09/2026,$132.27,4459917,$131.71,$134.89,$131.26
07/08/2026,$132.42,6780257,$130.00,$133.54,$128.32
07/07/2026,$127.55,2996486,$127.59,$127.89,$126.3301
07/06/2026,$126.10,5209916,$129.99,$129.99,$124.70
07/02/2026,$130.21,3272430,$130.74,$132.28,$129.58
07/01/2026,$130.29,4928847,$129.80,$130.88,$126.455
06/30/2026,$130.61,6507618,$133.62,$133.86,$129.68
06/29/2026,$133.92,4554370,$139.15,$139.56,$133.78
06/26/2026,$140.39,6802500,$140.46,$141.62,$139.3275
06/25/2026,$139.57,4342158,$140.75,$142.82,$139.0742
06/24/2026,$141.20,6235848,$135.69,$141.25,$134.8061
06/23/2026,$134.11,4793062,$131.91,$134.90,$131.22
06/22/2026,$129.73,3942716,$131.52,$134.02,$129.39
06/18/2026,$130.74,7529316,$129.00,$131.80,$128.95
06/17/2026,$127.81,3506931,$132.57,$133.679,$127.66
06/16/2026,$133.40,3186162,$133.17,$134.645,$131.32
06/15/2026,$133.17,7287856,$136.00,$137.87,$133.06
06/12/2026,$135.23,4803317,$133.45,$136.14,$133.45
06/11/2026,$132.64,4535612,$129.03,$132.96,$128.10
06/10/2026,$127.98,3943079,$127.65,$128.50,$125.37
06/09/2026,$126.61,4092131,$124.16,$127.52,$123.98
06/08/2026,$123.97,2846460,$122.025,$124.145,$120.77
06/05/2026,$122.57,4384527,$124.00,$124.08,$121.79
06/04/2026,$123.85,4749852,$126.55,$126.825,$123.83
06/03/2026,$124.80,3336307,$123.13,$125.25,$122.51
06/02/2026,$123.18,3206450,$123.23,$124.97,$123.02
