Date,Close/Last,Volume,Open,High,Low
08/05/2026,$132.76,3651151,$133.40,$135.372,$132.56
08/04/2026,$132.62,3766364,$132.17,$133.88,$130.375
08/03/2026,$128.39,4251298,$125.335,$130.1792,$125.30
07/31/2026,$121.33,2660601,$123.56,$123.93,$121.00
07/30/2026,$123.56,3113733,$121.85,$124.27,$120.2578
07/29/2026,$119.42,3997416,$120.08,$123.6481,$119.20
07/28/2026,$123.77,4364358,$120.775,$124.675,$119.44
07/27/2026,$120.57,3869524,$122.00,$123.68,$118.60
07/24/2026,$118.27,4731188,$116.38,$121.63,$115.8701
07/23/2026,$115.345,6262199,$112.185,$115.52,$111.62
07/22/2026,$117.26,4099850,$115.74,$118.70,$115.13
07/21/2026,$117.70,3167205,$119.27,$119.64,$117.2701
07/20/2026,$117.52,4437884,$117.12,$118.99,$115.81
07/17/2026,$115.41,6027944,$115.60,$118.59,$114.04
07/16/2026,$118.81,6967065,$116.64,$122.12,$116.052
07/15/2026,$120.97,5965702,$121.52,$122.94,$119.20
07/14/2026,$120.35,4178782,$121.99,$122.02,$119.13
07/13/2026,$121.16,4314352,$124.76,$125.24,$120.62
07/10/2026,$126.00,3969014,$128.76,$129.50,$124.00
07/09/2026,$129.05,4242212,$127.68,$130.81,$126.93
07/08/2026,$126.22,5526637,$125.20,$126.54,$121.745
07/07/2026,$128.31,3368282,$132.615,$133.70,$127.60
07/06/2026,$132.50,4427604,$134.99,$138.10,$132.00
07/02/2026,$133.32,4462332,$137.98,$138.51,$132.06
07/01/2026,$135.13,5075606,$136.12,$136.65,$134.12
06/30/2026,$135.99,5084936,$135.80,$138.77,$135.00
06/29/2026,$135.19,4159760,$135.77,$137.22,$134.20
06/26/2026,$136.11,6070595,$134.62,$137.84,$134.05
06/25/2026,$134.605,7329690,$132.25,$138.44,$132.00
06/24/2026,$130.54,10086780,$124.21,$130.595,$123.14
06/23/2026,$121.55,5414027,$116.77,$121.85,$116.77
06/22/2026,$118.68,6875853,$118.245,$119.94,$117.64
06/18/2026,$118.32,6761751,$118.81,$120.675,$117.26
06/17/2026,$115.83,5133638,$118.50,$120.30,$115.40
06/16/2026,$118.51,6360072,$120.87,$123.02,$118.40
06/15/2026,$119.97,7737234,$120.895,$124.79,$118.564
06/12/2026,$115.52,5369954,$114.01,$116.51,$111.825
06/11/2026,$112.61,6785688,$101.95,$112.81,$101.7721
06/10/2026,$102.78,5448873,$106.64,$106.86,$102.30
06/09/2026,$109.63,6336434,$107.82,$111.00,$104.18
06/08/2026,$105.32,3891058,$104.69,$106.40,$103.70
06/05/2026,$105.73,3835892,$104.68,$106.38,$103.50
06/04/2026,$104.94,4216654,$106.90,$107.3002,$104.51
06/03/2026,$105.14,3701707,$107.43,$108.15,$105.07
06/02/2026,$108.82,4599315,$112.62,$112.62,$108.735
06/01/2026,$111.76,4778401,$111.40,$112.91,$108.9103
05/29/2026,$114.80,7163430,$115.54,$117.96,$114.7403
05/28/2026,$115.06,6541669,$109.83,$115.95,$109.2843
05/27/2026,$112.62,10618850,$109.325,$114.35,$109.0034
05/26/2026,$105.92,6166187,$103.80,$106.67,$103.45
05/22/2026,$99.96,4051488,$100.51,$101.4849,$99.0298
05/21/2026,$99.64,6975827,$95.43,$100.28,$95.30
05/20/2026,$98.02,9039208,$90.00,$98.625,$89.235
05/19/2026,$89.12,6386416,$91.09,$91.71,$88.34
05/18/2026,$92.55,5271995,$94.16,$96.145,$91.36
05/15/2026,$92.85,5055092,$94.26,$94.66,$92.76
05/14/2026,$96.02,4671744,$96.89,$97.591,$94.39
05/13/2026,$95.70,3489807,$95.405,$96.40,$93.76
05/12/2026,$95.84,3387009,$95.56,$96.18,$94.34
05/11/2026,$96.62,4738761,$98.73,$98.88,$96.46
05/08/2026,$99.58,3897182,$100.00,$101.145,$98.64
05/07/2026,$99.70,8208165,$101.30,$103.77,$98.66
05/06/2026,$100.04,8754671,$99.66,$100.39,$97.2049
05/05/2026,$93.67,4281687,$90.74,$94.04,$90.60
05/04/2026,$90.07,5501580,$92.00,$93.37,$89.92
05/01/2026,$92.52,8307860,$90.19,$94.98,$89.24
04/30/2026,$90.00,4469178,$90.02,$90.92,$89.37
04/29/2026,$88.62,5855305,$89.10,$89.50,$87.95
04/28/2026,$90.41,4921436,$90.58,$91.95,$88.91
04/27/2026,$91.90,5182919,$92.76,$94.38,$91.40
04/24/2026,$93.00,6364880,$92.02,$93.415,$90.83
04/23/2026,$91.25,8648801,$91.36,$93.50,$88.61
04/22/2026,$91.71,14913990,$96.01,$96.20,$90.2101
04/21/2026,$97.13,9832840,$98.42,$100.80,$96.1401
04/20/2026,$98.91,6381796,$99.98,$102.27,$98.44
04/17/2026,$101.80,13120700,$102.88,$105.98,$100.91
04/16/2026,$95.03,5859103,$94.51,$96.57,$93.31
04/15/2026,$94.27,9046362,$96.394,$96.97,$93.79
04/14/2026,$97.20,10121960,$96.63,$99.74,$95.25
04/13/2026,$95.20,5468977,$94.57,$95.595,$93.20
04/10/2026,$96.40,4663706,$98.30,$98.38,$95.70
04/09/2026,$97.67,6314462,$95.26,$98.63,$93.96
