Date,Close/Last,Volume,Open,High,Low
08/05/2026,$112.34,21446300,$112.45,$113.155,$111.36
08/04/2026,$111.55,29620000,$109.005,$111.68,$108.56
08/03/2026,$110.71,23942450,$113.10,$113.29,$110.155
07/31/2026,$111.20,22799140,$110.52,$111.91,$109.89
07/30/2026,$111.10,28747000,$111.61,$113.0259,$110.435
07/29/2026,$114.22,23480000,$113.23,$114.69,$112.45
07/28/2026,$113.10,24867900,$113.96,$116.03,$112.835
07/27/2026,$111.74,19008750,$109.92,$112.51,$109.89
07/24/2026,$109.47,18405920,$108.12,$109.60,$108.01
07/23/2026,$108.40,21516800,$107.505,$108.555,$106.79
07/22/2026,$109.33,23494770,$109.53,$110.00,$108.72
07/21/2026,$110.39,22717030,$111.51,$111.80,$109.89
07/20/2026,$112.20,17738930,$113.96,$114.40,$112.14
07/17/2026,$114.24,28289810,$116.96,$118.09,$113.60
07/16/2026,$114.95,20777620,$113.76,$115.585,$113.555
07/15/2026,$112.53,16467940,$113.25,$114.73,$112.07
07/14/2026,$113.70,14681970,$115.08,$115.88,$113.50
07/13/2026,$114.78,17043420,$114.725,$115.54,$114.01
07/10/2026,$113.90,12461700,$111.95,$114.16,$111.9301
07/09/2026,$112.21,20464490,$111.24,$112.76,$111.04
07/08/2026,$113.10,19892040,$113.15,$113.86,$111.81
07/07/2026,$111.54,19941410,$112.968,$113.50,$111.30
07/06/2026,$110.65,29523270,$111.40,$112.37,$109.37
07/02/2026,$111.84,29526230,$109.33,$112.45,$109.16
07/01/2026,$108.82,40391390,$110.13,$110.71,$107.25
06/30/2026,$113.26,23034000,$113.97,$114.61,$112.93
06/29/2026,$114.60,20366990,$116.47,$116.80,$114.20
06/26/2026,$115.69,36635970,$117.29,$117.88,$115.09
06/25/2026,$115.78,20404640,$117.47,$118.58,$115.38
06/24/2026,$119.00,20600080,$119.56,$120.40,$118.93
06/23/2026,$119.42,23411420,$119.71,$120.25,$116.34
06/22/2026,$117.18,17053910,$116.955,$118.40,$116.945
06/18/2026,$117.18,36526770,$118.20,$118.48,$116.795
06/17/2026,$118.13,21711070,$119.58,$121.01,$117.45
06/16/2026,$121.03,23060730,$121.14,$122.94,$119.88
06/15/2026,$120.82,20722460,$119.74,$121.49,$118.58
06/12/2026,$121.04,14770840,$120.59,$121.61,$119.53
06/11/2026,$120.50,22438030,$120.57,$121.86,$119.46
06/10/2026,$120.59,22414870,$119.71,$120.8192,$117.53
06/09/2026,$118.88,23959000,$120.38,$120.50,$118.00
06/08/2026,$119.83,19514140,$118.245,$120.18,$118.15
06/05/2026,$118.88,36638140,$118.35,$120.89,$118.10
06/04/2026,$117.74,22870430,$119.895,$119.938,$117.285
06/03/2026,$116.89,32880560,$113.10,$117.29,$112.96
06/02/2026,$113.06,27366400,$113.87,$114.5694,$112.73
06/01/2026,$114.60,26176230,$114.725,$115.98,$113.56
05/29/2026,$115.75,42191000,$118.11,$119.08,$114.71
05/28/2026,$118.90,21613090,$118.96,$119.17,$117.33
05/27/2026,$118.54,22062230,$118.33,$119.4299,$118.04
05/26/2026,$118.57,28796650,$120.685,$121.05,$117.92
05/22/2026,$120.27,30330580,$121.34,$121.95,$118.91
05/21/2026,$121.34,53006570,$124.408,$125.80,$120.39
05/20/2026,$130.85,28471630,$132.905,$133.65,$130.33
05/19/2026,$134.20,16957140,$132.94,$135.155,$132.06
05/18/2026,$133.34,17183220,$131.52,$133.47,$131.125
05/15/2026,$131.45,25322970,$133.69,$133.95,$130.785
05/14/2026,$132.46,14200410,$131.355,$132.78,$130.86
05/13/2026,$131.47,13786550,$129.19,$132.53,$128.77
05/12/2026,$130.35,17935360,$128.075,$131.12,$127.72
05/11/2026,$127.59,18699180,$130.18,$130.60,$126.38
05/08/2026,$130.43,15183660,$130.315,$131.41,$130.25
05/07/2026,$130.20,14935410,$129.895,$130.60,$128.665
05/06/2026,$130.08,16371550,$130.86,$131.15,$129.53
05/05/2026,$130.79,10637310,$130.51,$131.73,$130.30
05/04/2026,$130.33,10340670,$130.41,$131.75,$129.68
05/01/2026,$131.60,10480870,$131.915,$133.37,$130.98
04/30/2026,$131.93,19867700,$128.02,$132.43,$127.95
04/29/2026,$128.01,16538800,$126.68,$128.08,$125.91
04/28/2026,$127.59,16341770,$129.34,$129.77,$126.78
04/27/2026,$127.59,17029470,$129.615,$129.81,$127.395
04/24/2026,$129.92,16016320,$131.94,$132.12,$129.2812
04/23/2026,$132.03,16376000,$130.57,$132.46,$130.49
04/22/2026,$129.98,17624490,$130.00,$130.4499,$128.84
04/21/2026,$129.60,17312390,$127.83,$129.77,$127.48
04/20/2026,$127.92,18933590,$127.87,$129.47,$127.32
04/17/2026,$127.50,24763650,$124.57,$127.57,$123.37
04/16/2026,$124.82,18324540,$124.33,$125.94,$123.965
04/15/2026,$124.76,17001400,$124.63,$125.07,$123.1799
04/14/2026,$125.05,15320780,$123.15,$125.20,$122.545
04/13/2026,$124.57,14510630,$126.29,$126.30,$123.95
04/10/2026,$126.77,13893960,$128.715,$128.928,$126.22
04/09/2026,$129.13,13853070,$127.085,$129.69,$126.82
04/08/2026,$127.26,20194260,$122.28,$127.30,$121.33
04/07/2026,$122.49,16076010,$126.19,$126.36,$121.79
04/06/2026,$126.79,10850380,$125.81,$126.98,$125.37
04/02/2026,$125.79,11898350,$125.15,$125.90,$124.15
04/01/2026,$124.74,17039650,$123.80,$125.23,$123.13
03/31/2026,$124.28,21330350,$123.43,$125.00,$122.84
03/30/2026,$123.50,20428910,$123.71,$125.26,$123.14
03/27/2026,$122.89,16543340,$122.03,$124.27,$121.82
03/26/2026,$122.18,16442510,$123.61,$123.80,$121.79
03/25/2026,$123.06,16597270,$122.81,$123.485,$121.7784
03/24/2026,$122.05,17269590,$120.625,$124.11,$120.49
03/23/2026,$120.72,22181470,$120.48,$121.13,$119.045
03/20/2026,$119.02,57545640,$120.63,$121.30,$118.02
03/19/2026,$121.09,17927690,$122.40,$122.75,$119.27
03/18/2026,$121.98,19734860,$124.333,$124.6099,$121.83
03/17/2026,$125.08,19895030,$126.65,$127.19,$124.8601
03/16/2026,$125.99,20463180,$126.76,$126.98,$124.83
03/13/2026,$126.52,15194090,$125.39,$126.685,$124.97
03/12/2026,$125.33,21751580,$122.295,$125.39,$122.28
03/11/2026,$123.49,18176460,$125.305,$125.49,$123.05
03/10/2026,$125.12,18793640,$124.21,$126.0988,$123.35
03/09/2026,$124.34,19375940,$123.689,$124.505,$122.50
03/06/2026,$123.80,21553050,$122.495,$124.185,$121.62
03/05/2026,$123.31,28604880,$125.38,$125.6792,$121.65
03/04/2026,$127.81,16434130,$127.11,$128.17,$126.2401
