Date,Close/Last,Volume,Open,High,Low
08/05/2026,$101.15,3659692,$102.09,$109.24,$100.945
08/04/2026,$97.60,2503921,$98.11,$98.77,$96.93
08/03/2026,$98.36,1455101,$100.00,$100.575,$97.19
07/31/2026,$99.31,1487771,$100.60,$100.61,$97.48
07/30/2026,$100.70,1251890,$98.91,$101.10,$98.745
07/29/2026,$99.01,1329893,$98.79,$99.7799,$97.66
07/28/2026,$99.02,1470273,$99.90,$100.345,$98.59
07/27/2026,$99.70,1623382,$98.69,$100.81,$98.47
07/24/2026,$96.92,1494228,$97.29,$98.27,$96.36
07/23/2026,$96.77,3036733,$92.88,$97.56,$92.5157
07/22/2026,$94.37,1415345,$94.69,$95.27,$93.89
07/21/2026,$94.63,1217732,$95.75,$95.77,$94.36
07/20/2026,$95.66,1132493,$97.26,$97.53,$95.33
07/17/2026,$96.64,1000119,$97.60,$97.60,$95.905
07/16/2026,$98.11,1001588,$97.28,$99.115,$97.28
07/15/2026,$97.05,1007670,$96.36,$97.23,$95.8201
07/14/2026,$95.90,1274265,$97.26,$97.60,$95.255
07/13/2026,$97.13,1287099,$99.97,$100.46,$96.795
07/10/2026,$99.77,1326992,$99.52,$100.59,$98.88
07/09/2026,$98.83,1344525,$97.51,$99.315,$97.11
07/08/2026,$97.93,1313589,$97.48,$98.32,$96.23
07/07/2026,$96.35,1099512,$96.75,$97.78,$95.41
07/06/2026,$95.885,1577053,$96.00,$96.25,$93.15
07/02/2026,$95.91,1889463,$96.39,$98.48,$94.82
07/01/2026,$96.11,1403134,$97.16,$97.87,$95.71
06/30/2026,$97.09,1280825,$99.53,$99.53,$96.74
06/29/2026,$99.42,1184219,$101.86,$101.86,$99.21
06/26/2026,$100.44,3258868,$98.66,$101.565,$98.30
06/25/2026,$99.38,2043162,$103.95,$104.3699,$98.495
06/24/2026,$103.75,1245492,$104.15,$106.25,$103.585
06/23/2026,$104.15,1011858,$103.05,$105.36,$102.65
06/22/2026,$103.62,1191560,$103.92,$105.05,$103.00
06/18/2026,$105.53,1667501,$103.43,$106.75,$103.33
06/17/2026,$102.31,1620886,$102.60,$105.105,$102.08
06/16/2026,$103.67,1297648,$105.76,$106.90,$103.48
06/15/2026,$105.96,1537015,$108.85,$110.625,$105.59
06/12/2026,$107.27,1326543,$108.79,$111.29,$106.83
06/11/2026,$107.75,1952873,$105.26,$107.84,$103.902
06/10/2026,$105.26,1438255,$107.10,$108.36,$104.98
06/09/2026,$107.44,2408411,$105.41,$110.17,$105.01
06/08/2026,$104.83,1047312,$103.67,$105.93,$103.29
06/05/2026,$104.48,1380820,$103.74,$106.255,$103.13
06/04/2026,$103.60,1052281,$105.16,$105.90,$103.245
06/03/2026,$104.95,1439803,$104.44,$106.32,$102.47
06/02/2026,$104.62,997227,$106.00,$106.19,$104.17
06/01/2026,$106.53,2135409,$103.33,$107.77,$102.13
05/29/2026,$101.22,1025386,$101.54,$102.4699,$100.85
05/28/2026,$101.54,1213848,$100.90,$102.75,$99.55
05/27/2026,$101.22,1762859,$98.595,$102.18,$98.595
05/26/2026,$97.87,1468568,$98.19,$98.82,$97.11
05/22/2026,$97.24,1208911,$97.50,$99.25,$96.56
05/21/2026,$98.54,904135,$97.06,$98.635,$95.43
05/20/2026,$98.06,1550472,$95.01,$99.63,$93.445
05/19/2026,$94.78,1002265,$95.29,$95.99,$94.25
05/18/2026,$95.51,1341114,$96.10,$98.01,$94.8704
05/15/2026,$95.42,1028366,$95.36,$96.24,$94.13
05/14/2026,$95.43,2040746,$96.49,$97.97,$95.20
05/13/2026,$96.21,1555424,$97.24,$97.25,$94.545
05/12/2026,$97.25,1639284,$98.96,$99.28,$97.10
05/11/2026,$99.37,2717471,$100.97,$101.75,$98.06
05/08/2026,$102.42,3981186,$106.00,$106.205,$99.60
05/07/2026,$106.85,1273171,$107.73,$108.98,$105.47
05/06/2026,$107.565,1120184,$108.275,$109.00,$107.225
05/05/2026,$106.24,1615248,$103.495,$106.84,$103.495
05/04/2026,$103.44,1368101,$105.97,$106.18,$102.26
05/01/2026,$105.98,1466315,$107.00,$108.79,$105.44
04/30/2026,$107.11,1086775,$104.40,$107.71,$103.65
04/29/2026,$104.24,1352653,$105.64,$105.825,$104.07
04/28/2026,$106.20,1083951,$104.95,$107.24,$104.2501
04/27/2026,$105.51,1175146,$105.63,$107.00,$104.83
04/24/2026,$105.67,1190690,$105.76,$106.84,$104.84
04/23/2026,$105.61,1706396,$106.08,$106.08,$103.11
04/22/2026,$106.64,970883,$108.50,$108.50,$105.33
04/21/2026,$107.66,937683,$108.90,$110.00,$107.375
04/20/2026,$108.79,1257343,$108.725,$109.36,$106.44
04/17/2026,$109.19,1574292,$108.33,$111.97,$107.85
04/16/2026,$106.82,1466485,$106.84,$107.99,$105.90
04/15/2026,$106.84,1264066,$105.59,$107.82,$105.07
04/14/2026,$105.59,1448294,$103.31,$105.895,$103.07
04/13/2026,$103.06,1223739,$103.77,$103.77,$101.9529
04/10/2026,$104.00,790953,$104.89,$105.60,$103.785
